Dialogue,Emotions
Hey! What are you guys looking at?,"Excitement, Confusion"
"Oh, it’s a poster for that World War I movie that I’m in, checkit out.","Confidence, Excitement, Anticipation"
Yeah? Wow! It looks,"Surprise, Excitement"
Uh-huh! I know. I’m coming soon to a theater near you! I’m inTHX! I’m unsuitable for children!,"Happiness, Confidence, Excitement"
Now I cannot wait to see this.,"Excitement, Anticipation, Optimism"
"Yeah, yeah, it’s already generating Oscar buzz.","Confidence, Excitement, Optimism"
I started that!,"Confidence, Excitement"
I thought I did! Oh hey guess what? The premiere is next week andyou’re all invited! (They all gasp.),"Surprise, Excitement, Anticipation"
Are we gonna take a limo?,"Excitement, Anticipation, Optimism"
Sure! Why not?!,"Happiness, Confidence, Excitement"
Oh I love taking limos when nobody died!,"Happiness, Excitement"
"Well obviously I won’t be able to come, for those of you whohaven’t checked their calendars today is my due date. Well y’know, I just wantto take a moment and thank you guys for how great you’ve been during this time. Ireally couldn’t have done it without you. And I have","Happiness, Excitement"
"That’s right, still no baby! (To Monica, Joey, and Chandler on thecouch) Come on people! Please make some room!","Excitement, Confusion, Frustration"
"Uh sweetie, maybe you’d be more comfortable here? (Gets up from thegreen armchair.)","Contentment, Love"
You. Like you haven’t done enough.,"Anger, Disgust, Frustration"
"Look, I-I know how miserable you are, I wish there was something I can do.I mean I wish I were a seahorse. (She glares at him) Because with seahorses it’s themale, they carry the babies. And then also umm, I’d be far away in the sea. (He sitsback down.)","Sadness, Frustration, Longing"
God. (Sits down.) I have never been so uncomfortable in my entire life!,"Neutral, Frustration"
"Oh I know, I’ve been there. I remember toward the end…","Contentment, Confidence, Nostalgia"
"(interrupting her) Oh Phoebe, that’s a great story. Can you tell itto me when you’re getting me some iced tea? (Phoebe gets up and Rachel groans.) (Tothe baby) Oh God, get out! Get out!! Get out!! Get out!!","Anger, Disgust, Frustration"
Let’s. (Everyone gets up and leaves Rachel.),"Sadness, Surprise, Frustration"
Hey! Did you have the baby yet?,"Happiness, Excitement, Anticipation"
Do you want me to come over there and sit on you? ‘Cause I’lldo it.,"Confidence, Anger, Frustration"
What are you doing here so early?,"Neutral, Surprise, Confusion"
"They sent me home from work. They were like, Start your maternityleave now! Just rest","Contentment, Neutral"
Or you can do,"Confidence, Neutral, Excitement"
Hello?,"Neutral, Surprise, Confusion"
"Joey! It’s Estelle! Great news, I was able to get you and oneguest tickets to your premiere.","Happiness, Surprise, Excitement"
One guest? You told me I can have six tickets!,"Anger, Frustration"
"Well, I sold four of them on","Confidence, Neutral, Excitement"
Oh my God. So that’s it?! I only get to bring one guest?,"Surprise, Frustration"
"Yeah, what time do you wanna pick me up? (Joey hangs up on her.) Hello?","Sadness, Confusion, Frustration"
"(to Monica, Chandler, and Phoebe) Did you hear that? I only get one extraticket to my premiere. So some how I have to pick between you three and Ross.","Excitement, Anticipation, Frustration"
(overhearing that) What-what about me?,"Confusion, Frustration, Longing"
You said you didn’t want to go.,"Neutral, Confusion, Frustration"
I don’t. But I would still like to be acknowledged. What? Justbecause I’m pregnant you think I’m invisible.,"Anger, Frustration, Longing"
Definitely not invisible.,"Confidence, Excitement, Optimism"
"Well, well Ross didn’t care enough to be here, so I think he’sout. You snooze you lose.","Confidence, Disgust, Frustration"
"He’s not snoozing, he’s teaching a class.","Contentment, Confidence, Optimism"
"Well then somebody’s snoozing. Joey, not that this uh should affectyou at all, but if you were to pick me, I was planning on wearing a sequined dress, cutdown to here. (Points to her stomach just above her belly button.)","Confidence, Excitement, Anticipation"
I haven’t seen this dress.,"Neutral, Confusion, Frustration"
Star in a movie.,"Excitement, Anticipation, Optimism"
"Joey, you pick who ever you want. Okay? You just listen to your heart.What does it tell you? (Mimicking a heartbeat and tapping her chest.) Phoebe, Phoebe.","Happiness, Confidence, Excitement"
Well uh…I think I want to take Chandler.,"Confidence, Excitement, Anticipation"
"(still mimicking a heartbeat, only faster)Phoebe-Phoebe-Phoebe-Phoebe—Burrrrr! (Mimics the sound of a cardiac monitor goingoff.)","Surprise, Excitement, Anticipation"
You really want to take me?,"Confidence, Excitement, Anticipation"
"Yeah! Yeah! I mean I’m sorry, I wish I can take everybody, buty’know Chandler always supported my career. He’s paid for acting classes andhead shots and stuff and well this will be my way of paying you back.","Happiness, Optimism"
So you’re never actually going to pay me back?,"Sadness, Confusion, Frustration"
"Wait a minute, just because he paid for your head shots you’regonna take him? Joey, I don’t think you’re comprehending just how slutty thisdress is!","Disgust, Confusion, Frustration"
"It’s not just the stuff he paid for, I mean it’s-it’severything. Y’know? He read lines with me. He-he went with me on auditions when I wasreally nervous, and then he consoled me after I didn’t get parts that I reallywanted. You always believed in me man. Even, even when I didn’t believe in myself.","Sadness, Love"
I always knew you were gonna make it. I’m so proud of you.,"Happiness, Love"
Thanks. That means a lot to me.,Happiness
"Mon, maybe one of these guys wants to wear your dress.","Surprise, Confusion, Frustration"
