Dialogue,Emotions
Hey! I got you a present!!,"Happiness, Surprise, Excitement"
Oh my goodness! Where did you hide it?,"Surprise, Excitement, Anticipation"
"I got it for your wedding and I ordered it weeks ago, and it finally gothere!","Excitement, Anticipation"
Pheebs you didn’t have to get us anything for our wedding youalready sang…,"Happiness, Contentment, Love"
(interrupting) I love it! It’s huge!! Let’s open it! Open it!!(Monica rips open the paper.),"Love, Excitement, Anticipation"
It’s a,Neutral
Oh my God!,"Fear, Surprise, Excitement"
I didn’t know where to put it so I just left it here for now.,"Neutral, Confusion, Frustration"
"Oh well, maybe we can put it in the guest bedroom.","Contentment, Neutral, Optimism"
"Oh, okay.",Neutral
All right. (He goes to push it and it doesn’t move.),"Neutral, Confusion, Frustration"
I kinda like it here.,"Happiness, Contentment, Optimism"
Do you really like it?,"Happiness, Love, Excitement"
"Are you kidding?! I practically spent my entire childhood at the arcade!This is like—Oh my, this is like my second favorite game!","Happiness, Excitement, Nostalgia"
Oh really? What was your first?,"Surprise, Anticipation"
Well I-I really don’t remember the name of it.,"Nostalgia, Confusion, Frustration"
Well what did it do?,"Neutral, Confusion, Frustration"
"Well, you just—you put a quarter in and y’know pull-pull somehandles and win like a candy bar or something.","Excitement, Anticipation, Optimism"
A vending machine?,"Neutral, Surprise, Confusion"
Don’t feel bad for me! I won like every time!,"Happiness, Confidence, Excitement"
"Hey! Oh, I’m so glad you guys are here. I’ve been dying to tellsomeone what happened in the Paleontology department today.","Happiness, Excitement, Anticipation"
(To Rachel) Do you think he saw us or can we still sneak out?,"Confidence, Fear, Anticipation"
"Professor Neuman, the head of the department, so….","Contentment, Confidence, Neutral"
They made you head of the department!,"Happiness, Confidence, Excitement"
"No, I get to teach one of his advanced classes! (Pause) Why didn’t Iget head of the department? (Goes and gets some coffee.)","Confusion, Frustration"
"Oh! Hey Rach, listen umm…","Happiness, Surprise, Excitement"
Yeah.,"Contentment, Neutral, Confusion"
"I got a big date coming up, do you know a good restaurant?","Excitement, Anticipation, Optimism"
"Uh, Paul’s Café. They got great food and it’s reallyromantic.","Happiness, Contentment, Excitement"
"Ooh, great! Thanks!","Happiness, Excitement"
"Yeah! Oh, and then afterwards you can take her to the","Happiness, Excitement, Anticipation"
"You sure are naming a lot of ways to postpone sex, I’ll tell ya…","Confusion, Frustration"
"Ooh, I miss dating. Gettin’ all dressed up and going to a fancyrestaurant. I’m not gonna be able to do that for so long, and it’s so much fun!I mean not that sitting at home worrying about giving birth to a sixteen pound baby is notfun.","Excitement, Nostalgia, Longing"
"Hey, y’know what?","Confidence, Excitement, Anticipation"
Huh?,"Surprise, Confusion, Frustration"
Why don’t I take you out?,"Happiness, Excitement, Anticipation"
"What?! Joey, you don’t want to go on a date with a pregnant lady.","Surprise, Disgust, Confusion"
"Yes I do! And we’re gonna go out, we’re gonna have a good time,and take your mind off of childbirth and c-sections and-and giant baby heads stretchingout…","Confidence, Excitement, Optimism"
(interrupting) Okay! I’ll go with ya! I’ll go! I’ll gowith ya.,"Confidence, Excitement, Anticipation"
I’ll be fun.,"Happiness, Confidence, Excitement"
All right?,"Contentment, Confidence, Neutral"
"No. No! Yes! Ahh. Oh, would you look at that Monica? I just knocked offall of your top scores, how sad.","Sadness, Excitement, Frustration"
"Okay, I’m next. (Phoebe starts another game.) Don’t!Don’t start another game! I said I’m next! Phoebe!","Anger, Frustration"
