Dialogue,Emotions
"Ok, so this is pretty much what's happened so far. Ross was in love withRachel since, you know, forever, but every time he tried to tell her, something kind ofgot in the way, like cats, and Italian guys. Finally Chandler was like forget abouther"" but when Ross was in China on his dig","Love, Frustration, Optimism"
Oh my god. Oh my god. (She decides to make a break for it.) Excuse me.Move! Move! Emergency! Excuse me! (She tries climbing over a bench and falls down.),"Fear, Confusion, Frustration"
(seeing her) Rach!,"Happiness, Surprise, Excitement"
"Oh, there you are! Hi! Oh, so, so, how was China, you? (Hits him withthe flowers.)","Happiness, Surprise, Excitement"
"It was, it was great. Oh, what happened?","Sadness, Surprise, Confusion"
What?,"Surprise, Confusion, Frustration"
You're bleeding.,"Sadness, Fear"
"I am? Oh, look at that, yes I am. Enough about me, enough about me, Mr.Back from the Orient. Come on. I wanna hear everything! Everything. (Looks at Julie)","Happiness, Excitement, Anticipation"
"Well, where do I start? This is Julie. Julie, this is Rachel.","Happiness, Excitement, Anticipation"
"These are, these aren't for you. (to Julie) These are for you. (Loudly,thinking she can't speak English.) Welcome to our country.","Confidence, Surprise, Anticipation"
"(Loudly, proving she can speak English.) Thank you. I'm from New York.","Happiness, Confidence, Excitement"
"Ok, well, not a problem. We'll just use them to stop the bleeding. Ok.Baggage claim? Ok.","Confidence, Neutral, Frustration"
No way!,"Surprise, Excitement"
"I'm telling you, she went to the airport, and she's gonna go for it withRoss!","Excitement, Anticipation, Optimism"
"Oh my god. This is huge. This is bigger than huge. This is like, allright, what's bigger than huge?","Surprise, Excitement, Confusion"
"Um, this?","Neutral, Confusion, Frustration"
Yes.,Neutral
"Guys, you got your hair cut.","Happiness, Excitement, Anticipation"
"Yes, yes, we did, thanks to Vidal Buffay.","Happiness, Contentment, Confidence"
"'Cause, you know, (in that voice) if you don't look good, we don't lookgood. I love that voice.","Confidence, Love, Excitement"
"(entering, out of breath) Airport, airport. Ross, not alone, Julie, armaround her. Cramp, cramp.","Fear, Excitement, Anticipation"
"Ok, I think she's trying to tell us something. Quick, get the verbs.","Excitement, Anticipation, Confusion"
"(to Chandler) You, you, you said he liked me. (Ross and Julie enter)You, you slowpokes!","Anger, Surprise, Frustration"
"That's all right, Rach, we got the bags. Hi, hello. Julie, this is mysister Monica. This is Chandler.  Phoebe.  Joey, what up?","Happiness, Love, Excitement"
What up?!,"Happiness, Confidence, Excitement"
"Everyone, this is Julie.","Happiness, Confidence, Excitement"
(out of breath) Julie.,"Neutral, Surprise"
Ohh. (Happily) Hi!,"Happiness, Surprise, Excitement"
"Hi, but I'm not here, you haven't met me. I'll make a much better firstimpression tomorrow when I don't have 20 hours of cab and plane on me.","Neutral, Frustration, Optimism"
And bus.,"Neutral, Confusion, Frustration"
Oh my god.,"Fear, Surprise, Excitement"
The screaming guy?,"Surprise, Confusion"
And the spitting?,"Neutral, Disgust, Confusion"
You gotta hear this story.,"Excitement, Anticipation, Optimism"
"We're on this bus, that's easily 200 years old...","Nostalgia, Confusion, Frustration"
200 at least.,"Confidence, Excitement, Optimism"
...and this guy...,"Confidence, Surprise, Disgust"
"And the chicken pooped in her lap. Oh, I'm so sorry. I just gave awaythe ending, didn't I? Oh! It's just, I just heard this story in the cab, and it is all Ican think about.","Surprise, Excitement"
"This is amazing. I mean, how, how did this happen?","Surprise, Excitement"
"Well, Ross and I were in grad school together.","Contentment, Neutral, Nostalgia"
"But we haven't seen each other since then. Well I land in China, guesswho's in charge of the dig.","Surprise, Excitement, Anticipation"
"Julie! Julie, isn't that great? I mean, isn't that justkick-you-in-the-crotch, spit-on-your-neck fantastic?","Excitement, Anticipation, Optimism"
(to Julie) It's an expression.,Neutral
"Well, we just wanted to say a quick hi, and then we're gonna go see thebaby.","Happiness, Excitement, Anticipation"
And then we've gotta get some sleep.,"Contentment, Neutral"
"Yeah, it's really 6:00 tomorrow night our time.","Confidence, Excitement, Anticipation"
"Well, listen, don't tell us what's gonna happen though, 'cause I liketo be surprised.","Surprise, Excitement, Anticipation"
Bye. (She closes the door and everyone tries to sympathize with her.),"Sadness, Confusion"
"Hey, Rach, can I get some coffee?","Happiness, Contentment, Neutral"
"Yeah, sure.","Contentment, Confidence, Neutral"
Thank you.,"Happiness, Contentment, Neutral"
"Hey, Rach, can I get...","Neutral, Confusion, Frustration"
Did you talk to him?,"Neutral, Anticipation"
Not yet.,"Neutral, Anticipation, Confusion"
"Then, no.","Neutral, Confusion, Frustration"
"So what the hell happened to you in China? I mean, when last we leftyou, you were totally in love with, you know.","Nostalgia, Confusion"
"I know, I know I was, but there was always this little voice inside thatkept saying it's never gonna happen, move on. You know whose voice that was?","Sadness, Confusion, Frustration"
God?,"Neutral, Confusion, Longing"
"It was you, pal.","Confidence, Surprise, Frustration"
"Well, maybe it was God, doing me.","Contentment, Confidence, Optimism"
"Look, you were right. She looks at me and sees a friend, that's all. Butthen I met Julie, and I don't know, we're havin' a great time. And I have to say, I neverwould've gone for it with her if it hadn't been for you.","Happiness, Confidence, Excitement"
"Well, you owe me one, big guy.","Contentment, Confidence, Excitement"
(To Ross) Here's your lemonade.,"Contentment, Confidence, Neutral"
I didn't order lemonade.,"Neutral, Confusion, Frustration"
"Oh. Well then, you better go take that back because they're gonna chargeyou for that.","Neutral, Frustration"
But...,"Confusion, Frustration, Longing"
"Go-go-go-go, come on! (Ross goes over to the counte) (to Chandler) Souh, what did you find out?","Excitement, Anticipation, Frustration"
"He said...he said, he said that they're having a great time. I'msorry. But, the silver lining, if you wanna see it, is that he made the decision all byhimself!  Without any outside help whatsoever.","Happiness, Confidence, Excitement"
How is that the silver lining?,"Confusion, Frustration, Optimism"
You have to really wanna see it.,"Excitement, Anticipation, Optimism"
"Ironically, these are the guys who were picked last in gym.","Sadness, Disgust, Frustration"
"Pheebes, you know what I'm thinking?","Confidence, Excitement, Anticipation"
"Oh, ok. How, it's been so long since you've had sex, you're wondering ifthey've changed it?","Neutral, Confusion, Frustration"
"No, although now that's what I'm thinking.","Confusion, Frustration, Optimism"
"All right, so what were you thinking?","Confidence, Excitement, Anticipation"
"Well, I was thinking, that you gave the guys such great haircuts, Ithought, maybe you'd like to do mine?","Happiness, Confidence, Excitement"
Ohh! No.,"Surprise, Disgust, Frustration"
Why not?,"Confidence, Excitement, Anticipation"
"Because, I'm just, I'm incredibly anal and an unbelievable controlfreak.",Frustration
No you're not.,"Neutral, Confusion, Frustration"
"I know I'm not, but you are, and I was trying to spare your feelings.","Sadness, Confusion, Frustration"
"(answering the phone) Hello? Oh, hi. Yeah, hold on a second. Ross, it'sJulie, for you. (Throws him the phone.)","Confidence, Neutral, Frustration"
(on phone) Hello? Hi.,"Happiness, Contentment, Neutral"
(entering) Hi. Anybody know a good tailor?,"Confidence, Neutral"
Needs some clothes altered?,"Contentment, Confidence, Neutral"
"No, no, I'm just looking for a man to draw on me with chalk.",Excitement
