Dialogue,Emotions
Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Excitement, Anticipation"
Hey!,"Happiness, Surprise, Excitement"
What are you guys doing up?,"Neutral, Confusion"
"Oh, we wanted to finish the crossword before we went to bed. Hey, doyou know a six-letter word for red?","Happiness, Contentment, Confidence"
(thinks) Dark red.,"Neutral, Confusion, Frustration"
"Yeah, I think that's wrong, but there's a Connect the Dots in here foryou later. (To Monica) Hey, how about maroon?","Happiness, Excitement, Anticipation"
"(checks to see if it works) Yes, you are so smart! (Kisses him.)","Happiness, Love, Excitement"
"Aww, you guys are so cute!","Happiness, Love, Excitement"
I know.,Neutral
"All right, I'll see you in the morning.","Contentment, Confidence, Excitement"
,"Neutral, Confusion, Frustration"
"(looking at the bill) Uhh, we still need a tip.","Neutral, Confusion, Frustration"
All right. Hold on. (She starts digging in the chair.) I got it. Nickel!(Donates it.) How much more do we need?,"Confidence, Excitement, Optimism"
A couple of bucks.,"Contentment, Neutral, Optimism"
"Okay, dime! (Donates that.) You guys should probably keep talking; thiscould take a while. (Finds something else.) Oh no, wait! Look it! Whoa! (Looks at it.) Ohmy God, this is a police badge!","Fear, Surprise, Excitement"
Wow!,"Happiness, Surprise, Excitement"
"Oh that's so cool! Why would a cop come in here though? They don'tserve donuts. (No one laughs.) Y'know what actually, could you discover the badge again? Ithink I can come up with something better than that.","Happiness, Excitement, Frustration"
"Phoebe, I bet somebody's missing that badge.","Confidence, Excitement, Anticipation"
"Yeah, I should probably take it back. Ooh, but you know what? While I'mat the police station, I could check their Ten Most Wanted lists because my friend Fritzyhas been like number 11 forever, so this could be her year! (She crosses her fingers inhope.)","Excitement, Anticipation, Optimism"
"(entering) Hey, you guys!","Happiness, Confidence, Excitement"
Hey!,"Happiness, Surprise, Excitement"
Hey Joey!,"Happiness, Love, Excitement"
Hey.,"Neutral, Confusion, Frustration"
"(To Monica) Hey. That uh, that my sweatshirt?","Neutral, Confusion, Frustration"
"Oh yes, it is. I'm sorry I borrowed it, I was cold. I hope its okay?",Sadness
"Well uh, it's just that uh, y'know if-if you're gonna be wearing someone'ssweatshirt shouldn't it be your boyfriends--and I’m not him.","Neutral, Confusion, Frustration"
"I'm sorry, I'll give it back to you.","Contentment, Neutral"
No-no! No! I mean it's gonna be all smelling like Monica!,"Disgust, Confusion, Frustration"
Are you saying I smell bad?,"Anger, Confusion, Frustration"
"No! No, you smell like a meadow. (Pause.) I'm sorry. (Runs to thebathroom.)",Unknown
What's with him?,Confusion
"Oh, y'know what? The last time Joey went to a meadow, his mother wasshot by a hunter.","Sadness, Fear, Surprise"
(disgusted at Ross's antics) Ugh!,"Anger, Disgust, Frustration"
"(To Rachel) Yeah, I still don't know. (To the salesman who is hoveringnearby) I'm sorry I just wanna make sure that I bought the right couch. I need a couchthat says, Kids welcome here."" But that also says","Anticipation, Confusion, Frustration"
What?! You say that to kids?!!,"Anger, Surprise, Disgust"
"No! No! No! The Come here to me"" is y'know for the ladies.""","Confidence, Disgust, Frustration"
"Ross, honey, it's a nice couch. It's not a magic couch.","Contentment, Neutral, Frustration"
You picked a great couch.,"Happiness, Contentment, Optimism"
Yeah?,"Confidence, Neutral, Surprise"
Yeah. Could you just sign right here please? (Hands him aclipboard.),Neutral
"Oh, sure. Whoa-whoa, what's this? The delivery charge is almost as much asthe couch!","Surprise, Disgust, Frustration"
"Wait! No, that's ridiculous. Come on, he lives three blocks away!","Confidence, Excitement, Frustration"
"Yeah, y'know what? I'll take it myself, thank you! (He signs the form andhands it back to the salesman.) All right Rach, let's go! (He picks up one end of thecouch.)","Confidence, Excitement, Optimism"
Yeah! (She puts on her coat and turns around and sees Ross is expectingher to help.) (Laughing.) Are you kiddin'?,"Happiness, Surprise, Excitement"
"Oh, come on it's only three blocks! And-and, it's not very heavy, try it!Come on! Come on!",Excitement
"(Disgustedly she goes and tries to pick up the couch. Much to heramazement, she is successful.) Oh. Oh! I can do it!","Confidence, Surprise, Excitement"
Yeah!,"Happiness, Excitement, Optimism"
You two are really gonna enjoy that couch.,"Happiness, Contentment, Excitement"
"Oh yeah, we're uh, yeah we're not together. (He starts backing out of thestore.)","Neutral, Confusion, Frustration"
"Ohh, okay. (Laughs.) Something didn't quite add up there. (Rossstops, walks back to talk to the salesman, and in the process pushes Rachel up against awall.)","Surprise, Confusion, Frustration"
Ross!,"Happiness, Surprise, Excitement"
What's that supposed to mean?,"Anger, Confusion, Frustration"
Ross!,"Happiness, Surprise, Love"
"Well you, her, I mean, she's very…y'know. And you'relike…y'know.","Neutral, Confusion, Frustration"
"Not that it's any of your business, but we","Neutral, Disgust, Frustration"
Really? You two?,"Surprise, Confusion"
Yeah! Rach?,"Happiness, Excitement, Anticipation"
"Come on, I don't really want to be doing this right now. I am carrying avery heavy couch.","Neutral, Disgust, Frustration"
Then tell him quickly.,"Confidence, Anticipation"
(To Ross) Fine! (To the salesman) We went out.,"Confidence, Neutral, Frustration"
"Not only did we go out, we did it 298 times!","Confidence, Excitement"
Ross!! Oh my--ugh!! You kept count?! You are,"Surprise, Disgust, Frustration"
A loser you did it with (To the salesman) 298 times!,"Anger, Disgust, Frustration"
"Oh. Oh! Ma'am? Excuse me, ma'am?","Surprise, Excitement, Anticipation"
Yes?,"Confidence, Neutral, Anticipation"
You can't put your cigarette out on a tree!,"Anger, Disgust, Frustration"
"Yeah I can, it worked real well.","Contentment, Confidence"
No but you shouldn't! Don't ever do that again.,"Sadness, Anger, Frustration"
I won't! (Turns away) Until I have my next cigarette.,"Frustration, Longing"
Hold it! (Grabs the badge) N.Y.P.D! Freeze punk!,"Confidence, Anger, Fear"
What?!,"Surprise, Confusion, Frustration"
Yeah that's right you are so busted. (To no one in particular.) Book'em.,"Confidence, Anger, Excitement"
Who are you talking too?,"Surprise, Confusion, Frustration"
"Save it Red! Unless you wanna spend the night in the slammer, youapologize to the tree.","Confidence, Anger, Frustration"
I am,"Contentment, Confidence, Neutral"
You apologize to the tree right now or I am calling for backup. (Thewoman calls her bluff.) (Screaming at no one in particular) Backup! Backup!!,"Anger, Confusion, Frustration"
I-I'm sorry! Sorry.,Sadness
"Okay, cancel backup! Cancel backup!",Frustration
