Dialogue,Emotions
Hey!,"Happiness, Surprise, Excitement"
"I’m sorry I’m late, did I miss anything?",Neutral
Joey stuffing 15,"Confidence, Excitement, Anticipation"
15? (Joey nods again) Your personal best! (Ross takes an,"Surprise, Excitement"
Where were you?,"Neutral, Confusion, Frustration"
"Oh, on a date. Yeah, I met this girl on the train going to a museumupstate.","Happiness, Excitement, Anticipation"
"Oh, yeah! How did you meet her?","Happiness, Excitement, Anticipation"
"Oh, which museum?","Neutral, Surprise, Confusion"
"(just Phoebe) No, answer his.","Neutral, Confusion, Frustration"
"Okay, it was just me and her at the back of the train, and I sat near thedoor, so she’d have to pass by me if she wanted to switch cars. She was totally at mymercy.","Confidence, Disgust, Anticipation"
Were you so late because you were burring this woman?,"Neutral, Confusion, Frustration"
"No, I’m getting back down ‘cause she lives in Poughkeepsie. Sheseems really great, but she’s like totally great, but she lives two and a half hoursaway.","Neutral, Confusion, Longing"
"How can she be great if she’s from Poughkeepsie? (laughs, at theyall look at him) That joke would’ve killed in Albany.","Surprise, Disgust, Frustration"
"Done! I did it! Heh, who’s stupid now? (He smiles and has cookieremains all over his teeth.)","Happiness, Confidence, Excitement"
"Hey, look at this! (Holding a newspaper) They’re lighting the bigChristmas tree tonight.","Happiness, Excitement, Anticipation"
"Umm, that paper’s two weeks old.","Neutral, Confusion, Frustration"
"All right, who keeps leaving old newspapers in the trash?! I reallywanted to take Kathy to this, I can’t believe I missed it.","Surprise, Frustration"
"Hey, y’know, at least you have somebody to miss that stuff with! I","Happiness, Contentment, Love"
Really?! I didn’t think girls ever just wanted a fling.,"Surprise, Confusion"
"Well, believe me, it’s been a long time since I’ve been flung.","Contentment, Nostalgia, Optimism"
"Well, I know what I’m giving you for Christmas.","Surprise, Excitement, Anticipation"
"Y’know what? There’s some nice guys at my office, do youwant me to set you up?","Happiness, Excitement, Optimism"
"Yeah! Wait a minute, it’s been a long time that I’ve beensingle. How come you never offered this before?","Surprise, Excitement, Frustration"
"Well, I have a girlfriend, I’m-I’m happy. So, I no longerfeel the need to go out of my way to stop others from being happy.","Happiness, Contentment, Confidence"
"Okay! No accountants. Oh, and no one from like legal. I don’t likeguys with boring jobs.","Confidence, Disgust, Frustration"
Oh and Ross was like what? A lion tamer?,Surprise
Hey!,"Happiness, Surprise, Excitement"
What’s wrong Mon?,"Neutral, Confusion"
"Ohh, everybody at the restaurant still hates me.","Sadness, Disgust, Frustration"
Oh.,"Neutral, Surprise, Confusion"
"I thought I was making headway, everyone was smiling at me all day, Iget off work and I find out that they wrote this (puts on her chef hat) on my chef’shat. (The hat says ‘Quit, bitch’)","Sadness, Anger, Frustration"
"Hey, maybe they meant to write, ‘Quiet, bitch.’","Anger, Disgust, Frustration"
"Hey, honey! What’s the matter? (Monica shows her, her hat.) Fine, Iwas just trying to be nice! Whoa!","Neutral, Surprise, Frustration"
I mean I have not been picked on this much since kindergarten and theyhad to bring in someone from junior high to do the see-saw with me. (Joey laughs andMonica glares at him.),"Sadness, Anger, Frustration"
Ohhh!,"Surprise, Excitement, Anticipation"
"I mean they’re trying to do everything they can to make me quit,and if there were any other job, I would. But this is something I’ve been waiting formy whole life.","Anticipation, Frustration"
"Well, wait a minute, you’re the boss! Why don’t you just yellat them? Or, fire them?","Confusion, Frustration, Optimism"
"I would love too, but I can’t! I mean I just can’t, you knowthat I’m not good at confrontation.","Neutral, Fear, Frustration"
"Hey, you know what you can do? I remember reading about this director,I think it was Orson Wells, who at the beginning of the movie would hire somebody, just sohe could fire them in front of everybody. Then they would all know, who’s boss.","Confidence, Surprise"
"Hey, Mon! I’m not doing anything, why don’t you fire me?","Confidence, Neutral, Frustration"
"That’s a good idea! Wait, do you know how to waiter?","Excitement, Confusion, Optimism"
Good enough to get fired.,"Confidence, Frustration, Optimism"
"All right, you’re hired!","Happiness, Confidence, Excitement"
Hey! That must be why I got fired last week! Does this Orson Wells guydirect,"Surprise, Confusion, Frustration"
(he glares at him for a while) Yes.,"Anger, Frustration"
