Dialogue,Emotions
Y’know what? It seems like all of the sudden; so much hashappened.,"Surprise, Excitement, Confusion"
I know.,"Contentment, Confidence, Neutral"
"Phoebe is, making people.","Happiness, Contentment, Excitement"
Everybody’s doing stuff!,"Excitement, Anticipation, Optimism"
"And we just sit here. I mean if I die the only way people would evenknow I was here, would be by the ass print on this chair! Look, we have to do something.Okay? Something huge!","Sadness, Frustration"
(snaps his fingers) We could climb Mt. Everest!,"Confidence, Excitement, Anticipation"
"No-no, not something stupid, something huge.","Confidence, Excitement, Optimism"
"No-no-no-no-no, I saw an ad for this video, people climb that thingeveryday! We could totally do that!","Confidence, Excitement, Optimism"
"Why not?! I mean it’s just, it’s just climbing! It’sjust, it’s just steep!","Confidence, Excitement, Frustration"
Yeah!,"Happiness, Confidence, Excitement"
"We’re going to Everest! Okay, it would be nice to leave an assprint on Everest!","Happiness, Excitement, Anticipation"
(entering) Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
What-what’s up?,"Surprise, Anticipation, Confusion"
We’re gonna climb Mt. Everest!,"Confidence, Excitement, Optimism"
Yeah baby!,"Happiness, Confidence, Excitement"
"Really?! I looked into that. Yeah, but, I mean it costs like $60,000 andy’know you can die. And, you would die!","Neutral, Fear, Frustration"
"(dejected) Yeah, well…",Sadness
We could get that Everest video though.,"Excitement, Anticipation, Optimism"
"Yeah, we could do that without y’know risking our lives at all!","Confidence, Excitement, Optimism"
"And while we’re down at the video store, you know what else we couldrent?","Excitement, Anticipation, Optimism"
"(dejected) Oh, well…",Sadness
So you guys’ll stay here and hang out with me?,"Happiness, Contentment, Excitement"
Yeeeeahhhh.,"Happiness, Excitement, Anticipation"
Yeah. Yeah.,"Contentment, Neutral, Confusion"
But I’ll tell you something. One of these days we’re get offof our buts and rent,"Confidence, Frustration, Optimism"
Yeah we are!,"Happiness, Confidence, Excitement"
So what did he decide? Does your Uncle Nathan get an invite or not?,"Anticipation, Confusion, Frustration"
"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly toLondon in a million years. Yeah, invite him? Hey, did I do these neat enough? (Hands hersome envelopes.)","Anger, Disgust, Frustration"
"Yeah, they’re fine.","Contentment, Confidence, Neutral"
Yeah?,"Confidence, Surprise, Excitement"
"If anyone asks, we’ll just say Ben addressed them. (Looking throughthe envelopes.) Oh! So you invited Rachel then?","Surprise, Excitement, Confusion"
Sure. Why not?,"Confidence, Neutral, Optimism"
Really?,"Neutral, Surprise, Confusion"
Yeah?,"Confidence, Neutral"
I don’t think I’d be comfortable with any of my old loversthere.,"Neutral, Disgust, Frustration"
"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?","Fear, Confusion, Frustration"
"Oh, no-no, y’know I absolutely adore Rachel it’s just that,well it might be a awkward for you. But it’s absolutely your decision. (Gets up.)More tea?",Love
Yeah sure.,"Confidence, Neutral"
Earl Grey?,"Neutral, Surprise, Anticipation"
"Huh? Yeah, fine, invite whoever you want.","Contentment, Confidence, Neutral"
"I don't want to be single, okay? I just... I just- I just wanna be marriedagain!","Sadness, Frustration, Longing"
And I just want a million dollars! (He extends his hand hopefully.),"Happiness, Excitement, Optimism"
Rachel?!,"Surprise, Excitement, Anticipation"
"Oh God Monica hi! I just went to your building and you weren't there andthen this guy with a big hammer said you might be here and you are, you are!","Surprise, Excitement, Anticipation"
"Okay, everybody, this is Rachel, another Lincoln High survivor. (ToRachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember mybrother Ross?","Excitement, Anticipation, Nostalgia"
"Hi, sure!","Happiness, Contentment, Confidence"
Hi.,"Happiness, Contentment, Neutral"
"You know you probably didn't know this, but back in high school, I had a,um, major crush on you.","Surprise, Excitement, Nostalgia"
I knew.,"Confidence, Neutral, Anticipation"
You did! Oh.... I always figured you just thought I was Monica's geekyolder brother.,"Surprise, Nostalgia, Confusion"
I did.,"Happiness, Contentment, Confidence"
"Oh. Listen, do you think- and try not to let my intense vulnerabilitybecome any kind of a factor here—but do you think it would be okay if I asked youout? Sometime? Maybe?",Fear
"Yeah, maybe...",Neutral
"Okay... okay, maybe I will...","Confidence, Anticipation, Frustration"
"See, I see.... big passion in your future.","Excitement, Anticipation, Optimism"
Really?,"Surprise, Excitement, Confusion"
I do.,"Contentment, Confidence, Neutral"
"Oh Ross, you're so great. [she playfully rubs his head and gets up]","Happiness, Love"
It's never gonna happen.,"Neutral, Frustration"
"Hey, I have a question. Well, actually, it's not so much a question as..more of a general wondering... ment.","Neutral, Confusion, Frustration"
Okay.,"Contentment, Confidence, Neutral"
"Okay. Umm, for a while now, I've been wanting to, um....","Anticipation, Confusion, Frustration"
Ohhh!!!! [looking at something behind Ross],"Surprise, Excitement, Anticipation"
"Yes, yes, that's right...","Confidence, Excitement, Optimism"
"Oh, look at the little cat! [a small kitten is on the roof behind Ross]Look at it!","Happiness, Surprise, Excitement"
What? [the cat jumps on his shoulders] Ow!,Surprise
"All right, listen, missy. If you want this cart, you're gonna have totake me with it!","Confidence, Frustration"
(to Ross) Yes! Did you see that?,"Happiness, Surprise, Excitement"
"You were incredible! Brand new woman, ladies and gentlemen.","Happiness, Confidence, Excitement"
I could not have done this without you.,Happiness
"Ok, um, uh, more clothes in the dryer? (Ross turns and bangs his head onan open dryer door.) I'm fine, I'm fine.","Neutral, Confusion, Frustration"
You had no right to tell me you ever had feelings for me.,"Sadness, Anger, Frustration"
(hurt) What?,"Surprise, Confusion, Frustration"
I was doing great with Julie before I found out about you.,"Sadness, Anger, Disgust"
"Hey, I was doin' great before I found out about you. You think it's easyfor me to see you with Julie?","Sadness, Anger, Frustration"
"The point is I... I don't need this right now, OK. It, it's too late, I'mwith somebody else, I'm happy. This ship has sailed.","Contentment, Sadness"
"Alright, fine, you go ahead and you do that, alright Ross.","Neutral, Confusion, Frustration"
Fine.,"Neutral, Disgust, Frustration"
'Cause I don't need your stupid ship.,"Anger, Disgust, Frustration"
Good.,"Contentment, Confidence, Neutral"
Good. (Ross leaves),Neutral
