Dialogue,Emotions
Here you go Pheebs. Who else wants one of my special homemade brownies?,Enthusiasm
I will have one. (Ross and him both take one.),"Achievement, Satisfaction"
"Okay, I’m not gonna have one.",Frustration
Neither will I. (they both put back the brownies.),Frustration
"No, no, it’s just my tooth.",Frustration
"All right I’ll have one. (he and Ross take another brownie,)",Satisfaction
"So what’s a matter, you need a dentist? I’ve got a good one.","Jealousy, Gratitude"
"No thanks, I have a good one too. I just, I, I can’t see him.",Frustration
See that is the problem with invisible dentists.,Frustration
Why? Why can’t you go to him?,Frustration
"Because, every time I go to the dentist, somebody dies.",Fear
"That is so weird, because every time I go to the dentist, I look downthe hygienist’s blouse.",Unknown
"Phoebe, what? Umm...what?!",Confusion
"Yeah, yeah, first there was my aunt Mary, and then there was umm, John,my mailman, and then my, my cowboy friend ‘Albino Bob’.","Affection, Excitement, Engagement"
And all these people actually died?,Curiosity
"Yes, while I was in the chair! That’s why I take such good care ofmy teeth now, y'know, it’s not about oral hygiene, I floss to save lives!","Frustration, Enthusiasm"
"Pheebs, come on, you didn’t kill anybody, these people just happenedto die when you went to the dentist. It’s, it’s, it’s just ah, acoincidence.",Frustration
"Well tell that to them. Oh! You can’t, their dead.","Frustration, Anger"
"Thanks, Gunther. (takes the plate Gunther serves him and Rachel comes upand kisses him) (to Rachel) Hey! (to Gunther) Umm, can I get a napkin too?","Affection, Gratitude"
"Oh, like you don’t already have everything.",Unknown
(trying to bite into an apple) Ow! Ow! (drops the apple in disgust.),Frustration
"Phoebe, your in pain, would you just go to the dentist, just go.",Frustration
"All right, fine, fine, but if you’re my next victim, don’tcome back as a poltergeist and like suck me into the TV set.",Frustration
I promise.,Relief
"Although, don’t feel like you can’t visit.",Relaxation
"(entering with Monica) Hey, is, is, is Chandler here?","Curiosity, Confusion"
"(patting his clothes like he is looking for his wallet) No, no he’snot.",Frustration
"You guys, Joey just saw Janice kissing her ex-husband.",Unknown
"What? (to Joey) So what are you going to do? I mean how, how are you goingto tell Chandler?","Frustration, Worry"
"Well, I was thinking about that and I, I think the best way would be, tonot.",Frustration
"Joey, you can’t keep this to yourself, if you know about this, youhave to tell him.",Frustration
"It’ll kill him. I mean it’ll, it’ll just kill him.","Fear, Desperation"
"Well, you could wait ‘til I go to the dentist, maybe",Curiosity
(looking out the window) Ewww! Ugly Naked Guy is using his new hammock.It’s like a,Unknown
"Well, I’m going to the dentist, so listen, okay, just be on thelook out for anything that, that, that you can fall into, or, or that can fall on you,or... All right, just look out! Okay, And um, I also just wanna, I just wanna tell you allthat um...... (starts to cry and runs out)","Stress, Frustration, Overwhelm, Loneliness, Anxiety"
"Okay, I have a problem I have to go into work for a few hours, some kidsmessed up the Homo Sapien display.",Frustration
What did they do?,Frustration
"Well, they painted over the word ‘Sapien’ for one thing, thenthey rearranged the figures, let’s just leave it at that.",Frustration
"So, do you want me to watch Ben for you?",Relief
"Yes, that’s what I was going to ask, thank you.",Gratitude
Whoa! Wait! Hello! What about me?,Frustration
"You? You! Want to watch Ben? (in the background Monica mouths‘Don’t worry, I’ll be here the whole time.’ to Ross.) Yes! That’dbe great, no, I just wanted to ask Monica, because I know how empty her life is. (Monicasarcastically mouths ‘Yeah!’ and holds up her thumb.)","Frustration, Satisfaction, Boredom, Enthusiasm, Loneliness, Gratitude"
"Hey-hey, Ross?",Excitement
Yeah.,Boredom
I’ve got a science question.,Curiosity
Hmm?,Confusion
"If the Homo Sapiens, were in fact ‘Homo-sapien’, is that whythere extinct?",Confusion
"Joey, Homo Sapiens are people.","Belonging, Respect, Connectedness"
"Hey-hey, I’m not judging.","Enthusiasm, Affection, Gratitude, Love, Relaxation, Contentment"
"(holding Ben) Look Benny, spoon. (moves it back and forth) Spoon. Comeon! All right, y'know what I think he’s bored.",Boredom
"Here. Ben, do you wanna play the airplane game, do you wanna showRachel? Come here. (takes Ben) We’re gonna do something fun. Okay. (throws Ben up inthe air a little bit and catches him) Weee!! (moves into the living room and does itagain) Weee!! (starts to walk back into the kitchen as she does it again, and hitsBen’s head on that wooden beam across the ceiling.)","Frustration, Enthusiasm, Affection, Embarrassment"
"(to Ben) Who’s so brave, you’re so brave, yes you are,you’re so brave.","Affection, Bravery"
"Okay. Okay honey, he’s fine, he’s fine, let’s just puthim down. Come here, Ben. (sets him on the couch) See that’s a good boy. (to Monica)How could you do that to him!! Ross trusted me, what is he going to say?!","Stress, Frustration, Affection, Trust, Betrayal"
"He’s not gonna say anything, because we’re not gonna tell him.","Frustration, Satisfaction"
We’re not?!,Frustration
No we’re not.,Frustration
"All right, I like that.","Satisfaction, Interest"
Okay.,Boredom
"So we’re okay, we’re okay, we’re okay, (starts to examBen) aren’t we? No, we’re not okay, we’re not okay, there’s a bump,there’s a bump.","Frustration, Overwhelm"
Oh my God! Well push it in! Push it in!,"Frustration, Excitement"
I cannot push it in!,Frustration
"Okay, we’re gonna need a distraction.","Frustration, Anticipation, Determination"
"Okay, okay, okay.",Frustration
I got it!,Achievement
Okay.,Boredom
"The second that Ross walks in that door, I want you take him back toyour bedroom and do whatever it is that you do that makes him go, (high pitched) rweee!!","Frustration, Enthusiasm"
Or. We could put a hat on his head.,"Frustration, Boredom"
A hat! Yes! We need a hat.,"Achievement, Satisfaction, Enthusiasm"
We need a hat..,Frustration
Where are we gonna find a tiny little hat?,Frustration
"Oh, oh, oh, I’ll get ‘Rainy Day Bear’!! (runs to get him)","Enthusiasm, Affection"
"Because he’ll know what to do? (Rachel comes out of her room with abear that’s dressed in a rain suit.) Oh my God, you’re a genius!","Enthusiasm, Excitement"
"Oh God, oh God, it’s sowed on though.","Frustration, Exhaustion"
Give it. Give it.,Frustration
Okay.,Unknown
Oh!!,Excitement
"Oh, it’s just like a bloodbath in here today.","Frustration, Overwhelm, Exhaustion"
