Dialogue,Emotions
(from bedroom) WHOAA!!,Excitement
"(going to the bedroom) See Joe, that's why your parents told you notto jump on the bed.",Frustration
"Hey, look at me. I'm making jam, been at it since 4 o'clock thismorning.","Achievement, Satisfaction"
Where'd you get fruit at four in the morning?,Boredom
Went down to the docks. Bet ya didn't know you could get it wholesale.,Enthusiasm
I didn't know there were docks.,Curiosity
Hey.,Interest
Hey.,Boredom
"Aww, is it broken?","Frustration, Affection"
"No, I gotta wear this thing for a couple weeks. (points to the sling he iswearing)",Frustration
Did you tell the doctor you did it jumping up and down on your bed?,"Frustration, Curiosity"
Nooo. I had a story all worked out but then Chandler sold me out.,"Frustration, Betrayal"
"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that itjust *fell* out of the socket.",Frustration
What is this? Fruit?,Confusion
Monica's making jam.,Satisfaction
"Whoa, jam! I love jam! (to Chandler) Hey, how come we never have jam atour place?","Enthusiasm, Affection"
Because the kids need new shoes.,Stress
"I'm going into business people. I'm sick and tired of being depressedabout Richard. I needed a plan, a plan to get over my man. What's the opposite of man?Jam. (sees Joey trying some jam from the pot) Oh Joey don't! It's way to hot. (Joeyrealizes this and spits what he had in his mouth back into the pot.)","Frustration, Satisfaction, Enthusiasm, Embarrassment"
This will just be my batch.,Achievement
"(turns around) Um, that's it. No. Hey! You! J. Crew guy. Yeah. Why haveyou been following me? I mean, all week long everywhere I look there's you.",Frustration
"You wouldn't return my calls, you sent back my letters....",Frustration
What?,Frustration
"One more chance Ursula, please?",Frustration
"Oooh. Oh, well this is awkward.",Embarrassment
Wh..,"Frustration, Confusion"
"Um, yeah, you want Ursula, and I'm Phoebe. Twin sisters! Seriously.","Frustration, Satisfaction, Interest"
"Oh, that's great. I'm stalking the wrong woman. I am such a dingus!","Frustration, Doubt, Embarrassment"
"Oh, you're not a dingus.",Relief
"I just, I want you to know I didn't used to be like this. Before I meetyour sister I was like this normal guy who sold beepers and cellular phones.","Nostalgia, Embarrassment"
"Well, I mean look it's, it's not your fault, you know. I mean this isjust what, what she does to guys, okay.","Frustration, Disappointment"
Well thanks. (starts to leave),Gratitude
"Wait, (grabs him) you know what, I got a little story. When I was inJunior High School I went through this period where I thought I was a witch. And there wasthis guidance counselor who said something to me, that I think will help you a lot. Hesaid okay, 'you're not a witch you're just an average student.' See what I'm saying?","Frustration, Satisfaction"
Not really.,Boredom
"Um, well, get over it. So, I mean you, you just seem to be a really niceguy, you know. Don't be so hard on yourself okay.",Affection
"Wait. You're right. I know you're right. And, thanks for being so nice.Here (gives her the flowers he bought.)",Gratitude
"Oh, thanks a lot. Do you want to get a cup of coffee?",Gratitude
"Yeah, okay.",Boredom
"Okay. (they start to leave, he is still following her) Okay, you don'thave to walk behind me any more.","Frustration, Relief"
Sorry.,Unknown
Mon?,"Curiosity, Confusion"
Mon?,Confusion
(reading) 'Gone for more jars. Back later. Monica Geller.',"Contentment, Accomplishment"
"Wait a minute, look.","Frustration, Excitement"
What?,Frustration
"Look, look, look.","Excitement, Anticipation"
"What, what, what?",Frustration
It's an empty apartment.,Unknown
Oooh.,Unknown
We're all alone in an empty apartment.,"Loneliness, Isolation, Comfort"
"Honey, come on, I have to be at work in like ten minutes (Ross startskissing her neck) Oh, all right, well it's not like I'm employee of the year or anything.(they fall onto the couch)","Affection, Relaxation"
There it is.,Achievement
"Oh, oh, that's what you're talking about. (to Chandler) Hey.","Frustration, Interest"
Hey.,Enthusiasm
Do I look fat?,Insecurity
"Okay, I accept that. When Janice asked me and I said no, she took thatto mean that I was calling her a cow.",Frustration
"Okay, walk us through it, honey, walk us through it.","Enthusiasm, Affection"
"Okay, well. Janice said 'Hi, do I look fat today?' And I, I looked ather....","Frustration, Insecurity"
"Whoa, whoa, whoa. You looked at her. You never look. You just answer, it'sjust a reflex. Do I look fat? Nooo! Is she prettier than I am? Noo! Does size matter?","Frustration, Jealousy"
Nooo!,Frustration
And it works both ways.,"Achievement, Satisfaction"
"Okay, so you both just know this stuff?",Frustration
"Well you know, after about thirty or forty fights, you kinda catch on.","Achievement, Satisfaction, Interest"
"Okay, for instance. Let's say, Janice is coming back from a trip and shegives you two options. Option number 1 she'll take a cab home from the airport. Option 2is you can meet her at baggage claim. Which do you do?","Frustration, Anticipation, Indignation"
"That's easy, baggage claim.",Achievement
"(buzzes) Wrong! Now you're single. It's actually secret option numberthree, you meet her at the gate. That way she knows you love her.","Frustration, Satisfaction"
"Okay, this is good, this is good. All right listen, I have one. Janicelikes to cuddle, at night, which, you know I'm all for. But, uh, you know when you want togo to sleep, you want some space. So, uh, how do I tell her that without, you know,accidentally calling her fat or something.","Stress, Frustration"
"Oh honey, I'm sorry we can't help you there, 'cause we're cuddlilysleepers. (Chandler makes an 'Ewww' face) Okay, I'm late for work.","Frustration, Boredom"
Oh.,Boredom
All right are you guys gonna come down?,Frustration
"Uh, yeah, yeah I'll, I'm right behind you.",Boredom
Good luck Chandler.,Unknown
Thank you Rachel.,Gratitude
Bye sweetie.,Affection
Bye hon.,Affection
"(blows her a kiss) Okay the sleeping thing. Very tricky business, butthere is something you can do.","Enthusiasm, Affection"
"Well, I thought you guys were cuddlily sleepers.","Boredom, Affection"
"Noo! No, not cuddlily, not me, just her. I'm like you, I need the room.Okay, come here. (they sit on the couch and Ross puts his hands on Chandler's shoulder andthigh.) Okay, you're in bed...","Frustration, Affection, Loneliness, Love, Contentment"
Yeah. (they both notice where his hands are),Embarrassment
I'm gonna use the cushion.,Satisfaction
Yeah.,Boredom
