Dialogue,Emotions
(answering phone) Hello.,Calmness
"(on phone) Hey, it’s me. I know you can’t stand to be in thesame room as me, so I just thought I’d try and apologize over the phone. All I…(Joey hangs up the phone in disgust.)",Frustration
(answering phone) Hello.,Calmness
"Look I never should have kissed your girlfriend, but I’m…(Joey hangs up the phone again.)",Frustration
(answering phone) Stop callin’!!,Frustration
"(on phone) Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 dailychallenge.",Enthusiasm
All right!,Excitement
"What is the name of your roommate who is very, very sorry and would doanything… (Joey realizes it’s Chandler and hangs up the phone in anger.)","Frustration, Anger"
"(entering) Aww, turkey! Aww, giving thanks! Aww!","Gratitude, Excitement"
"Look everyone, it’s the spirit of Thanksgiving!","Gratitude, Excitement"
So are things with you and Joey any better?,Frustration
"They couldn’t be worse. I spent eight hours calling him lastnight, just trying to get him to talk to me.",Frustration
"Oh wow, eight hours? So you could probably really use one of thoseplug-in telephone headsets huh?","Tiredness, Relief"
Should we,Curiosity
You shouldn’t.,"Frustration, Disappointment"
"Speaking of Christmas, umm since Monica and I are starting a newbusiness and have like no money, umm, this year maybe we could do secret Santa, and thenwe each only buy one gift. And-and there’s the added mystery of who gets who.","Stress, Satisfaction, Enthusiasm, Anticipation"
Who gets whom. (They all look at him.) I don’t know why I do that.,Frustration
"Well, I’m gonna take a nap, turkey makes me sleepy.",Unknown
We haven’t eaten yet!,Frustration
"I know, but all that work you’re doing to get it ready, Ijust… (goes into her bedroom.)",Frustration
"Hey, by any chance did either of pick uh Rachel for your secret Santa,‘cause I wanna trade for her.","Frustration, Jealousy"
I picked her! Oh thank God you want her! Ooh!,"Gratitude, Excitement"
Wow! Why do you want to get rid of her so badly?,Frustration
"Because she exchanges every gift she ever gets, it’s likeimpossible to get her something she likes. Come on, let’s trade!",Frustration
"Oh that’s not true! That’s not true! I got her that backpackand she loved it! I remember how much she was crying the day when that big dog ran offwith it… (notices the look on Monica and Phoebe’s faces.) Oh, there was no bigdog. All right this sucks! I already got her this briefcase, and I had R.G. put onit… (Phoebe looks confused.) Her initials…","Frustration, Confusion"
Ohh.,Frustration
"Well, maybe you could give to somebody else. Ooh, like Ross Geller.","Frustration, Jealousy"
"Op, y'know what though, it’s kind’ve a girlie briefcase.","Boredom, Embarrassment"
Who cares? He works in a museum!,Indignation
"Hey, what time is it? The big game is about to start!","Enthusiasm, Excitement"
"You don’t have to do that, Ross and Joey aren’t here, you canwatch the parade if you want.","Affection, Relief"
Thanks.,Gratitude
What is wrong with this freezer?! (She jabs her arm into the freezer anda piece of ice flies into her eye.) Ow! Ow!!,"Frustration, Pain"
"God, what happened?!",Frustration
"Oh my God, ice just got in my eye!",Frustration
(standing in her doorway) People are trying to sleep in here!,Frustration
"Monica got ice in her eye, and it hurts.",Pain
"Open it up, let me see.",Frustration
"Oh, y’know what, I can’t, it really kills.","Frustration, Exhaustion"
Well maybe you should put some ice on it.,Satisfaction
"Ooh, God it looks bad.",Frustration
"Honey, maybe we should take you to a doctor.",Unknown
"No, my eye doctor is Richard! I can’t go to him when I don’thave a boyfriend!","Frustration, Loneliness"
He’s really picky about his patients.,Frustration
"Honey, you’ve got to go. What’s his office number?",Frustration
Like I remember his office number! (Pause) Speed dial 7.,"Achievement, Frustration, Satisfaction"
"(on phone) Hi! Yeah, I’m calling on behalf of Monica Geller’seye, and is um, is Richard Burke in today. (Listens) (to Monica) He’s out of town,but does she want to see the on-call doctor?","Stress, Frustration, Overwhelm, Boredom"
Yes!!,"Satisfaction, Excitement"
Yes! She’s very excited about that.,Excitement
"This is so cool, ‘til Monica gets back, it’s like I’mhead chef and I get to make all the decisions. (She looks at the remaining butter, andthen decides to add it to the dish.)","Satisfaction, Enthusiasm"
"Hey-hey, I thought she told you to follow the recipe exactly!",Frustration
"Okay, get out of my kitchen!","Frustration, Anger"
"(entering) All right! Okay! I think I am making some progress withJoey, when I went into the apartment he went straight into his bedroom but he only slammedthe door once! (Ross is pleased.) I mean yeah, he gave me the finger while doing it.","Satisfaction, Excitement"
