Dialogue,Emotions
Hey! I got you a present!!,"Affection, Gratitude, Excitement"
Oh my goodness! Where did you hide it?,"Excitement, Curiosity"
"I got it for your wedding and I ordered it weeks ago, and it finally gothere!","Achievement, Satisfaction"
Pheebs you didn’t have to get us anything for our wedding youalready sang…,"Frustration, Gratitude"
(interrupting) I love it! It’s huge!! Let’s open it! Open it!!(Monica rips open the paper.),Excitement
It’s a,Unknown
Oh my God!,Unknown
I didn’t know where to put it so I just left it here for now.,Overwhelm
"Oh well, maybe we can put it in the guest bedroom.","Frustration, Satisfaction"
"Oh, okay.",Boredom
All right. (He goes to push it and it doesn’t move.),Frustration
I kinda like it here.,Satisfaction
Do you really like it?,Curiosity
"Are you kidding?! I practically spent my entire childhood at the arcade!This is like—Oh my, this is like my second favorite game!","Enthusiasm, Nostalgia"
Oh really? What was your first?,Curiosity
Well I-I really don’t remember the name of it.,"Confusion, Realization"
Well what did it do?,Frustration
"Well, you just—you put a quarter in and y’know pull-pull somehandles and win like a candy bar or something.",Boredom
A vending machine?,Boredom
Don’t feel bad for me! I won like every time!,"Achievement, Satisfaction"
"Hey! Oh, I’m so glad you guys are here. I’ve been dying to tellsomeone what happened in the Paleontology department today.","Enthusiasm, Gratitude"
(To Rachel) Do you think he saw us or can we still sneak out?,"Fear, Panic"
"Professor Neuman, the head of the department, so….","Stress, Achievement, Frustration, Satisfaction, Overwhelm, Boredom"
They made you head of the department!,Achievement
"No, I get to teach one of his advanced classes! (Pause) Why didn’t Iget head of the department? (Goes and gets some coffee.)",Frustration
"Oh! Hey Rach, listen umm…",Anxiety
Yeah.,Boredom
"I got a big date coming up, do you know a good restaurant?",Excitement
"Uh, Paul’s Café. They got great food and it’s reallyromantic.","Enthusiasm, Affection, Gratitude, Excitement"
"Ooh, great! Thanks!","Gratitude, Excitement"
"Yeah! Oh, and then afterwards you can take her to the",Enthusiasm
"You sure are naming a lot of ways to postpone sex, I’ll tell ya…","Frustration, Overwhelm, Boredom"
"Ooh, I miss dating. Gettin’ all dressed up and going to a fancyrestaurant. I’m not gonna be able to do that for so long, and it’s so much fun!I mean not that sitting at home worrying about giving birth to a sixteen pound baby is notfun.","Frustration, Excitement, Worry"
"Hey, y’know what?","Enthusiasm, Interest"
Huh?,Confusion
Why don’t I take you out?,Interest
"What?! Joey, you don’t want to go on a date with a pregnant lady.",Frustration
"Yes I do! And we’re gonna go out, we’re gonna have a good time,and take your mind off of childbirth and c-sections and-and giant baby heads stretchingout…","Enthusiasm, Excitement, Relief"
(interrupting) Okay! I’ll go with ya! I’ll go! I’ll gowith ya.,"Enthusiasm, Excitement"
I’ll be fun.,Enthusiasm
All right?,"Disappointment, Relief"
"No. No! Yes! Ahh. Oh, would you look at that Monica? I just knocked offall of your top scores, how sad.","Frustration, Satisfaction"
"Okay, I’m next. (Phoebe starts another game.) Don’t!Don’t start another game! I said I’m next! Phoebe!",Frustration
"Oh, I’m sorry. I didn’t hear you over all the winning.",Satisfaction
Chandler! Phoebe’s hogging the game!,Frustration
Who cares? It’s a stupid game.,Frustration
You only think it’s stupid because you suck at it.,Frustration
I don’t suck. It’s sucks. You suck.,"Frustration, Anger, Irritation"
"Wait okay, if this game is gonna cause problems between the two of you,then maybe I should just keep it.","Frustration, Disappointment"
"No! No-no! I love it! It is a great present! In fact, why don’t yougo home and wait for the thank you card?","Gratitude, Excitement"
Why do you want to play this game so bad?,Frustration
Yeah! It’s not like it spits out a,Enthusiasm
"Okay. Phoebe that’s it. Come on, get out—out of the chair. Getout! (She goes to move Phoebe, but Phoebe goes limp and Monica can’t move her.) Ohcome…Phoebe!","Frustration, Exhaustion"
Joey? Could you get that? (There is no answer and she goes and opens thedoor to Joey.) What are you doing here? I thought you were in your room?,Frustration
"No, I’m picking you up for our date. These are for you. (Hands hersome flowers.)","Affection, Gratitude, Excitement"
"Ohh, Lilies. Joey, they’re my favorite. Thank you.","Gratitude, Love"
"And, a brownie! (Hands her a bag with the brownie in it.) Well, half abrownie. Actually, it’s just bag. It’s been a long walk from the flower shop andI was startin’ to feel faint so…","Frustration, Exhaustion, Relief"
"Oh man! This is so great! I actually feel like I’m going on a realdate! Although, I have a hint of morning sickness, and I’m wearing underwear thatgoes up to about…(She snaps the waistband on her underwear that is just slightlybelow her breasts)…there.",Enthusiasm
"Hey come on now, this is a real date. Uh, so…nice place you got here.Foosball, huh? Pizza box. Oh, a subscription to","Enthusiasm, Curiosity, Interest"
"Yeah, actually that’s my roommate’s.",Satisfaction
I would like to meet him. He sounds like a stand up guy.,"Enthusiasm, Affection"
"Ah yes, but he’s very protective of me so you’d better watchyourself.",Unknown
"Ah… Hey, so this roommate of yours…is he good looking?","Curiosity, Interest"
Hm-mmm.,Boredom
"Oh yeah, it must be tough to keep your hands of him, huh?",Jealousy
"(laughs) Yeah, but I’m pretty sure he’s gay.","Confusion, Interest"
"No-no-no-no, he’s not! No! Why are you trying to ruin the game? Comeon!",Frustration
"…which brings us back, of course, to Greely’s theory of dominance.(The bell rings.) Okay, that-that’s all for today. Oh, uh does anyone know where theFreeman building is?","Boredom, Exhaustion"
"Yeah, it’s the new building on Avenue A.",Satisfaction
"What?! That-that’s all the way cross town, I’m supposed to teacha graduate seminar there in ten minutes.",Frustration
"Ooh, dude. That’s not gonna happen.",Frustration
Move it! Move it! Move it!! Hey!!! I’m the teacher!!,"Frustration, Anger"
"Hello. (He throws his jacket towards the coat rack and misses.) I’msorry I’m a little late. Ah—(Checks his watch)—Whoa! A lot late. Let mestart by uh, by introducing myself, I am Professor Geller. (The bell rings.) So to sum up,I’m Professor Geller. Good job today.","Frustration, Overwhelm, Boredom, Enthusiasm"
"Now the filet mignon, what comes with that?","Curiosity, Interest"
There’s a side of steamed vegetables.,Satisfaction
"Emmm. Now, instead of the vegetables, is there anyway I can substitutethe three-pound lobster?",Frustration
"Y’know what? Bring her both, and I’ll have the same. (Thewaitress leaves.)",Satisfaction
"Wow! This is shaping up to be a pretty good date—Oh, I almostforgot. I didn’t pay you the rent check.",Enthusiasm
"Oh whoa-whoa-whoa, no roommate stuff. Okay? We’re on a date.","Frustration, Affection"
Okay. Wow! So I get to see what Joey Tribbiani is like on a date. So doyou have any moves?,"Excitement, Curiosity"
"No! No. Umm, just myself and if they don’t like me for—(Laughs.)I’m sorry I couldn’t even get through that.",Frustration
I knew it! I knew it. Come on tell me your moves.,Excitement
"Oh alright. Umm, well, okay, I usually start by having a bottle of winesent to my table from a fan.",Frustration
Oh my God. And that works?!,Interest
"Well it does when you combine it with, This is so embarrassing",Embarrassment
"Oh, you poor little famous man.","Affection, Belonging"
"Oh okay, how about this one. I was gonna wait until the end of the nightto kiss you, but you’re so beautiful…I don’t think I can.","Affection, Excitement"
"(looks interested) Oh my God! Wow! That was fantastic, I almost leanedin. I really almost did!","Excitement, Interest"
"Alright, so…so tell me one of your moves.",Enthusiasm
Alright. So where’d you grow up?,"Curiosity, Interest"
"That’s your move? Boy Rach, you’re lucky you’re hot.",Unknown
"Come on, just answer the question!",Frustration
(exasperated) Queens.,Frustration
And so were-were you close to your parents?,Curiosity
"Yeah, with my mom. Yeah, not so much with my dad.",Frustration
Why not?,Frustration
"I don’t know. I guess there’s just always been this distancey’know—I mean we both try to pretend it’s not there, but it is.",Loneliness
(sympathetic) Oh. (Starts rubbing his wrist with her fingers.) It’sgotta be rough.,Affection
"Yeah, it is. It’s really tough. Y’know sometimes Ithink—Wow!! Nice move!","Achievement, Frustration, Excitement, Engagement, Energized"
Huh?,Confusion
Where’d you grow up,"Curiosity, Interest"
"Thank you! And now if you’ll excuse me, I have to go to the restroom.",Relief
Yeah.,Boredom
And now you’re watching me walk away.,"Heartbreak, Determination"
Yes I am! Again so simple!,"Achievement, Frustration"
Hey.,Unknown
You are not going to believe what I did today!,Excitement
Well it clearly wasn’t showering or shaving.,Frustration
I got good. I played this game all day and now I rule at it! Theyshould change the name of it to Ms. Chandler. (Pause) Although I-I hope they don’t.,"Achievement, Enthusiasm, Anticipation, Hope"
"Wait a minute, you stayed home all day and played","Frustration, Disappointment"
"Uh-huh, and I got all the top ten scores, I erased Phoebe off theboard! High five! (Holds up his hand to give Monica a high five, only he can’tstraighten his fingers.)","Achievement, Frustration, Satisfaction"
What is the matter with your hand?,Unknown
"Well I’ve been playing it for like eight hours, it’ll loosenup. Come on, check out the scores. Oh, and also look at the initials, they’re dirtywords.","Frustration, Boredom"
"Chandler, why would you do that?",Frustration
Because it’s awesome.,Enthusiasm
You think this is clever?,Frustration
"Well y’know, they only give you three letters, so after A-S-S itis a bit of a challenge.","Achievement, Frustration"
"Hey wait a minute, this one isn’t dirty.",Frustration
It is when you put it together with that one.,Frustration
"Ah, well if you don’t clear this off, you won’t be getting oneof those from me. But Ben’s coming over here tomorrow to play this game, thiscan’t be there.","Frustration, Anticipation, Determination"
"Come on, he won’t even know what they mean.",Frustration
Chandler! He’s seven; he’s not stupid.,Frustration
Have you talked to him lately?,Curiosity
"All right, look I’m just gonna unplug it.",Frustration
"No-no-no, if you unplug it, I’ll have nothing to show for my day!It would be like I was at work. (She unplugs it.) No! (And plugs it back in.) Hey look atthat! Look at that, it’s still there! This thing must have some kind of primitive ROM(Read Only Memory, it’s a memory chip.) Chip in it or something!","Frustration, Satisfaction"
Honey you-you got to beat your scores!,"Achievement, Frustration, Determination"
With the claw?!,Frustration
"All right fine. Fine, I’ll do it. I’ve just got to get thisoff the screen. Carol and Susan are still upset that you taught him pull my finger.",Frustration
(smiles) Pull my finger—(Looks at his hand)—My hand ismessed up.,"Frustration, Embarrassment"
I am not gonna answer that!,Frustration
"Oh come on! Just pick one! Between Monica, Phoebe, Chandler, and Ross ifyou had to, if you had to, who would you punch?",Frustration
"No one! They are my friends, I wouldn’t punch any of them.","Affection, Love, Trust"
Chandler?,Confusion
"Yeah, but I don’t know why. Look at me, I’m having such awonderful time!","Satisfaction, Enthusiasm"
"Me too! Hey Rach, can I just say I think this is the best date I ever had!","Enthusiasm, Affection, Gratitude"
I know!,Achievement
I never laughed so hard—Did you see the wine come out of my nose?,Satisfaction
"Joey, I think everyone saw the wine come out of your nose.",Embarrassment
"I gotta say, I never knew I could enjoy the non-sex part of the date somuch.",Unknown
Well that is because you have never been on a date with me before.,Frustration
Huh. Huh.,Frustration
"All right, now don’t judge me. I normally wait until my dateleaves, but you live here. I’m ripping into this swan.","Frustration, Satisfaction"
"Ah! Okay, well then you don’t judge me. I’m gonna suck on thecellophane from the brownie I had before. (They both do as they planned.)","Frustration, Satisfaction, Boredom"
"So tell me, what are Joey Tribbiani’s end of the night moves?","Curiosity, Interest"
