Dialogue,Emotions
Hi!,Enthusiasm
Hey!,Excitement
Hey!,Enthusiasm
"So, I’m in my apartment doing the",Boredom
"(reading) Three down,",Achievement
How cool is this?! We know three down! I’m touching three down!(She has her hand on his shoulder.),"Enthusiasm, Affection"
Yeah you are baby.,Affection
"Three down knows I’m married, what’s three down doin’?",Frustration
So did they call you to tell you your name’s gonna be in this?,Curiosity
"No. They really like me over there. They want to do a big profile on me,but I said no.","Satisfaction, Curiosity"
Why’d you say no?,"Frustration, Curiosity"
"Remember what happened the last time I did an interview for them? I said Iwrite a lot of my own lines, and then the writers got mad and made my character fall downthe elevator shaft. So who knows what I might say this time.","Frustration, Anticipation"
If,Unknown
"Oh, come on Joey! You will totally keep it in check this time, and plusy’know the publicity would be really good for your career! And you deserve that! Andif you do the interview you can mention, oh I don’t know, gal pal Rachel Green?","Enthusiasm, Affection, Jealousy, Gratitude, Excitement"
Is that gal pal spelled L-O-S-E-R?,"Frustration, Jealousy"
"Okay, don’t listen to him. Please?",Frustration
"Fine! All right, I’ll do it. But hey! You guys have to be at the nexttable so you can stop me if I y’know, start to say something stupid.","Frustration, Enthusiasm, Determination"
"Just then or-or all the time, ‘cause we-we have jobs y’know.","Frustration, Overwhelm"
Come on! We will be there for you the whole time! Just remember gal palRachel Green. (Excited) Ha-ha! I’m gonna be in,Excitement
Yeah.,Boredom
I really appreciate you taking the time to do this.,Gratitude
"Oh, not at all. Happy to do it.","Satisfaction, Gratitude"
(To Chandler) You think we’re being obvious?,"Frustration, Doubt"
"No, we’re just four people with neck problems. You talk likethis. (Out of the sides of their mouths.)",Frustration
(To Joey) Y’know I think its great you wanted to meethere. Y’know when most people hear the magazine is paying for it they want to go to abig fancy restaurant.,Satisfaction
"(laughs) Actually, I didn’t know the magazine was paying for it.Wouldn’t have mattered, I’m doing this for the fans, not for the free food.","Satisfaction, Affection"
Can I get you anything?,Relaxation
"Umm, I’ll have a cup of coffee.","Boredom, Interest, Calmness"
And I’ll have all the muffins.,Satisfaction
(entering) Hey!,"Excitement, Engagement"
Shhh! We’re not talking.,Boredom
Oh. Finally! Oh. (Sits back in relief.),Relief
"So, according to your bio, you’ve done quite a bit of workbefore",Achievement
"Well, there are so many things, it’s hard to pick just one.",Overwhelm
"I’m gonna get some coffee, anyone want anything?",Boredom
"Oh yeah, I’d actually love a blueberry muffin and a chamomile tea.","Satisfaction, Affection"
"Uh, double latte, extra foam.",Frustration
And a bagel with only…,Frustration
(interrupting him) I was just being polite!,Frustration
"Okay, how about when you’re not working. What do you do inyour spare time?","Relaxation, Interest"
"In my spare time I uh, read to the blind. And I’m also a mento forthe kids.(The gang shake their heads.) Y’know a mento, a role model. (Chandler biteshis fist to keep from talking.)",Frustration
A mento…,"Excitement, Curiosity"
Right.,Boredom
Like the candy?,"Confusion, Interest"
"Matter of fact, I do.",Satisfaction
"Well umm, another thing our readers always want to know is howour soap stars stay in such great shape. Do you have some kind of fitness regime?","Engagement, Curiosity, Interest"
"Uh, we stars just try to eat right and get lots of exercise.",Contentment
Yeah!,Enthusiasm
Hey! We totally forgot about lunch!,Frustration
It tastes like feet!,Frustration
"Uhh, I don’t believe in these crazy diets y’know, justeverything in moderation.","Boredom, Disappointment"
Your muffins. (Sets down a huge plate of muffins in front ofJoey.),Satisfaction
I’ll take those to go. (To the interviewer) For the kids.,"Affection, Gratitude"
"Oh, I know what I wanted to ask you. You were on the show yearsago and then they killed you off. What happened there?","Curiosity, Interest"
"It was so stupid, I said some stuff in an interview that I shouldn’thave said. But believe me, that’s not gonna happen today.","Frustration, Determination"
"Understood. So, what’d you say back then?",Curiosity
"Well, I said that I… (The gang jumps up and interrupts him.)",Frustration
"You guys, this is Shelley, she’s interviewing me for",Enthusiasm
"(interrupting him) Hi! I’m gal pal Rachel Green, and if you wantthe dirt, I’m the one you come too. This might be Joey’s baby (rubbing herstomach), who knows? I’m just kidding—Seriously, (leans into the cassetterecorder Shelley is using) gal pal Rachel Green.","Enthusiasm, Affection, Excitement, Engagement"
(leaning into the recorder as well) Who just lost the respect of herunborn child.,"Offense, Respect, Anger"
"Umm, I’m gonna just go get this warmed up. (She takes hercoffee mug up to the counter.)",Anticipation
Okay.,Unknown
Joey! You’re doing great!,"Achievement, Satisfaction, Enthusiasm"
"Yeah, so far nothing stupid.",Satisfaction
Mento?,"Curiosity, Confusion"
No thanks.,Unknown
"(returning) So, as Joey’s friends, is there anything thatyou guys think our readers ought to know?","Enthusiasm, Engagement"
"Uh no, no just-just that he is a great guy.","Boredom, Interest"
"(scoffs at him) Yeah, that’s gonna get you into",Unknown
"Umm, I…I just think you don’t expect someone so hot to be sosweet.",Affection
Oh! I like that. What’s your name?,Interest
"Umm, Phoebe Buffay.",Boredom
How do you spell that? So we can get it right.,"Curiosity, Interest"
"Oh okay, it’s P as in Phoebe, H as in hoebe, O as in oebe, E as inebe, B as in bee-bee and E as in (In an Australian accent) ‘Ello there mate!",Frustration
"Great! Well, it was nice meeting all of you.",Satisfaction
"Yeah, you too.",Boredom
You too!,Satisfaction
Thanks.,Gratitude
Bye. (They resume their previous positions.),Contentment
"So it seems like you have a lot of friends, who would you sayis your best friend?",Unknown
How come you have two?,"Curiosity, Confusion"
"Oh, Joey! Sorry!",Frustration
No that’s all right. Don’t worry about it.,Relief
Oh but look! That’s gonna leave a stain!,"Frustration, Disappointment"
