Dialogue,Emotions
(entering) Hi!,Enthusiasm
Hey!,Enthusiasm
Hey!,Enthusiasm
So what’s the final head count on my baby shower?,"Stress, Frustration, Overwhelm"
"About twenty, a couple people from work who had something else to do.",Boredom
Also both of your sisters called and neither can make it.,"Frustration, Disappointment"
"What?! You mean they’re not coming to a social event wherethere’s no men and there’s no booze?! That’s shocking! I don’t care,as long as my mom’s here.",Frustration
"Oh my God, your mother!",Frustration
What?! My mom’s not gonna be here?!,Frustration
"Well, given that we forgot to invite her it would be an awfully bigcoincidence if she was.",Frustration
My God!,Unknown
"Well it wasn’t my fault, Phoebe was in charge of the invitations!",Frustration
"Well I don’t, I don’t have a mother so often I forget thatother people…","Frustration, Loneliness"
(interrupting her) Oh give it a rest!,Frustration
So my mother is not coming to my baby shower?!,"Frustration, Disappointment"
No. (Pause) Neither is mine.,Frustration
"Okay, y’know what? Don’t worry, okay? We’ll take care ofit. We’ll call her. Just go home and get ready.","Gratitude, Trust, Relief"
"Please, make sure she comes. It’s really important to me, I meanit’s my mom!","Affection, Gratitude"
"I know. I know, what’s her number?",Frustration
I don’t know.,Frustration
"Go! I have it in my book. Go! (Rachel leaves and Monica calls Mrs.Green.) (To Phoebe) Wait a minute! If you’re in charge of the invitations why am Ithe one who has to call her—Hello Mrs. Green! Hi, it’s Monica Geller.","Stress, Frustration, Boredom, Confusion"
"Oh, hello Monica.",Affection
"(on phone) Hi, umm I know this is last minute, but we’ve decided tothrow an impromptu baby shower for Rachel today.","Stress, Overwhelm, Excitement, Anticipation"
"I know, my daughter’s told me about it when they received theirimpromptu invitations a month ago.",Satisfaction
"Yeah, I’m sorry. I’m-I’m so sorry.",Stress
For what dear? For not inviting me or lying about it?,"Frustration, Betrayal"
"(To Phoebe) Oh my God, my ass is sweating! (on phone) Please! Please!Can you come? It’s today at four.","Stress, Frustration, Excitement"
Well all right. I’ll see you at four.,Satisfaction
Thank you. (Hangs up.),Satisfaction
Isn’t it at three?,Anticipation
Son of a bitch! (Calls Mrs. Green again.),"Frustration, Anger"
Hey Joe! You wanna shoot some hoops?,Enthusiasm
"Oh no, I can’t go. I’m practicing; I got an audition to be thehost of a new game show.",Excitement
Oh cool!,Excitement
That’s great.,Satisfaction
"Yeah-yeah, and if I get it by day I’ll (In a sexy voice) Dr. DrakeRemoray, but by night I’ll be (In an announcer’s voice) Joey Trrrribbiani!",Enthusiasm
You’ll be perfect for this! That’s already your name!,"Satisfaction, Enthusiasm"
But the audition’s in a couple hours and I don’t even understandthe game.,"Frustration, Overwhelm, Confusion"
Well do you want some help?,Unknown
Oh really? That’d be great! You guys can be the contestants!,Enthusiasm
Awesome!,"Achievement, Satisfaction, Enthusiasm, Awe"
"Okay, I guess we can lose to junior high girls some other time.",Frustration
(announcer voice) All right! Let’s play Bamboozled!,Excitement
Bamboozled?,"Frustration, Confusion"
"Yeah, isn’t that a cool name?","Excitement, Interest"
(simultaneously with Chandler) Yeah!,"Satisfaction, Excitement"
(simultaneously with Ross) No!,Frustration
"All right. Uhh, okay. Our first contestant is Ross Geller. Why don’tyou tell us a little something about you Ross?",Boredom
"Well uh, I-I’m a paleontologist. Umm, I-I live in New York. I have ason Ben. Uh, hi Ben! (Waves.) And uh…",Affection
"I said a little bit Ross. Now, how about you Chandler?",Frustration
"Well Joey, I’m a headhunter. I hook up out of work Sovietscientists with rogue third-world nations. Hi Rasputin! (Waves.)",Enthusiasm
"Excellent! Let’s play Bamboozled! Chandler, you’ll go first.What is the capital of Columbia?",Excitement
Bogota.,"Curiosity, Interest"
"It’s Ba-go-ta, but close enough. Now, you can either pass your turnto Ross or pick a Wicked Wango card.","Frustration, Interest"
What does a Wicked Wango card do?,Curiosity
"I should know that. Let’s see, just one moment please. Umm, here weare, a Wicked Wango card determines whether you go higher or lower.","Engagement, Curiosity, Confusion"
Higher or lower than what?,Curiosity
This is embarrassing. (Looks it up.),Embarrassment
(To Ross) Can you believe how lame this is?,Frustration
"I’m sorry, I don’t believe contestants are allowed to talk toeach other.","Frustration, Boredom"
"Oh, I told the stripper to be here at five. That’s good right?","Frustration, Satisfaction"
You ordered a stripper for the shower?! That is totally inappropriate!,"Frustration, Disappointment"
What? He’s gonna be dressed as a baby! (Mrs. Green enters.) Oh hiMrs. Green!,"Affection, Excitement"
Hi!,Enthusiasm
I’m so glad you could make it.,Gratitude
"Yes, thank you so much. And again, we’re so sorry. We could notfeel worse about it.",Gratitude
Try. There’s my little girl. (Goes over to Rachel.),Affection
She’s still mad.,Frustration
Yeah I know. Isn’t it great? One less person we have to make smalltalk with.,"Satisfaction, Boredom"
"Phoebe, Sandra’s mad at you too. It-it doesn’t bother you?",Frustration
"No look, we’ve apologized twice! I can’t do anymore than that.I know you hate it when people are mad at you but you just have to be okay with it.","Frustration, Exhaustion"
Okay. I can do that. (Pause) I gotta go powder my ass.,"Frustration, Embarrassment"
"Look at that face! Just like when you were in high school! If Ididn’t know better I’d say you were a cheerleader in trouble. Come on,let’s get some tea.","Affection, Excitement, Nostalgia"
Okay. (Mrs. Green helps her up and they walk over and get some tea.),"Relaxation, Contentment, Tiredness"
"Oh my look at that. Only three weeks to go, now have you picked yournanny yet? Now I don’t want you to use your housekeeper ‘cause it would justsplit her focus.","Stress, Frustration, Overwhelm"
"Oh well actually gonna use a nanny and uh, I don’t even have ahousekeeper.",Frustration
"It’s like you’re a cave person. Rachel, you must get ananny. You don’t know how overwhelming this is going to be. I mean when you were ababy I had full time help, I had Mrs. Kay.","Frustration, Overwhelm"
"Mrs. Kay! Oh yeah, she was sweet. She taught me Spanish. I actuallythink I remember some of it, tu madre es loca. (I think that’s your mother’scrazy.)","Affection, Gratitude, Nostalgia"
Such a sweet woman.,Affection
"Well, however great she was I just can’t afford that.",Frustration
Oh Rachel!,Affection
What?,Confusion
I just had the greatest idea! I’m gonna come live with you!,Enthusiasm
Wh-wh-what? What?,"Frustration, Confusion, Realization"
"Oh, I’m so happy I’m gonna do this for my little girl. Aw,look at you. You have tears in your eyes.","Affection, Gratitude, Love"
Yes. Yes I do.,Satisfaction
"All right Ross you’re in the lead, would you like to take anotherquestion or spin the Wheel of Mayhem?",Excitement
"The wheel has not been my friend tonight Joey. Uh, I’ll take anotherquestion.",Frustration
"Okay, this is gonna be tough. Hold your breath.","Stress, Achievement"
"It’s okay, I’m ready.","Achievement, Satisfaction, Calmness"
"No dude, you gotta hold your breath until you’re ready to answer thequestion.",Frustration
"This is ridiculous, he’s not gonna hold his breath… (Rosscuts him off by taking a deep breath and holding it.)",Frustration
"Okay, what do you have a fear of if you suffer from this phobia,Tris…Holy cow, that’s a big word. Trisc… Seriously look at this thing.Chandler, how do you say that?","Frustration, Overwhelm, Curiosity"
Let me see that.,Frustration
This one right here. (Ross whines.),Frustration
Triscadecaphobia.,"Confusion, Realization"
(exhaling) The fear of,Fear
"No! No, fear of the number 13.",Fear
Fear of,Fear
"It’s possible, they have really sharp edges.",Curiosity
"All right Chandler, you’re up.","Achievement, Enthusiasm, Engagement"
"Wait a minute, I-I believe I’m entitled to use my Angel Pass for afree turn?",Frustration
This game makes no sense!,Frustration
Y’know what? You’re just upset because you’re losing.,"Frustration, Jealousy"
"Oh come on Ross, I think we’re all losers here.",Frustration
"All right. Chandler, you can either spin the wheel or pick a Google card.",Boredom
Let me think. Let me think—Oh! I don’t care.,"Frustration, Boredom"
You-you must choose Mr. Bing.,"Stress, Frustration"
"Either, it makes no difference.",Boredom
"Choose, you jackass!","Frustration, Anger, Indignation"
I’ll take a card.,Satisfaction
"Okay, you picked the Gimmie card! You get all of Ross’s points!","Achievement, Satisfaction"
What?!,Frustration
This game is kinda fun.,"Enthusiasm, Contentment"
(To Chandler) You don’t think it’s a little crazy that you getall my points just ‘cause you…,Frustration
I don’t think the contestants are supposed to speak to eachother.,Boredom
Why did you invite my mother?!,Frustration
What?,Frustration
She wants to move in with me and Ross to help take care of the baby.,"Satisfaction, Affection"
For how long?,Stress
"Eight weeks. I mean I love my mother, but my God, a long lunch with heris taxing.","Frustration, Boredom, Affection, Exhaustion"
I personally would be honored if she wanted to live with me.,"Affection, Gratitude, Love"
She can’t hear you.,Frustration
"What? You guys, come on! What am I going to do?","Frustration, Overwhelm, Worry"
"Well, if you don’t want your mother to move in with you, just tellher.",Frustration
"You’re right. You’re right. I mean I’m about to have ababy, I can tell my mother that I don’t want her to just be sleeping on my couch! Ohmy God! She’s gonna want to sleep in my bed with me. This cannot happen!","Frustration, Overwhelm, Fear, Panic"
"That’s right. That is right, you go over there and tell her youdon’t want her to live with you. Do","Frustration, Determination"
Okay. (She goes over to tell her mother.),Relief
(To Phoebe) This is great! Now she’s gonna be mad at Rachel!Y’know what? And I’m just gonna swoop in there and be like the daughter shenever had.,"Satisfaction, Jealousy"
I have new respect for Chandler. All right everybody! It’s time toopen the presents!,"Excitement, Respect"
Yes! Yes! And,Enthusiasm
"Well uh, I don’t have a gift because I wasn’t inviteduntil the last minute, but thank you so much for bringing that to everyone’sattention.","Frustration, Gratitude"
"How about you less important people, let’s open your presents!","Frustration, Boredom"
Mom that’s okay that you didn’t get you a gift!,"Gratitude, Love"
"Well, I kinda did. Me. Eight weeks of me.","Achievement, Satisfaction"
"Oh yeah. Okay, see mom, the truth is I can do this on my own.","Achievement, Satisfaction"
"Sweetheart I know you’re gonna be terrific mom, I just thinkyou need a little help, especially at the beginning.","Affection, Love"
"But mom, I really know what I’m doing. I can handle this.",Confidence
Really? Remember Twinkles?,"Nostalgia, Interest"
He was a hamster! I am not going to vacuum up my baby!,Frustration
"Okay, come on Rach it’s present time! Y’know you’re theglue that’s holding this whole party together. It’s kinda falling apart here.","Frustration, Affection"
Oh look.,Frustration
Wow!,Unknown
"Okay, this is from your friend at work.",Affection
"Oh my gosh! Oh wow! Oh, I know what this is! (She’s holding an itemwith a large suction cup connected to a yellow plastic box, with a long narrow tube andbottle connected the yellow part.) Wait a minute. That can’t be right. Is that a beerbong for a baby?","Excitement, Curiosity, Confusion, Realization, Embarrassment"
"Darling, that’s a breast pump!",Affection
"Did I say I was done guessing? Okay, thank you for that. Oh wow!What’s this?","Frustration, Excitement, Curiosity"
It’s a diaper genie.,Satisfaction
"Oh, it dispenses clean diapers!","Satisfaction, Excitement, Curiosity"
No! It’s where you put the dirty ones!,Frustration
"Well that’s gross, why don’t you just take it outside andthrow it in a dumpster?",Frustration
Oh you’re gonna do that ten times a day?,"Frustration, Exhaustion"
What?! It goes ten times a day! What are we feeding this baby?! Indianfood?!,Frustration
"No dear, that’s what babies do.",Frustration
"Rachel, listen to your mother. She is very smart.","Affection, Love, Trust"
"Plus, what are you planning on doing with the baby while you’retrotting out to the garbage ten times a day?",Frustration
"I don’t know, I’d leave it on the changing table? (Everyonegasps.) What?! What’d I do? What’d I do?!",Frustration
You can’t leave a baby alone!,"Frustration, Worry"
"Oh come—(Stutters)—Of course I know that. I mean of course younever leave a baby alone! I mean who would—she wouldn’t be safe as she would bewith me, the baby dummy. Oh God, okay. Y’know what? I think opening the presentsright now is a little overwhelming right now. So I think umm, I’m just gonna maybeopen them a little bit later, but thank you all for coming. And for these beautiful gifts,and this basket is beautiful.","Stress, Frustration, Overwhelm, Gratitude"
It’s actually a bassinet.,Satisfaction
"Okay mommy, don’t ever leave me. (Hugs her.)","Affection, Gratitude, Love"
"(To Chandler) In what John Houston film would you hear this line,Badges? We don’t need no stinkin’ badges!""""",Frustration
,Unknown
Correct! There’s a possible backwards bonus!,"Achievement, Excitement"
Madre Sierra the of Treasure!,Excitement
Yes!,"Achievement, Satisfaction"
I’d like to go up the ladder of chance to the golden mud hutplease.,"Curiosity, Interest"
"Wise choice, how many rungs?","Determination, Curiosity, Interest"
Six!,Excitement
(makes a sound like a monkey) That noise can only me one thing.,"Frustration, Curiosity"
(disappointed and simultaneously as Ross) Hungry monkey.,Disappointment
(excited and simultaneously as Chandler) Hungry monkey! (To Chandler)Haaa! (To Joey) I’d like a Wicked Wango card!,Excitement
"Okay, it’s an audio question, name this television theme song.(Starts humming the theme to","Enthusiasm, Engagement"
"(thinking) Oh. (Pause) Oh! Oh my God! Okay, I know this, give me-give me asecond!","Frustration, Excitement"
Tell it to the Time Turtle!,Frustration
Shut up!,Frustration
"Yes! Yes, you’re back in the lead!","Achievement, Enthusiasm"
I’d like to spin the wheel!,Enthusiasm
(annoyed) Oh come on!!,Frustration
"All right! All right! Uh, umm, Super-Speedy Speed round!","Enthusiasm, Energized"
Is there a hopping bonus?,"Curiosity, Interest"
Of course!,"Satisfaction, Interest"
Who invented bifocals?,Curiosity
Ben Franklin.,Unknown
Correct! Which monarch has ruled Great Britain the longest?,Achievement
Queen Victoria.,"Pride, Respect"
"Correct again! But, you forgot to switch legs between questions, so nohopping bonus!","Achievement, Frustration, Disappointment"
Noooo!!! Every time!!!,Frustration
"Now, over to Chandler.","Excitement, Engagement"
I’d like a Google Card.,Excitement
Are you sure?,Doubt
Yes! (Pause) No! (Pause) Google!,"Frustration, Excitement"
"Oh my God! Congratulations Ross, because Chandler, you’ve beenBamboozled!",Excitement
Nooo!!,Frustration
Yeah!!,Enthusiasm
This is the best game ever!!!,Enthusiasm
"So umm, you’re gonna stay with me as long as I need you?","Worry, Hope"
Of course I am!,Satisfaction
"Oh mom, I swear I’m not an idiot. I’ve read all kinds of bookson pregnancy and giving birth, but I-I just didn’t think to read the part about whatto do when the baby comes. And-and then guess what? The baby’s coming and Idon’t know what to do. Oh, can I throw up in my diaper genie?","Frustration, Overwhelm, Anxiety"
"No. Sweetie, you’re gonna be fine. (Starts to get up.)",Affection
Wait-wait where are you going? Where are you going?,Frustration
I’m going to the bathroom.,Relief
Okay.,Unknown
"Now don’t worry! Everything’s gonna be okay. (Hugs Rachelwhile she is standing and Rachel is sitting, seeing this Monica decides to join in on thehugging by hugging Mrs. Green from behind her back.)","Affection, Gratitude, Love, Trust, Relaxation, Contentment, Energized"
It,"Confusion, Realization"
"(entering, out of breath) Hey!",Excitement
Hey! Why are you all red and sweaty?,"Frustration, Curiosity"
I just Bamboozled Chandler! (Flexes in victory while everyone stares athim.) Which is not uh sexual thing. That was a quick shower.,"Achievement, Satisfaction, Boredom, Enthusiasm, Embarrassment"
Not if you were here.,Frustration
Wow! It looks like we got a lot of good stuff.,"Satisfaction, Excitement"
"Oh we did, but my mom got us the greatest gift of all.",Gratitude
(excited) A,Excitement
No. She’s going to live with us for eight weeks.,Satisfaction
"Uh, what?",Frustration
Yes! She’s gonna help us take care of the baby! Woo-hoo. (Sees thatRoss isn’t happy.),"Frustration, Enthusiasm"
"What—You’re not serious. I mean she’s a very nice woman,but there is no way we can take eight weeks of her. She’ll drive us totally crazy.","Frustration, Overwhelm"
(entering from bathroom) Hi Ross!,Excitement
Hi roomie! (Hugs her and looks at Rachel.),"Affection, Interest"
"Hey Joey, hi! I’m Ray; I’m the producer of the show.",Enthusiasm
(announcer voice) It’s a pleasure to meet you Ray.,Unknown
