Dialogue,Emotions
Y’know what? It seems like all of the sudden; so much hashappened.,"Stress, Frustration, Overwhelm, Excitement"
I know.,Frustration
"Phoebe is, making people.","Achievement, Satisfaction"
Everybody’s doing stuff!,Overwhelm
"And we just sit here. I mean if I die the only way people would evenknow I was here, would be by the ass print on this chair! Look, we have to do something.Okay? Something huge!","Frustration, Overwhelm, Enthusiasm"
(snaps his fingers) We could climb Mt. Everest!,"Enthusiasm, Excitement"
"No-no, not something stupid, something huge.",Enthusiasm
"No-no-no-no-no, I saw an ad for this video, people climb that thingeveryday! We could totally do that!","Enthusiasm, Excitement"
"Why not?! I mean it’s just, it’s just climbing! It’sjust, it’s just steep!","Frustration, Overwhelm, Anxiety"
Yeah!,Enthusiasm
"We’re going to Everest! Okay, it would be nice to leave an assprint on Everest!",Enthusiasm
(entering) Hey!,Excitement
Hey!,Enthusiasm
What-what’s up?,Confusion
We’re gonna climb Mt. Everest!,Excitement
Yeah baby!,Enthusiasm
"Really?! I looked into that. Yeah, but, I mean it costs like $60,000 andy’know you can die. And, you would die!","Frustration, Overwhelm, Fear"
"(dejected) Yeah, well…",Frustration
We could get that Everest video though.,Excitement
"Yeah, we could do that without y’know risking our lives at all!","Contentment, Relief"
"And while we’re down at the video store, you know what else we couldrent?","Enthusiasm, Interest"
"(dejected) Oh, well…",Disappointment
So you guys’ll stay here and hang out with me?,"Enthusiasm, Affection, Loneliness"
Yeeeeahhhh.,Enthusiasm
Yeah. Yeah.,"Frustration, Boredom"
But I’ll tell you something. One of these days we’re get offof our buts and rent,"Frustration, Determination"
Yeah we are!,Achievement
So what did he decide? Does your Uncle Nathan get an invite or not?,Curiosity
"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly toLondon in a million years. Yeah, invite him? Hey, did I do these neat enough? (Hands hersome envelopes.)",Frustration
"Yeah, they’re fine.",Satisfaction
Yeah?,Frustration
"If anyone asks, we’ll just say Ben addressed them. (Looking throughthe envelopes.) Oh! So you invited Rachel then?",Curiosity
Sure. Why not?,Boredom
Really?,Frustration
Yeah?,Frustration
I don’t think I’d be comfortable with any of my old loversthere.,"Trust, Disappointment, Comfort"
"Wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?",Frustration
"Oh, no-no, y’know I absolutely adore Rachel it’s just that,well it might be a awkward for you. But it’s absolutely your decision. (Gets up.)More tea?","Boredom, Affection"
Yeah sure.,Boredom
Earl Grey?,"Curiosity, Interest"
"Huh? Yeah, fine, invite whoever you want.",Frustration
"I don't want to be single, okay? I just... I just- I just wanna be marriedagain!","Frustration, Loneliness, Heartbreak"
And I just want a million dollars! (He extends his hand hopefully.),Hope
Rachel?!,Unknown
"Oh God Monica hi! I just went to your building and you weren't there andthen this guy with a big hammer said you might be here and you are, you are!","Enthusiasm, Excitement, Relief"
"Okay, everybody, this is Rachel, another Lincoln High survivor. (ToRachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember mybrother Ross?","Affection, Excitement, Nostalgia"
"Hi, sure!",Enthusiasm
Hi.,Calmness
"You know you probably didn't know this, but back in high school, I had a,um, major crush on you.","Affection, Love"
I knew.,Frustration
You did! Oh.... I always figured you just thought I was Monica's geekyolder brother.,Frustration
I did.,Achievement
"Oh. Listen, do you think- and try not to let my intense vulnerabilitybecome any kind of a factor here—but do you think it would be okay if I asked youout? Sometime? Maybe?","Hope, Doubt, Insecurity"
"Yeah, maybe...",Frustration
"Okay... okay, maybe I will...",Frustration
"See, I see.... big passion in your future.",Enthusiasm
Really?,Frustration
I do.,Frustration
"Oh Ross, you're so great. [she playfully rubs his head and gets up]",Affection
It's never gonna happen.,Frustration
"Hey, I have a question. Well, actually, it's not so much a question as..more of a general wondering... ment.","Excitement, Curiosity"
Okay.,Boredom
"Okay. Umm, for a while now, I've been wanting to, um....",Boredom
Ohhh!!!! [looking at something behind Ross],Excitement
"Yes, yes, that's right...","Boredom, Enthusiasm"
"Oh, look at the little cat! [a small kitten is on the roof behind Ross]Look at it!","Affection, Curiosity"
What? [the cat jumps on his shoulders] Ow!,"Frustration, Pain"
"All right, listen, missy. If you want this cart, you're gonna have totake me with it!",Frustration
(to Ross) Yes! Did you see that?,Excitement
"You were incredible! Brand new woman, ladies and gentlemen.","Achievement, Satisfaction, Enthusiasm"
I could not have done this without you.,"Achievement, Satisfaction, Gratitude"
"Ok, um, uh, more clothes in the dryer? (Ross turns and bangs his head onan open dryer door.) I'm fine, I'm fine.","Frustration, Relief"
You had no right to tell me you ever had feelings for me.,"Frustration, Betrayal"
(hurt) What?,Frustration
I was doing great with Julie before I found out about you.,"Jealousy, Heartbreak"
"Hey, I was doin' great before I found out about you. You think it's easyfor me to see you with Julie?","Frustration, Jealousy"
"The point is I... I don't need this right now, OK. It, it's too late, I'mwith somebody else, I'm happy. This ship has sailed.","Frustration, Satisfaction, Contentment"
"Alright, fine, you go ahead and you do that, alright Ross.",Frustration
Fine.,Frustration
'Cause I don't need your stupid ship.,Frustration
Good.,Satisfaction
Good. (Ross leaves),Satisfaction
Ross do you realise this is the first time in my life I’m doingsomething I actually care about. This is the first time in my life I’m doingsomething that I’m actually good at. I mean. if you don’t get that...,"Achievement, Frustration, Satisfaction"
"No, hey, I get that, okay, I get that big time. And I’m happy for ya,but I’m tired of having a relationship with your answering machine! Okay, Idon’t know what to do anymore.",Frustration
Well neither do I!,Frustration
Is this about Mark?,Frustration
(shocked) Oh my God.,Unknown
"Okay, it’s not, it’s not.",Frustration
"Oh my God. I cannot keep having this same fight over and over again,Ross, no, you’re, you’re, you’re making this too hard.",Frustration
