Dialogue,Emotions
"The reactor’s gonna blow in three seconds, we’re never gonnamake it!","Stress, Frustration, Overwhelm, Anticipation"
You’ve got to get out of here! Save yourself!,Fear
No! I won’t leave you!,Affection
"Don’t worry about me, I’m a robot! I’m just a machine!!","Stress, Frustration, Overwhelm"
No you’re not! Not to me!,Frustration
(she stops reading from the script) Oh my God.,Unknown
What?,Frustration
I am,Unknown
"Yeah, you’re great! Okay, let’s take it from…","Enthusiasm, Engagement"
"(interrupting) No, I mean I was really acting my ass off.",Frustration
"Yeah, I thought I was pretty good too.","Achievement, Satisfaction"
"Oh yeah, you’re solid. Yeah, you’re just no me.","Frustration, Jealousy"
Y’know what? I think that’s enough for now. Yeah. I don’twant to be over rehearsed.,"Satisfaction, Boredom"
(tremendously overacting) Fine! I’ll do it without you! (Joey givesher thumbs up) I don’t need you or anybody else! I’m gonna make it on my own!(Joey closes the door to his bedroom.) You’ll see!! You’ll,"Frustration, Determination"
"(To Joey) So uh, what’s this thing you’re auditioning for?",Curiosity
"Oh, it’s a new TV show. Yeah. I’m up for the part of MacMacaveli or Mac."" Yeah",Enthusiasm
So Mac and C.H.E.E.S.E.,"Curiosity, Interest"
That’s the title! Yeah! Y’know they really lucked out that theinitials spell cheese.,"Satisfaction, Excitement"
That is lucky.,Satisfaction
"Huh—Wait so Joey if you get this, you’re gonna be like thestar of your own TV show! I mean you’ll be like the Big Cheese! (To Phoebe) Or theBig Mac—Hey! You","Enthusiasm, Excitement"
"Well, don’t get your hopes up, because probably not gonna happen.","Frustration, Disappointment"
"Now-now, why would you say that Joseph?",Frustration
I mean come on you guys! My own TV show? I just don’t know ifI’m good enough.,"Excitement, Doubt"
I am.,Satisfaction
"Joey, what are you talking about? You’re a terrific actor.","Achievement, Affection"
You really think so?,Curiosity
"Ugh, how can you even ask that question?!",Frustration
"Whoa, she's pretty. (Mentioning the girl on TV)",Enthusiasm
"Yeah, and oh she's really nice too. She taught me all about how towork the cameras, and smell-the-fart acting.","Enthusiasm, Affection, Curiosity"
"I'm sorry, what?",Confusion
What?,Confusion
Excuse me?,Confusion
"It's like, you got so many lines to learn so fast, that sometimesyou need a minute to remember your next one. So while you're thinkin' of it, you take thisbig pause where you look all intense, you know, like this. (Does this intense look whereit looks like he's smelling a fart.)","Stress, Frustration, Overwhelm, Boredom"
"Oh, ok.",Boredom
"(there's a gunshot on TV) There's my scene, there's my scene.","Achievement, Excitement"
"(on stage in an Austrian accent) Vell, Eva, ve've done some excellent vorkhere, and I vould have to say, your pwoblem is qviiite clear. (He goes into a song anddance number.)","Enthusiasm, Engagement, Energized"
"I play Al Pacino's butt. All right? He goes into the shower, andthen- I'm his butt.","Achievement, Satisfaction, Enthusiasm"
Yes.,Satisfaction
So you gonna invite us all to the big opening?,"Excitement, Anticipation"
"All right well, I’m outta here. Wish me luck.","Excitement, Confidence"
(overacting with a song this time) (singing),Enthusiasm
"Yeah, whatever. (Exits.)",Frustration
It’s your turn.,"Frustration, Satisfaction, Boredom"
"Oh, are we playing this?!","Curiosity, Interest"
"(entering, dejectedly) Hey.",Unknown
Hey! How’d the audition go?,Excitement
Terrible! I messed up,Frustration
"Wait a minute, are you doing that thing where you pretend it didn’tgo well but it really did go well?",Frustration
"Yeah, did I fool ya?","Achievement, Satisfaction"
Totally!,Enthusiasm
So it did go well.,"Achievement, Satisfaction"
"Oh, it went",Frustration
Great!,"Achievement, Satisfaction"
Oh that’s great!,Enthusiasm
"Yeah-yeah, it’s down to me and two other guys.","Stress, Achievement, Frustration"
Oh my God!,Unknown
Wow!,Unknown
"And I know both of them, they’re really good. One of them is the guyfrom those allergy commercials who’s always getting chased by those big flowers…","Curiosity, Interest"
"Oh, I love that guy! (Laughs.)","Affection, Love"
"Oh-oh, what are you doing?",Frustration
(stops laughing) What,Frustration
I’m just so nervous! Y’know? The callback isn’t untiltomorrow at five. I feel like my head is going to explode!,Overwhelm
"Well, it is overdue.","Frustration, Relief"
"Look, don’t worry. Okay? You’re gonna be fine.","Affection, Worry"
"There’s just so much pressure. I mean no offense, but what you guysdo is very different. I don’t know if you’d understand.","Frustration, Overwhelm, Doubt"
"Yeah, none of us have to deal with pressure at our jobs.","Stress, Frustration"
"(on phone) Yes, Fran. I know what time it is, but I'm looking at theWENUS and I'm not happy!",Frustration
"Alright, well I'm tearing the lettuce.",Satisfaction
Uh-huh. Is it dirty?,Curiosity
"Oh-oh, no no don't worry, I'm gonna wash it.","Satisfaction, Worry"
"Don't, I like it dirty.",Unknown
That's your call.,Frustration
"So, uh, what are you going to do next?",Curiosity
"Well, I thought that I would cut up the tomatos.",Boredom
"Are they, uh, firm?",Curiosity
They'r alright.,Satisfaction
"You sure they haven't gone bad? You're sure they're not very,very bad?","Worry, Doubt"
"No really, they're OK.",Satisfaction
You gonna slice them up real nice?,Enthusiasm
"Actually, I was gonna do them jullienne.",Achievement
Aaaahhhhhhh.,Frustration
I'm outa here. [Monica leaves],Frustration
"(on the phone) Monica, I’m quitting! I just helped an 81 yearold woman put on a thong and she didn’t even buy it! (Pause) I’m telling youI’m quitting! That’s it! I’m talking to my boss right now! (Pause) Yes Iam! (Pause) Yes I am! Yes I am! Yes I am! Yes I am! Yes I am! Okay bye, call me when youget this message. (Hangs up.)","Frustration, Overwhelm, Exhaustion, Determination"
"Well, what happened?",Curiosity
"Well, he came in for a massage and everything was fine until...(The flashback shows Paulo lying face down on the massage table and slowly moving hishands up Phoebe's legs and grabbing her butt.)","Disappointment, Confusion, Embarrassment, Disorientation"
Ohhhhhh!,Excitement
Oh my God!,Unknown
And all of the sudden his hands weren't the problem anymore. (Theflashback shows Paulo rolling over and showing Phoebe his equipment.),"Curiosity, Interest"
Was it...,Curiosity
"Oh, Boy Scouts could've camped under it!",Excitement
You ate my sandwich?,Frustration
It was a simple mistake. It could happen to anyone.,Frustration
(getting upset) Oh-oh really?,Frustration
"Now-now calm down. Come look in my office, some of it my stillbe in the trash.",Calmness
(jumping to his feet in anger) What?,Anger
"Well, it was quite large. I-I-I-I-I had to throw most of itaway.",Frustration
You-you-you-you (trying to remain in control) threw my sandwich away!,Frustration
"(losing control, we hear him shout outside) MY SANDWICH?!!!",Frustration
,Unknown
I want this part so much! Y’know? If I don’t get this partI’m never gonna eat,"Stress, Frustration, Overwhelm, Enthusiasm"
"Oh come on guys, it’s not like I moved to Europe! I just movedacross the hall! And","Frustration, Enthusiasm, Disappointment"
(startled) Ahh! Aren’t you dressed yet?,Frustration
(looks down at his clothes) Am I naked again?!,Frustration
We’re supposed to meet my parents in 15 minutes.,Stress
"Yeah okay, I was just talking to the guys. Just look at them I mean,is it okay if they come visit?","Boredom, Enthusiasm"
Wh?! What about my allergies?!,"Frustration, Worry"
"Oh right, your allergies. (Monica leaves and to the chick and duck)All her, she hates you. (Chandler leaves without finishing the message for Joey.)",Frustration
Yes!! Ha-ha!! All right! Hey! How cool would it be if you could watch likea real life-sized version of this? Huh? I mean how crazy would that be?,"Enthusiasm, Excitement, Curiosity"
As crazy as soccer?,Confusion
"(on phone) Hello? (Listens) What are you talking about? Theaudition’s not ‘til 5:00! (Chandler suddenly remembers and looks at theunfinished message then tries to sneak over and finish it as Joey listens.) Well, nobodytold me! (Listens) Who’d you talk to? (Listens and turns around to see Chandlertrying to finish the message.) Nevermind! (Hangs up.)",Frustration
You mean you didn’t get it from this?,Frustration
The allergy guy got the part! Thanks!,"Achievement, Satisfaction, Gratitude"
"Well, maybe we can fix it y’know? Maybe we can send him some-somebig-big flowers and scare him!","Excitement, Hope"
How could you do this to me Chandler?! This part could’ve turned mywhole career around!,Frustration
"I messed up. Okay? I’m sorry, I really messed up.",Frustration
"Hey, you don’t even live here anymore! What are you doing answeringmy phone? I have my machine!",Frustration
"Which I bought for ya. Taught ya how to use it. You thought it was acopier. Look, if there was anything I could do, I would do it. Okay? But everybody’sallowed one mistake, right?","Frustration, Gratitude"
"You know he coulda gotten me a VCR, he coulda gotten me a set ofgolf clubs, but no, he has to get me the woman repeller!  The eyesore from theLiberace house of crap!",Frustration
It's not that bad.,Relief
"Oh, yeah, easy for you to say, you don't have to walk aroundsporting some reject from the Mr. T collection. [Joey walks in behind Chandler]",Frustration
"Chandler, Chandler.","Frustration, Relief"
"I pity the fool who puts on my jewelry, I do, I do. I pity thefool that. . . [turns around and sees Joey] Hi!",Unknown
"Yeah, I mean when you were late last night, Kathy and I got totalking, and one thing to another and…",Curiosity
And what?! Did you sleep with her?!,"Frustration, Jealousy, Betrayal"
No! No! No! I just kissed her.,Frustration
What?!! That’s even worse!!,Frustration
How is that worse?!,Frustration
I don’t know! But it’s the same!,Frustration
"You’re right, I have no excuses! I was totally over theline.","Frustration, Disappointment"
"Over the line?! You-you’re-you’re so far past the line,that you-you can’t even see the line! The line is a dot to you!","Frustration, Overwhelm"
"Look, I’m not saying that you should magically forgive me! Butyou’re not perfect! You’ve made some errors in judgment too!","Frustration, Disappointment, Anger"
Name one!,Frustration
(lets him out) What happened?!!,Frustration
"(getting out) Awww, man! He promised he wouldn’t take the chairs!!",Frustration
What the hell happened?!! How were you locked in?!! And wherethe hell is all of our stuff?!!,Frustration
"Well, this guy came by to look at the unit and-and he said hedidn’t think big enough to fit a grown man!",Frustration
So--You got in,Achievement
"I was tryin’ to make a sale!! Oh, man, if I ever run into thatguy again, do you know what I’m gonna do?",Frustration
BEND OVER?!!!,Frustration
"Ok, now, remember, no trading. You get the pretty one, I get the mess.",Frustration
"Hi, Joey. (Sees Chandler.) Well well, look what you brought.",Excitement
...And what did you bring?,Frustration
"She's checking the coats. Joey, I'm gonna go wash the cabsmell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice.","Boredom, Relaxation"
Janice?,Curiosity
Janice?!,Frustration
Oh.... my.... God.,Unknown
Joey's tailor...took advantage of me.,Frustration
What?,Frustration
