Dialogue,Emotions
Hey!,Enthusiasm
"I’m sorry I’m late, did I miss anything?",Relief
Joey stuffing 15,Unknown
15? (Joey nods again) Your personal best! (Ross takes an,"Achievement, Satisfaction, Enthusiasm"
Where were you?,Frustration
"Oh, on a date. Yeah, I met this girl on the train going to a museumupstate.","Curiosity, Interest"
"Oh, yeah! How did you meet her?",Enthusiasm
"Oh, which museum?",Curiosity
"(just Phoebe) No, answer his.",Frustration
"Okay, it was just me and her at the back of the train, and I sat near thedoor, so she’d have to pass by me if she wanted to switch cars. She was totally at mymercy.",Satisfaction
Were you so late because you were burring this woman?,Frustration
"No, I’m getting back down ‘cause she lives in Poughkeepsie. Sheseems really great, but she’s like totally great, but she lives two and a half hoursaway.","Stress, Frustration, Loneliness, Love, Exhaustion, Anxiety"
"How can she be great if she’s from Poughkeepsie? (laughs, at theyall look at him) That joke would’ve killed in Albany.","Frustration, Satisfaction"
"Done! I did it! Heh, who’s stupid now? (He smiles and has cookieremains all over his teeth.)","Achievement, Satisfaction"
"Hey, look at this! (Holding a newspaper) They’re lighting the bigChristmas tree tonight.",Excitement
"Umm, that paper’s two weeks old.",Frustration
"All right, who keeps leaving old newspapers in the trash?! I reallywanted to take Kathy to this, I can’t believe I missed it.","Frustration, Disappointment, Anger"
"Hey, y’know, at least you have somebody to miss that stuff with! I",Affection
Really?! I didn’t think girls ever just wanted a fling.,Unknown
"Well, believe me, it’s been a long time since I’ve been flung.",Satisfaction
"Well, I know what I’m giving you for Christmas.","Excitement, Anticipation"
"Y’know what? There’s some nice guys at my office, do youwant me to set you up?",Excitement
"Yeah! Wait a minute, it’s been a long time that I’ve beensingle. How come you never offered this before?","Frustration, Curiosity"
"Well, I have a girlfriend, I’m-I’m happy. So, I no longerfeel the need to go out of my way to stop others from being happy.",Satisfaction
"Okay! No accountants. Oh, and no one from like legal. I don’t likeguys with boring jobs.",Boredom
Oh and Ross was like what? A lion tamer?,Unknown
Hey!,Enthusiasm
What’s wrong Mon?,Frustration
"Ohh, everybody at the restaurant still hates me.",Frustration
Oh.,Boredom
"I thought I was making headway, everyone was smiling at me all day, Iget off work and I find out that they wrote this (puts on her chef hat) on my chef’shat. (The hat says ‘Quit, bitch’)","Frustration, Disappointment, Embarrassment, Offense"
"Hey, maybe they meant to write, ‘Quiet, bitch.’","Frustration, Anger"
"Hey, honey! What’s the matter? (Monica shows her, her hat.) Fine, Iwas just trying to be nice! Whoa!","Frustration, Affection"
I mean I have not been picked on this much since kindergarten and theyhad to bring in someone from junior high to do the see-saw with me. (Joey laughs andMonica glares at him.),"Frustration, Jealousy, Disappointment, Anger, Irritation"
Ohhh!,Excitement
"I mean they’re trying to do everything they can to make me quit,and if there were any other job, I would. But this is something I’ve been waiting formy whole life.","Frustration, Determination, Hope"
"Well, wait a minute, you’re the boss! Why don’t you just yellat them? Or, fire them?",Frustration
"I would love too, but I can’t! I mean I just can’t, you knowthat I’m not good at confrontation.","Frustration, Anxiety, Insecurity"
"Hey, you know what you can do? I remember reading about this director,I think it was Orson Wells, who at the beginning of the movie would hire somebody, just sohe could fire them in front of everybody. Then they would all know, who’s boss.","Boredom, Enthusiasm, Jealousy"
"Hey, Mon! I’m not doing anything, why don’t you fire me?",Frustration
"That’s a good idea! Wait, do you know how to waiter?","Excitement, Curiosity"
Good enough to get fired.,Frustration
"All right, you’re hired!","Achievement, Satisfaction"
Hey! That must be why I got fired last week! Does this Orson Wells guydirect,Frustration
(he glares at him for a while) Yes.,"Anger, Irritation"
"I say, Drew! Are you seeing anybody right now? (Drew looks at him)Og-ee-op, I’m not asking for me, I’m… I mean… No, I’m-I’mnot gay, I’m not asking you out. I’m not-I’m not-I’m not gay!","Frustration, Embarrassment, Insecurity"
I didn’t think you were gay. I do now.,Disappointment
"See my friend-my friend, Rachel, she wants to be set up.","Affection, Excitement"
"Ahh, I just got out of a big relationship, I’m not looking for anything serious.","Frustration, Loneliness"
"Oh, y’know what, that might be okay even if it was just kind of afling, that might be all right with Rachel.","Affection, Contentment"
"Whoa-whoa-whoa-whoa! Is this, hot Rachel, that you took to the Christmasparty, Rachel?",Curiosity
"(to Drew) Oh, by the way, that is her full name.",Frustration
Oh wow! I’m free for her!,"Gratitude, Excitement"
"Oh, wait a second! I didn’t say I wasn’t free!",Frustration
"Hey, Chandler, why don’t we talk this over at the Ranger gametomorrow?","Excitement, Interest"
"Hold on, y’know I",Frustration
"Oh well, that’s uh, a little later than I uh, generally care tostay, but sure!",Boredom
"Maybe, before the game we could enjoy some eight year old some small batchBasel Hadens.",Enthusiasm
"Well, I don’t really know what that is, but",Confusion
"Hey! You guys, I’m writing a holiday song for everyone. Do you wantto hear it?","Enthusiasm, Curiosity"
Yes!,"Achievement, Satisfaction"
(singing),"Enthusiasm, Contentment, Joy"
"Pheebs, that’s great!",Excitement
"Oh, yay!",Enthusiasm
"But y’know umm, Rachel doesn’t rhyme with draddle.",Frustration
I know but it’s so hard! Nothing rhymes with your stupid name!,Frustration
What are you talking about? Lots of things rhyme with Rachel. Bagel. Mail.Jail. Bail. Able. May-pole.,Frustration
"All good, thanks. (to Rachel) Do you maybe have a nickname have like anickname that’s easier to rhyme?","Curiosity, Interest"
Didn’t your dad used to call you Pumpkin?,Affection
Oh yeah!,"Enthusiasm, Excitement"
"Pumpkin? Yeah. But did he ever call you like, Budolph?",Curiosity
"(entering) Hello, children!",Enthusiasm
Hey!,"Enthusiasm, Excitement"
(to Rachel) Have I got the 50 guys for you!,Excitement
Really?!,Unknown
"Oh yeah, I just showed this a picture of you and guys were throwingthemselves at me! They’re buying me drinks! They’re giving me stuff! (to Joey)Knicks tonight?","Enthusiasm, Excitement"
Sure! Where are the seats?,Interest
Wherever! I’ve got like 20!,Frustration
"So, will I like any of these guys?",Curiosity
"Y’know what, I’m gonna uh, play the field just a littlemore.",Boredom
