Dialogue,Emotions
So the wedding caterer sent me this list of twelve appetizers and I haveto narrow it down to six.,"Stress, Frustration, Overwhelm"
Food? Uh-huh gimme! (She hands him the paper.),Excitement
So did Monica tell you about this great band called the Swing Kingsthat we’re trying to get to play at the wedding?,Enthusiasm
Since when are you into swing music?,Frustration
Oh since forever! I used to go all over town listening to bands!,"Enthusiasm, Nostalgia, Engagement"
Chandler.,"Frustration, Boredom"
,Unknown
I will.,Determination
Do you want me to call?,"Stress, Frustration"
"No, I’ll do it. You just stick to your job.",Frustration
What is your job?,"Curiosity, Interest"
Staying out of the way.,Unknown
"This is impossible Monica, why don’t you just pick all 15? (Handsback the paper.)",Frustration
There were only twelve.,"Achievement, Satisfaction"
"Oh yeah, I added three.",Achievement
What are peanut butter fingers?!,"Curiosity, Confusion"
"Oh yeah… (He mimes sticking his fingers into a jar of peanut butter,scooping some out, and eating it off his fingers.)",Satisfaction
"(noticing a beautiful woman moving in down the street) Well hello!She’s cute! Should we uh, go try to talk to her?",Enthusiasm
Sure! That’s one of the great things about being engaged.I’m not nervous talking to pretty girls anymore.,"Satisfaction, Confidence"
"Uh yeah! Let me, let me get that for you.","Satisfaction, Enthusiasm, Engagement"
"(exhales) I got it. (He lifts the box and grunts under the strain.)(Calmly) So hi, I’m uh, I’m Ross and this is my friend Chandler. (He shylywaves.)","Achievement, Frustration, Calmness"
"Kristen, hi. Are you uh, new to the area, ‘cause if youare…I’d love to show you around sometime.","Affection, Interest"
"I…I uh, actually just moved from four blocks over.",Unknown
Ah.,Boredom
But-but this block is like a whole other world.,Excitement
"Y’know actually it does have a very interesting history. Uh, thisstreet is the first street in the city to have an underground sewer system. (Kristencrinkles her nose at that.) Before that sewage and waste would just flow right down thestreet. Yeah, sometimes ankle deep! (He stops when he realizes what he’s talkingabout.)","Curiosity, Interest, Embarrassment"
(To Ross) Smooth.,Satisfaction
(To Chandler) Excuse me? (Chandler does the shy thing again.),"Curiosity, Confusion"
"Umm, say you’re gonna be starving after all this moving. What do yousay I take you to dinner tonight?","Affection, Excitement, Anticipation"
Oh I’d like that.,Satisfaction
Yeah?,Frustration
Yeah.,Boredom
"Great! Uh, let me take this up for you. (The box he’s holding.)",Satisfaction
After you.,Respect
"Oh no-no, after you. (She grabs a chair and heads upstairs.) (Whenshe’s gone.) Oh my God! (He drops the box and Chandler can’t pick it up.)",Frustration
(wearing a veil) Am I crazy or does this totally go?!,Excitement
Oh my God! You look so beautiful!,"Excitement, Relief, Joy"
"(To Rachel) Thank you Rachel but, look at Monica!","Frustration, Satisfaction, Affection"
"This is it. Yeah, this is the one. I can’t believe I found it!","Achievement, Enthusiasm"
"Well I’m Monica Geller, ball like a baby.",Achievement
Have you found your dress yet?,"Curiosity, Interest"
"Oh no, these dresses are all so amazing but there is no way I couldafford one.",Frustration
"No, I can’t afford this either. No. I-I-I’m, I’m just tofigure out which one I want then I’m gonna get it at Kleinman’s, this discountplace in Brooklyn, day after tomorrow they are having a huge sale.","Frustration, Overwhelm, Excitement"
"Oh, thanks for the tip.",Gratitude
Yeah! So-so when are you getting married?,Enthusiasm
"Oh I’m not, I just like to try these on.",Satisfaction
I do the same thing.,Satisfaction
I’m just kidding. I’m getting married July 25,Excitement
I’m just kidding too. (Laughs) I’m getting married inDecember. (Turns away not happy with herself.),"Curiosity, Embarrassment"
(To Monica) So when are you getting married?,"Curiosity, Interest"
Oh May 15,"Stress, Achievement, Frustration, Satisfaction, Overwhelm"
Oooh it’s getting close!,Excitement
Yeah!,Enthusiasm
"So uh, who’s your photographer?",Curiosity
Jeffery.,Frustration
We met with him. Did he show you the photos of the nude wedding he did?,"Curiosity, Interest"
The best man? Wow!,Excitement
"I know! I almost called off my wedding. Oh, who’s your band?!","Excitement, Relief"
"Oh, my fiancee wants the Swing Kings.","Excitement, Engagement"
"Oh, you’re so lucky. My fiancee wants the heavy metal band Carcass.",Jealousy
"Ooh, is that spelled with a ‘C’ or a ‘K’? Oh my God!It doesn’t matter; they’re both great!","Satisfaction, Enthusiasm"
Oh y’know what? Y’know what? Now that you know what you wantyou should go to Kleinman’s and get it half off. This place is so overpriced.,"Frustration, Disappointment"
"So, does this (The dress) come in another color or… (The storeowner walks away.)",Frustration
"(checking her out) Hi! You uh, movin’ in or movin’ out?",Interest
I’m moving in.,Excitement
"Oh uh, can I give you a hand?","Curiosity, Interest, Helplessness"
Oh okay. But y’know what? Be careful. Because a guy was helping mebefore had to leave because he hurt his back.,Unknown
Boyfriend?,Frustration
No.,Frustration
I’m Joey. (They shake hands.),Affection
Kristen.,"Frustration, Relief"
"Oh wow, what a beautiful name! (Pause) What is it again?","Curiosity, Confusion"
Kristen.,"Frustration, Overwhelm"
Got it! (He picks up a lamp.) So…,Achievement
"So uh, do you live around here?",Curiosity
Yeah! Yeah! Right down there. (Points.) Hey listen; let me give you alittle tip. Do not take a nap on this stoop (Points to hers) or you can wake up with yourshoes gone.,"Boredom, Enthusiasm"
I’ll remember that.,Satisfaction
"Okay. Yeah. Listen would you uh, would you like to have dinner with metonight?","Anticipation, Anxiety, Interest"
"Oh I, I have plans tonight.","Exhaustion, Anxiety, Tiredness"
Oh.,Boredom
But how about tomorrow?,Anticipation
"Sounds great! Okay all right, well where does this go? (The lamp he’sholding.)",Enthusiasm
"You look strong, why don’t I take that and you grab one of theboxes.","Achievement, Satisfaction"
"Okay. Yeah. (She leaves and he goes to pick up a box marked books, butdecides to take the box marked pillows instead.) Yeah, I’ll grab this one. (Hefollows her upstairs.)",Frustration
(To Phoebe) So this is Brooklyn.,Interest
"All right, listen up. There is usually only one dress in each size sowhen they open those doors, fan out. Now, this is what you’re looking for! (Holds upa picture of it.) Memorize it! When you locate the dress, blow on these. All right? (Shepasses out whistles to them.) Three short blasts, when you hear it. Come running.",Excitement
Okay.,Boredom
Got it.,Satisfaction
All right.,Contentment
Oh they’re pushing! They’re pushing!!,Excitement
(To Rachel) Hey!,Enthusiasm
Well I…,"Frustration, Boredom, Disappointment, Exhaustion"
(coming back out) Hey! Rachel! Come on!!!!,Excitement
"No. No. Not it. Not it. Not it. (Checks another rack and another womantries to reach around her.) (To the woman) Don’t crowd me! (Finds it) This is it!This is the dress! Oh my God, it’s perfect! (She takes it off of the rack and someonehas a hold of it on the other side of the rack and tugs on it.) I’m sorry, thisone’s taken! (The other woman tugs harder pulling Monica through the rack.) Whoa!","Frustration, Satisfaction, Overwhelm"
Megan!,Excitement
Monica!,Excitement
You came?!,Excitement
Yeah!,Enthusiasm
This is my dress!,Achievement
No!,Frustration
Yes it is! You saw me wearing it!,Frustration
And now you’ll see me buying it.,"Achievement, Excitement"
What? You freak! You wouldn’t even have known about this place ifit wasn’t for me!,"Frustration, Anger"
"Look, you don’t want to fight me.",Frustration
Maybe I do! I’m pretty feisty! (She blows the signal.),Satisfaction
(hearing the signal) I’m coming! I’m coming! (She takes offtowards the signal and almost knocks another woman over.),"Overwhelm, Excitement"
Okay! (Runs that way and hears another whistle blast.) Hey! (Heads theother way and hears another blast.) What do I do?!! (She runs in the second direction andfinds that the whistling is coming from inside a rack. She moves the dresses out of theway to find Rachel curled up in a fetal position frantically blowing on the whistle.) Whatare you doing? (Rachel doesn’t stop.) Did you find the dress? (Rachel won’t stopso Phoebe pinches her nose shut which causes her to spit the whistle out.),"Frustration, Overwhelm, Curiosity, Relief"
Did you find the dress?,Frustration
No! You gotta get me out of here Phoebe! These bargain shoppers arecrazy!,"Stress, Frustration, Overwhelm"
I—We gotta get Monica. (She starts to leave.),Excitement
No! You gotta hold my hand!!,Frustration
Oh my God!! (She grabs Rachel’s hand and drags her towards Monica.)Excuse me! Excuse me! (She’s knocking women and veils out of the way as she moves.),"Overwhelm, Excitement"
(handing Phoebe the dress) Go! Go! Go!,Excitement
(seeing who’s trapped) Hey…,Frustration
NOW!!!!!!!! (Rachel runs off and Monica gets up to follow her.),Frustration
"So Ross, how was your date the other night? Did you tell her about themagical ride that starts with the flush of every toilet?",Unknown
"Laugh all you want but uh, she actually left me a message sayingshe’d like to go out again.",Satisfaction
Huh.,Frustration
"Yeah in fact, I’m gonna go call her right now. And I’ll makesure to tell her my friend Chandler says… (He mimics the shy reaction Chandler did.)",Enthusiasm
(entering) Hey Chandler!,"Enthusiasm, Affection"
Hey!,Enthusiasm
"Listen, sorry I didn’t stop by last night but I had a date.",Unknown
"Uh Joe, when it’s one o’clock in the morning and youdon’t come by? That’s okay!",Frustration
"Well check it out, I was with this really hot girl who just moved in rightacross the street!","Enthusiasm, Excitement"
Really? Right across the street?,Unknown
Yeah!,Enthusiasm
When’d you meet her?,Curiosity
Two days ago.,Satisfaction
Excellent! Y’know Ross met somebody too!,Enthusiasm
Oh yeah?,Frustration
(returning) Hey.,Boredom
Hi! How’d it go?,Enthusiasm
Oh great! We’re going out again Saturday. But I just found she’salso seeing some other guy.,"Jealousy, Heartbreak"
(sarcastically shocked) Really?! Joe? What would you do if you were inRoss’s situation?,Unknown
"Well, I sorta am. I mean yeah, I’m dating this girl who’s alsoseeing another guy. But, I don’t know, I’m not to worried about it.","Relaxation, Interest, Calmness"
Well you shouldn’t be. Believe me I wouldn’t want to be the guywho’s up against you. (Chandler laughs.) I mean that doofus is going to lose!,Satisfaction
"So this is nice! I wish I didn’t have to go, believe me! Butunfortunately I have to. (He gets up and Joey moves over next to Ross.) Oh uh, by the way,what’s the name the girl you’re dating?","Enthusiasm, Curiosity"
Bye! (Exits.),Relief
Well obviously only one of us can keep dating her.,Jealousy
"Obviously! So, how do we decide?","Frustration, Curiosity"
"Well now let’s-let’s look at this objectively, I think I shoulddate her…",Doubt
(not buying it) Uh-huh. Uh-huh.,Frustration
"That’s interesting, but check this out. I date her…",Interest
Yeah-yeah I like that but just to go in another direction…,Frustration
"Okay, okay. This can go on for a while.","Frustration, Boredom"
Yeah well we should order some food then.,Frustration
"No Joey! Look why don’t, why don’t we just let her decide? Okay?Hey-hey, we’ll","Frustration, Enthusiasm"
(smiling) That sounds fair.,Satisfaction
Maybe I’ll take her to that new French restaurant down thestreet…,Anticipation
Ah yeah—wait a second now! Look we’re gonna have to set aspending limit on the date. I don’t have the money to take her to a fancy place likethat.,"Frustration, Anxiety"
"Well sorry, that’s what I do on dates.",Satisfaction
"All right, well I guess I’ll just have to do what I do on dates.",Determination
So let’s decide on the spending limit…,Boredom
"Yeah. Uh, (thinks)…a slice…(Thinks)…six dollars?",Frustration
I was thinking more like a hundred.,Frustration
Okay. Can I borrow 94 dollars?,"Boredom, Anxiety, Curiosity, Interest"
Oh…,Frustration
I know. Hand me a tissue. (Monica hands her one.),Relief
You’re out of,Frustration
Hello? (Listens) What?! (Listens) You what?! (Listens) Hey you listenhere missy! (Listens) Wh—(She is hung up on.),"Frustration, Anger"
What?!,Frustration
That was that girl Megan! She booked the Swing Kings on the day of ourwedding and said that I couldn’t have them back unless I gave her the dress!,"Frustration, Betrayal"
(gasps) Does that mean Carcass is available?,Excitement
What am I gonna do?! That is the dress! That is,Frustration
Well just figure out a way to talk him out of it.,Frustration
How?,Confusion
You’re out of toilet paper!,Frustration
(entering) Hey!,Enthusiasm
Hey! What’s up?,Enthusiasm
"I just wanted to come by and y’know, wish you good luck on your date.","Enthusiasm, Affection, Gratitude, Love"
Oh thanks!,Gratitude
Yeah. What time are you meeting her?,Relaxation
We have 8:00 reservations at Grammercy Bistero.,"Satisfaction, Excitement"
"Wow, that’s in like 20 minutes. You’d better get dressed.",Excitement
I am dressed.,"Satisfaction, Relief, Comfort"
Oh. Well good! (To himself) For me. (He picks up a jar of lotion.) What isthis? Did you give yourself a facial?,"Frustration, Curiosity"
I have an oily T-zone!,Frustration
"Okay dude! (Finds a receit.) Hey you uh, you sent Kristen flowers.",Satisfaction
That’s right.,Satisfaction
You spent a hundred dollars. That’s the limit. You’re screwed!,Frustration
"Uh actually, I sent the flowers before the actual date. So techincally,","Frustration, Satisfaction"
Oh-oh! So that’s the way it’s gonna be huh? Yeah I can break therules too y’know!,Frustration
Oh yeah? What are you gonna do?,Frustration
I don’t know.,Frustration
Why am I not surprised?,Frustration
Y’know what Ross? I’m not gonna let you get away with this!,"Frustration, Gratitude"
I don’t think you have much choice.,Frustration
Well we’ll see!,Frustration
Bye-bye!,"Excitement, Contentment, Relief"
Yeah bye-bye! (Exits and comes back in still holding the lotion.) Hey! Sojust a light layer?,"Excitement, Curiosity"
Yes. Yes. Just here (Runs his fingers down the bridge of his nose) andthere (Runs his fingers across his forehead).,Frustration
Joey got meat sauce on the banister again! (He goes into the bathroomto wash his hands.),"Frustration, Satisfaction"
