Dialogue,Emotions
"(entering from her bedroom carrying a present) Ok, these wereunbelievably expensive, and I know he's gonna grow out of them in like, 20 minutes, but Icouldn't resist. (There a little pair of Nike shoes.)",Excitement
"Oh, look at these! Hey, Ben. Just do it. (Ben starts to cry) Oh my God,oh, ok, was that too much pressure for him?","Frustration, Overwhelm, Affection"
"Oh, is he hungry already?",Curiosity
I guess so. (Carol starts to breast feed Ben.),Satisfaction
"You know, it's... (sees the feeding taking place next to him)something funny about sneakers. I'll be right back. (Goes into the kitchen)","Boredom, Curiosity"
"(joins him) I gotta get one, too.","Enthusiasm, Interest"
(following them into the kitchen) What are you guys doing?,Confusion
We're just hanging out by the spoons. Ladle?,Boredom
"Look, would you guys grow up? That is the most natural beautiful thing inthe world.","Frustration, Affection"
"Yeah, we know, but there's a baby suckin' on it.",Frustration
"This is my son having lunch, ok? It's gonna happen a lot, so you'd betterget used to it. Now if you have any problem with it, if you're uncomfortable, just askquestions. Carol's fine with it, now come on.","Frustration, Overwhelm, Enthusiasm"
Carol?,Curiosity
Carol? I was just wondering if Joey could ask you a question aboutbreast-feeding?,Curiosity
Sure.,Boredom
"Uh, does it hurt?","Curiosity, Pain"
"It did at first, but not anymore.",Frustration
Chandler?,Confusion
"So, uh, how often can you do it?",Curiosity
As much as he needs.,"Achievement, Satisfaction, Gratitude"
"Ok, I got one, I got one. Uh, if he blows into one, does the other one getbigger?",Boredom
"Rachel, do you have any muffins left?",Boredom
"Yeah, I forget which ones.",Frustration
"Oh, you're busy, that's ok, I'll get it. Anybody else want one?","Contentment, Calmness"
No thanks.,Frustration
"(To Rachel) Oh, you're losin' your apron here, let me get it. There yougo. (Ties it back up for her)","Satisfaction, Affection"
(to Julie) Thank you. (under her breath to Chandler) What a bitch.,"Frustration, Anger"
"Oh, listen you guys. I have this friend at","Enthusiasm, Curiosity"
"I can't, I have to take my grandmother to the vet.","Frustration, Gratitude"
"Ok, um, I'll go with you.",Unknown
Great.,Satisfaction
"(enters) Hi, honey.",Affection
"Hey, sweetums.",Affection
Hello to the rest.,"Contentment, Relief"
Hi!,"Enthusiasm, Engagement, Interest"
Monica what're you doin'? You can't go shopping with her? What aboutRachel?,"Frustration, Jealousy"
"It's gonna be a problem, isn't it?",Worry
"Come on, you're going to",Frustration
But I'm...,Frustration
"Monica, she will kill you. She will kill you like a dog in the street.","Fear, Offense"
"(to Monica) So, uh, Jules tells me you guys are going shopping tomorrow?","Enthusiasm, Interest"
"Yeah, uh, it's actually not that big a deal.",Boredom
"It's a big deal to me. This is great, Monica. I really appreciate this.","Achievement, Gratitude"
You're welcome.,"Gratitude, Relief"
"Woof, woof.","Affection, Excitement"
(A guy walks by) Bijan for men? (Another guy walks by) Bijan for men?(Another guy walks by) Bijan for men? (An attractive woman walks by.),"Frustration, Boredom"
"Hey, Joey. So did you hear about the new guy?",Curiosity
Who?,"Boredom, Disappointment, Confusion"
Nobody knows his name. Me and the girls just call him the Hombre man.,"Boredom, Affection"
"(to a customer) Hombre? (The guy says yes, and gets hissample.)",Frustration
What's he doin' in my section?,Frustration
I guess he doesn't know.,Frustration
"Well, he's gonna. I'll see you a little later, ok? (To the Hombre Man)Hey, how ya doin'?","Enthusiasm, Affection"
Mornin'.,Engagement
"Listen, I know you're new, but it's kinda understood that everything fromYoung Men's to the escalator is my territory.",Frustration
"Your territory, huh?",Frustration
Yeah. Bijan for men?,Interest
No thanks.,Relief
Hombre?,Unknown
Yeah. All right. (They guy gets his sample and leaves.),"Achievement, Satisfaction"
(To Joey) You were saying?,Frustration
"Phoebe, listen. You were with me, and we were shopping all day.",Frustration
What?,Frustration
"We were shopping, and we had lunch.",Satisfaction
"Oh, all right. What did I have?",Frustration
You had a salad.,Satisfaction
"Oh, no wonder I don't feel full.",Frustration
"(entering) Hey, guys, what's up.",Enthusiasm
"I went shopping with Monica all day, and I had a salad.",Satisfaction
"Good, Pheebs. What'd you buy?","Excitement, Curiosity"
"Um, we went shopping for um, for, fur.",Boredom
You went shopping for fur?,"Curiosity, Confusion"
"Yes, and then I realized I'm against that, and uh, so then we boughtsome, (sees Monica pointing at her chest) uh, boobs.",Embarrassment
You bought boobs?,Embarrassment
(Monica is yanking on her bra strap) Bras! We bought bras! We boughtbras.,"Frustration, Satisfaction"
"(to a guy) Bijan for men? (to a guy) Bijan for men? (To a woman) Bijanfor... (Sees it's a woman and stops.) (To Annabelle who walks up.) Hey, Annabelle, Uh,listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee.","Enthusiasm, Affection, Interest"
"Oh, actually I sorta have plans.",Disappointment
"(entering) Ready, Annabelle?",Excitement
You bet. (to Joey) Maybe some other time?,Satisfaction
"(To a co-worker) Hey, it's not the first time I lost a girl to a cowboyspraying cologne. (A customer walks by.) Bijan for men? (The customer ignores him, andJoey starts to chase him) Bijan for men?!","Frustration, Embarrassment, Irritation"
"Ok, and this is Funny Clown. Funny Clown is only for after his naps, notbefore his naps or he won't sleep.",Frustration
"Carol, we've been through this before, ok? We have a good time. We laugh,we play. It's like we're father and son.","Frustration, Affection"
"Honey, relax. Ross is great with him. (Ross looks at her.) Don't look sosurprised. I'm a lovely person.","Affection, Love, Relaxation"
"Oh, this is so cute.","Enthusiasm, Affection, Love, Contentment"
"Oh, I got that for him.","Achievement, Satisfaction"
My mommies love me. That's clever.,Affection
"Hello? Oh, Hi, Ju—(Sees Rachel is watching)—Hi, Jew! (Walksinto the kitchen.) (Listens.) Uh huh? (Listens.) Uh huh? (Listens) Ok. (Listens) Um, sure,that'd be great. See ya then. Bye. (Hangs up.)","Frustration, Overwhelm, Enthusiasm"
"Did you just say Hi, Jew?",Offense
"Yes. Uh, yes, I did. That was my friend, Eddie Moskowitz. Yeah, he likesit. Reaffirms his faith.",Satisfaction
"Ben, dinner!",Frustration
"Thanks Aunt Pheebs. Hey, you didn't microwave that, did you, because it'sbreast milk, and you're not supposed to do that.",Frustration
"Duh, I think I know how to heat breast milk. Ok. (Squirts some on herwrist and tastes it.)","Curiosity, Confidence"
What did you just do?,Frustration
"I licked my arm, what?",Frustration
It's breast milk.,Satisfaction
So?,Frustration
"Phoebe, that is juice, squeezed from a person.",Frustration
What is the big deal? (Tastes the breast milk.),Unknown
What did you just do?,Frustration
"Ok, would people stop drinking the breast milk?",Frustration
You won't even taste it?,Frustration
No!,Frustration
Not even if you just pretend that it's milk?,Frustration
Not even if Carol's breast had a picture of a missing child on it.,Unknown
"Hey, where is everybody?",Frustration
They took Ben to the park. Where've you been?,Frustration
"Just out. Had some lunch, just me, little quality time with me. Thanksfor your jacket.",Gratitude
"Oh, no problem. You can borrow it, by the way. (Puts her hand in thepocket) Here are your keys, hon. (She takes the keys out, sets them on the counter, andnotices she also grabbed a receipt.)",Satisfaction
Okay.,Boredom
"Mon, if uh you were at lunch alone, how come it cost you uh 53dollars?",Frustration
You know what probably happened? Someone musta stolen my credit card.,Frustration
And sorta just put the receipt back in your pocket?,Frustration
That is an excellent excellent question. That is excellent.,"Achievement, Satisfaction"
"Monica, what is with you? Who'd you have lunch with?",Frustration
Judy.,"Frustration, Boredom"
Who?,"Curiosity, Confusion"
Julie.,Unknown
What?!,Frustration
Jody!,Affection
You were with Julie?,"Frustration, Jealousy"
"Look, when it started I was just trying to be nice to her because shewas my brother's girlfriend. And then, one thing led to another and, before I knew it, wewere...shopping.","Achievement, Satisfaction, Enthusiasm, Affection"
Oh. Oh my God.,Unknown
"Honey, wait. We only did it once. It didn't mean anything to me.","Frustration, Betrayal"
"Yeah, right.  Sure!",Doubt
"Really, Rachel, I was thinking of you the whole time. Look, I'm sorry,all right. I never meant for you to find out!",Frustration
"Oh, please, you wanted to get caught. (Waves the receipt)","Frustration, Satisfaction"
That is not true!,Frustration
"Oh, so you just sort of happened to leave it in here?",Frustration
Did it ever occur to you that I might just be that stupid?,"Frustration, Doubt"
"Ok, Monica. I just have to know one thing. Did you go with her to","Anxiety, Curiosity"
"(on the phone) Hi, who's this? (Listens) Hi, Joanne. Is Rachel working?It's Monica. (Listens) Yes, I know I did a horrible thing. (Listens) Joanne, it's not assimple as all that, ok? (Listens) No, I don't care what Steve thinks. (Listens) Hi, Steve.","Frustration, Gratitude, Love"
Hey! (This wakes Chandler and Ross up),Excitement
How did we do?,Achievement
"Oh, I tasted Ben's milk, and Ross freaked out.",Frustration
I did not freak out.,Calmness
Why'd you freak out?,Frustration
Because it's breast milk. It's gross.,Unknown
My breast milk is gross?,"Frustration, Disappointment"
This should be fun.,"Enthusiasm, Excitement"
"No, no, Carol. There's nothing wrong with it. I just, I just don't thinkbreast milk is for adults.",Frustration
Of course the packaging does appeal to grown-ups and kids alike.,"Achievement, Satisfaction, Enthusiasm"
"Ross, you're being silly. I've tried it, it's no big deal. Just taste it.(Holding out a bottle.)","Frustration, Satisfaction"
(jumping away) That would be no.,Frustration
Come on. It doesn't taste bad.,Satisfaction
"Yeah, it's kinda sweet, sorta like, uh...","Affection, Curiosity"
Cantaloupe juice.,"Curiosity, Interest"
Exactly.,Satisfaction
(staring at Susan) You've tasted it? You've tasted it.,Jealousy
Uh huh.,Boredom
"Oh, you've tasted it.","Achievement, Satisfaction"
"You can keep saying it, but it won't stop being true.",Frustration
(he rolls up his sleeve) Gimme the bottle. (Joey hands him the bottle andRoss squirts some on his arm.) Gimme the towel. (Joey gives him the towel and he wipes itoff.),"Frustration, Satisfaction, Gratitude"
Howdy.,Enthusiasm
"(sitting on the otherside of the counter from Chandler) Gimme a box ajuice. Well, they switched me over to Hombre.",Frustration
"Well, maybe it's because of the way you're dressed.",Frustration
"Or maybe it's because this guy's doing so good they wanna put more peopleon it. (Chandler pours some juice in a glass.) You should see this guy, Chandler, he goesthrough two bottles a day.","Frustration, Enthusiasm"
(slides the juice across the counter which Joey catches) What do youcare? You're an actor. This is your day job. This isn't supposed to mean anything to you.,"Frustration, Disappointment"
"I know, but, I was the best, you know? I liked being the best. (He downsthe glass of juice in one swig.) I don't know. Maybe I should just get outta the game.They need guys up in housewares to serve cheese.","Frustration, Satisfaction, Boredom, Disappointment, Engagement, Exhaustion, Determination"
"(pours more and slides the refill to Joey) All right, say you do that.You know sooner or later somebody's gonna come along that slices a better cheddar. Andthen where're you gonna run?","Frustration, Anxiety, Worry"
Yeah I guess you're right.,Boredom
You're damn right I'm right. I say you show this guy what you're madeof. I say you stand your ground. I say you show him that you are the baddest hombre westof the lingerie.,"Determination, Pride, Confidence"
I'm gonna do it. (He downs the juice in one swig again.),Excitement
