Dialogue,Emotions
"Y'know, I can't believe I'm getting my nails done!  And",Excitement
"Chandler, there’s a guy right over there. (Points to the counter)",Excitement
That’s a mailman! That’s,Excitement
"Chandler, don’t worry! This doesn’t make you any less of aguy! (Chandler starts blowing on his fingernails like women do.)",Frustration
"Hey, you know who used to have nails like that?",Curiosity
Hmm.,"Frustration, Boredom"
"OH…MY…GAWD!! (Yep, you guessed it. It’s Janice.)",Excitement
Joey let me ask you a question.,Curiosity
"Ohh, Nothing.",Boredom
Didn’t it drive you crazy to have a switch and not know what itdid?,"Frustration, Curiosity"
I,"Frustration, Overwhelm, Exhaustion"
They wouldn’t have put it there if it didn’t do something! Howcan you not care?,"Frustration, Doubt"
Like this. (Shrugs),Confusion
"Well, here’s another question for ya. Uhh, do you know what thatsilver knob on the toilet does?",Confusion
Sure! It flushes it.,"Achievement, Satisfaction"
"Okay, good. Now that since you know, when you come over would you mindactually using it?",Frustration
"(entering, with Janice in tow) Hello!","Excitement, Engagement"
Hey! (Sees Janice.) Ah!! (Janice screams in surprise.),Unknown
Guess who we ran into today?!,Excitement
Janice?!,Unknown
Isn’t this amazing?,Unknown
How have you been?,"Satisfaction, Engagement, Interest"
"Oh well, I’m divorced.","Frustration, Disappointment"
"Ohhh, wow.",Enthusiasm
"Yeah, I’m riding the alimony pony. (Does the now famous laugh.)","Achievement, Satisfaction, Enthusiasm, Gratitude, Love, Excitement"
And there it is.,Excitement
"I just came up to say, Hi!"" Hi! (to Chandler) And you","Enthusiasm, Affection"
Okay. Bye.,Unknown
Bye.,Boredom
Bye.,Boredom
Bye.,Boredom
Bye.,Relief
Bye.,Frustration
B-bye!,Excitement
Bye-bye.,Boredom
"Bye. (Finally closes the door on her.) (After it’s closed) Ican’t stand the woman! (Phoebe is shocked, Joey is relieved.)","Frustration, Relief"
What?! I thought you were crazy about her!,Frustration
"Yeah, I know, but all of those little annoying things she did beforewe fell in love? Like her voice, her laugh, her personality—Well, they’re allback! Y’know? And she’s picked up like nine new ones!","Frustration, Overwhelm, Affection"
So what are you doing bringing her here?! There’s people here!,"Frustration, Anger"
