Dialogue,Emotions
(coming from the bathroom) Hey Pheebs?,"Happiness, Contentment, Excitement"
Huh?,"Surprise, Confusion, Frustration"
"I’m having dinner with my dad tomorrow night, do you wanna come?","Happiness, Excitement, Anticipation"
"Sure. Yeah, he’s kinda sexy.","Happiness, Confidence, Excitement"
"Oh no, no, I’ll be there too.","Confidence, Excitement, Anticipation"
"Okay so, we’ll just come up with some kind of signal if it’sgoing well you can take off.","Confidence, Excitement"
No Phoebe! I just need you there for support. I haven’t told himI’m pregnant yet.,"Contentment, Excitement, Anticipation"
Oh. Why not?,"Neutral, Confusion, Optimism"
‘Cause I know he’s gonna flip out and I hate it when he’sangry.,"Fear, Frustration"
"Oh Rachel, this is all so ‘Papa don’t preach.’","Surprise, Disgust, Frustration"
What Phoebe? Wait! One time he caught me smoking he said if he ever sawme doing that again he’d make me eat the entire pack.,"Anger, Fear, Frustration"
"Wow! Oh well, I will be there!","Excitement, Anticipation, Optimism"
Thank you.,"Happiness, Contentment, Neutral"
Gosh. I’m not gonna let that man make you eat your baby. (They bothsit down by the rest of the gang and Phoebe recognizes a man by the window.) Oh. Hey! Whois that guy? I think I know him.,"Surprise, Excitement, Confusion"
(recognizing him and panicking) No you don’t!,"Fear, Surprise"
(panicking) No you don’t.,"Anger, Fear"
Oh my God!!! Monica!! He’s the stripper from your bacheloretteparty!!,"Fear, Surprise, Excitement"
Her what?!!,"Anger, Surprise, Confusion"
Your,Neutral
You had a bachelorette party?!,"Surprise, Excitement"
She untied his G-string with her teeth. (Pause) Somebody stop me!,"Surprise, Excitement, Anticipation"
"I thought we weren’t gonna have bachelor/bachelorette parties!Y’know, we agreed that it was a silly tradition.","Contentment, Anticipation, Frustration"
It’s a grand tradition!,"Happiness, Excitement, Optimism"
"I’m sorry, they surprised me. There was nothing I could do!","Fear, Surprise, Frustration"
Well you could’ve untied it with your hands.,"Confidence, Frustration"
"This is so unfair! The one thing I wanted to do was throw my best friend abachelor party, but no, I wasn’t allowed to. All I got was a stupid steak dinner!","Sadness, Frustration"
You went home with the waitress.,"Happiness, Surprise, Excitement"
"Oh yeah, that was a pretty good night.","Happiness, Contentment, Excitement"
I can’t believe you didn’t tell me! You,"Anger, Surprise, Frustration"
"Ugh, I","Neutral, Disgust, Frustration"
How about I order everyone the Moroccan chicken?,"Contentment, Excitement, Anticipation"
"Oh, I-I don’t eat meat.","Confidence, Neutral, Disgust"
It’s chicken.,"Neutral, Disgust, Confusion"
"Yeah, I don’t eat that either.","Neutral, Disgust"
"I’ll never understand you lesbians. (To Rachel) So baby, tellme…what is new with you.","Disgust, Confusion, Frustration"
Well actually umm…,"Confidence, Neutral, Confusion"
(interrupting) Your ’74 Lafite sir.,"Confidence, Neutral, Frustration"
’74?! I ordered the ’75! That’s a magnificent wine!The ’74 is sewage! Why would you bring me sewage?! (The waiter’s dumbfounded) Isthat a hard question? Are you an idiot? Is that why you’re a waiter?,"Anger, Disgust, Frustration"
This is why I told the manager I wouldn’t wait on you tonight!(Runs off.),"Anger, Confusion, Frustration"
Oh come on! Don’t be such a baby! (Goes after him),"Confidence, Anger, Frustration"
"(To Phoebe) In case you didn’t notice, that is a scary man.","Fear, Surprise, Disgust"
"He’s right though, the ’74 is absolute piss.","Sadness, Disgust, Frustration"
"This was such a huge mistake. I can’t tell him Phoebe. Ican’t, I can’t, I can’t, I can’t…","Sadness, Fear, Frustration"
Rachel!,"Happiness, Surprise, Excitement"
"No it’s okay, this is what’s gonna happen. I’m gonna waita couple years and then the baby will tell him.","Confidence, Excitement, Optimism"
"Why, so he can get mad at the baby?","Anger, Disgust, Frustration"
"Hey, that is the…baby’s problem. (Dr. Green returns.) Oh,everything okay with the waiter?","Surprise, Confusion, Frustration"
"I have no idea, I went to the bathroom. So sweetie, you were startingto tell me what is uh, what is new with you.","Neutral, Excitement, Confusion"
"Well… Umm, I got","Neutral, Confusion, Frustration"
What’s,Neutral
It’s slang for pregnant.,"Surprise, Disgust, Confusion"
Phoebe!,"Happiness, Love, Excitement"
Are you really pregnant?,"Surprise, Confusion, Frustration"
"Well uh, yes and no. Except not no. So to sum it up, yeah.","Confusion, Frustration, Optimism"
Who is the father? Oh no! Please don’t tell me it’s her!(Points at Phoebe.),"Fear, Surprise, Disgust"
"No, it’s Ross. It’s Ross. You like Ross. (He just shakes hishead.) Oh daddy, I hope you’re okay with all of this. I mean think about it, this isa good thing. You’re gonna—This is your first grandchild! You’re gonna be apoppy!","Excitement, Anticipation, Optimism"
That’s true.,"Contentment, Confidence, Neutral"
Yeah.,"Contentment, Confidence, Neutral"
"(laughs) Poppy. (To Phoebe) Oh, I’m gonna be a poppy. (Stopslaughing) So when is the wedding?","Happiness, Excitement, Anticipation"
Who?,"Neutral, Surprise, Confusion"
"The wedding! There’s going to be a wedding. Young lady,don’t you sit there and tell me my first grandchild is going to be a bastard! (Rachelpauses) Rachel Karen Green, tell me there is gonna be a wedding!!","Anger, Excitement, Anticipation"
February 2,Unknown
So it was really cool seeing you lecture today.,"Happiness, Excitement, Optimism"
Oh thanks. Although it kinda seemed like you were falling asleep there alittle.,"Neutral, Confusion, Frustration"
