Dialogue,Emotions
(she enters) Hey...,"Happiness, Excitement, Anticipation"
Hey!,"Happiness, Surprise, Excitement"
Hi!,"Happiness, Excitement, Optimism"
"Pheebs, what's wrong?",Sadness
"Oh, I'm just so exhausted from dragging around this...   (she shows her ring)","Neutral, Frustration, Longing"
OH!,"Surprise, Excitement, Anticipation"
My God!,Surprise
Hey!,"Happiness, Excitement, Anticipation"
"So, did he get on one knee, did he have a speech prepared,   or (in a tender way) did he cry? (the guys look at him) Yeah, big surprise,   I like proposals!","Happiness, Surprise, Excitement"
"Well, it was",Neutral
"Well, hey! Well... (he takes his mug to toast Phoebe)   Here's to Phoebe, who's found the greatest guy in the world! To Phoebe and...   (a bit uncertain) I wanna say Mike? (pause) To Phoebe and Mike!","Happiness, Love, Excitement"
Whoo!,"Happiness, Surprise, Excitement"
"Thank you! (to Rachel) Oh, and I have something for   you!","Happiness, Excitement, Anticipation"
Mmh-mmh!,"Happiness, Excitement, Anticipation"
"It's, yes, my little black book. It's got the numbers   of all the guys I've dated.","Confidence, Excitement, Nostalgia"
"Oh, Pheebs, baby, that's nice but, you know what,   I think I'm ok. Why don't you give it to one of your other single girlfriends?","Contentment, Neutral, Frustration"
"I would, but you're the last one.","Neutral, Sadness, Frustration"
"(angrily) GIVE ME THE BOOK! (she takes it and start   reading) Pablo Diaz, Brady Smith, huh, Guy-in-van""?""","Anger, Confusion"
"Oh, my first love!","Happiness, Love, Excitement"
Oh!,"Surprise, Excitement, Anticipation"
What does the red X next to Bob Greenmore's name mean?,"Anticipation, Confusion"
"Dead. (everyone is a bit upset) Oh, it's OK, no,  he  was","Neutral, Sadness, Surprise"
"Hey, I'm sorry, I should have given you guys my   black book when I got married! Although it wasn't so much a book as a... napkin.   With Janice's phone number on it.","Happiness, Excitement, Nostalgia"
"Phoebe, isn't Jethro Tull a band?","Neutral, Surprise, Confusion"
"(proud of herself) Oh yes, they are.","Happiness, Confidence, Excitement"
(he enters) Hey honey!,"Happiness, Love, Excitement"
"(Looking inside the fridge, and we only see his back.   Then he closes the door, and we see it's Joey.) Hi sweetie!","Happiness, Love, Excitement"
Is Monica not here?,"Neutral, Confusion, Longing"
No.,"Neutral, Disgust, Frustration"
"Oh, then I'll tell you. My agency was bidding for  a big account and they","Confidence, Excitement, Anticipation"
Cool!,"Happiness, Excitement, Optimism"
"Yeah, and I don't wanna brag but a lot of the ideas   were mine! (silence) Hell, you weren't there?","Confidence, Anger, Frustration"
"That's great! Hey, can you cast me in it?","Excitement, Anticipation, Optimism"
"Oh... I don't know, I really don't think you're   right for the part.","Neutral, Sadness, Frustration"
"What do you mean? I can do anything, I'm a chameleon!   Huh? (he mimes an old man with a beard) I'm old! (then he yawns) I'm tired!   (then he mimes someone who's hot...) Hey, I'm hot (...and cold) I'm cold!! Huh??   Come on! What can't I do?","Confusion, Frustration"
"First of all. Bravo. Uh, but I really don't think   you're right for this. The part calls for a stuffy college professor.","Neutral, Confusion, Frustration"
I can do that! (in a deeper voice) Hello,"Confidence, Excitement, Optimism"
Software that facilitates inter-business networking   e-solutions?,"Confidence, Excitement, Anticipation"
(after a long pause he starts miming again) I'm cold!,"Neutral, Confusion, Frustration"
(to Charlie) Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
Guess who's a finalist for a,"Excitement, Anticipation, Optimism"
"Ah, well, unless it's the creepy guy with his hand   up his kilt, I'm gonna say congratulations!","Confidence, Neutral, Disgust"
"Oh, I'm so excited, I mean, apparently I beat out hundreds   of other applicants, included five guys I went to graduate school with. Not    that I'm keeping score or anything...","Confidence, Excitement, Frustration"
"Wow, that's great! So, tell me about the grant!","Happiness, Excitement, Anticipation"
"Well, ok, it's for 25 thousand dollars. And if I get   it, I'll finally be able to complete my field research!","Confidence, Excitement, Optimism"
Wait. Are you talking about the Dewar grant?,"Surprise, Excitement, Confusion"
Yeah. Why?,"Neutral, Confusion, Frustration"
Benjamin Hobart is administering that grant.,"Confidence, Neutral, Excitement"
Your ex-boyfriend?,"Neutral, Surprise, Disgust"
Yeah.,"Contentment, Confidence, Neutral"
"So, your ex-boyfriend is gonna determine if your new   boyfriend gets this grant? Wow, your new boyfriend is screwed!","Surprise, Disgust, Frustration"
"No, no, we ended up in great terms. I mean, if anything,   I think this could help you. You know what? Why don't we all go out to dinner   together, and I can introduce you.","Happiness, Contentment, Optimism"
"Well, if you think it would help.",Neutral
"Yes, absolutely. I'll call him.","Contentment, Confidence, Excitement"
"Ok, now, is there anything I can do to... you know,   butter him up? Anything he really likes?","Confusion, Frustration, Optimism"
Mmh... he does have a pretty serious latex fetish.,"Surprise, Disgust, Frustration"
We'll see how dinner goes.,"Confidence, Anticipation, Optimism"
(looking at Monica entering) Hey!,"Happiness, Surprise, Excitement"
"Hey, you wanna go to see a movie?","Excitement, Anticipation, Optimism"
"Well, I told you I had to spend all the day clearing   out stuff, so Mike could move in.","Contentment, Confidence, Excitement"
"Oh, right.","Neutral, Disgust, Confusion"
Yeah.,"Contentment, Confidence, Neutral"
"Oh, well. Now that I'm here I might as well help you   with the cleaning and organizing! Just happen to have my label maker!","Happiness, Excitement, Optimism"
"Oh, it's","Neutral, Surprise, Confusion"
"Uh, Chandler did! What does he want","Anticipation, Confusion, Frustration"
Who's Gladys? (Phoebe shows her a horrific painting   with a half-a-body girl dummy coming out of the frame. Monica's frightened and   she gasps.) Oh! What a tragic loss!,"Fear, Surprise, Disgust"
Yeah. I really,"Happiness, Contentment, Confidence"
"(faking happiness) Well, I-I-I-I... I don't know...","Sadness, Confusion, Frustration"
"Why, you don't like her?","Neutral, Surprise, Confusion"
"Well, of course I do. What's not to like! I'll   take her in a minute! But, you know, I think that you're giving up too   easy, honey. I think that you need to fight for her!","Confidence, Excitement, Optimism"
Really? You think?,"Surprise, Confusion, Optimism"
"Absolutely! Yes, you say to him I'm sorry   Mike I can't live without her","Sadness, Love, Longing"
"Ok, I'll fight for her. Ok! Oh, wait, oh I just   realized... if I do that, that means you don't get her.","Sadness, Confusion, Frustration"
"Damn it, I did","Anger, Disgust, Frustration"
Hey you guys.,"Happiness, Confidence, Excitement"
Hey you guys.,"Happiness, Confidence, Excitement"
Hi!,"Happiness, Excitement, Optimism"
Oh! Any word on casting yet?,"Excitement, Anticipation, Optimism"
"Joe, I told you, you're just not right for   the part.","Sadness, Disgust, Frustration"
"What do you mean? Rach, don't I seem like a professor   you'd buy some kind of e-crap from?","Disgust, Confusion, Frustration"
"I'm sorry, this sounds like something I'm never gonna   be interested in.","Neutral, Frustration"
Joe...,"Neutral, Confusion, Frustration"
"Just watch it, and if you don't like it, you don't   pass it on to your bosses!","Confidence, Frustration, Optimism"
Fine!,"Neutral, Frustration, Optimism"
Thank you. (he sits down),"Contentment, Confidence"
"Work, Joe!","Confidence, Excitement, Optimism"
Damn it! (he leaves),"Sadness, Anger, Frustration"
Just pass it to your boss!,"Confidence, Neutral, Frustration"
"He's not right for the part. So if I suggest   him, my bosses are gonna think I'm an idiot! And that's something they should   learn on their own!","Anger, Fear, Frustration"
"Just tell Joey that you watched the tape and you liked   it, but your bosses didn't. Then that way, you're the good guy and   they're the bad guys.","Confidence, Frustration, Optimism"
"That's good! I liked it, they didn't.   (he sees Joey out of the window hitting on a girl) Joey, for God's sake,   go to work! (Joey runs away).","Happiness, Anger, Frustration"
