Dialogue,Emotions
"Good, you guys are all here!","Happiness, Excitement, Optimism"
Hey! What's up?,"Happiness, Excitement, Optimism"
"Well, I have a job interview at","Excitement, Anticipation, Optimism"
"Congratulations! Ohh, that's great!","Happiness, Surprise, Excitement"
I know!,"Happiness, Confidence, Excitement"
"Boy, that guy's underwear sucks!","Surprise, Disgust, Frustration"
Wh-what?!,"Fear, Surprise, Confusion"
"I got this pair marked excess, I gotta tell ya, there was no room forexcess anything in there.","Confidence, Disgust, Frustration"
"Anyway, I'm going to be the coordinator of the woman's collection, I'llwork right under the director, it's the perfect, perfect job for me!","Confidence, Excitement, Optimism"
"Wow! Well, if you nail the interview, you'll get it!","Confidence, Excitement, Optimism"
Yeah.,"Neutral, Confusion, Frustration"
You wanna work on your interview skills?,"Confidence, Frustration, Optimism"
O-okay!,"Happiness, Excitement, Anticipation"
"Okay! All right, let's start with the handshake. Hi.","Happiness, Confidence, Excitement"
Hi.,"Happiness, Contentment, Neutral"
"Very good handshake, good wrist action.","Contentment, Confidence"
Let me try. (Gets up to join them.),"Confidence, Excitement, Anticipation"
Okay. (They shake hands and she pulls away suddenly) Oh my God! What didI ever do to you?! (Rubbing her hand.),"Anger, Surprise, Disgust"
Did I squeeze it too hard?,"Fear, Confusion, Frustration"
"Let's just say, I'm glad I'm not Chandler.","Contentment, Neutral"
"That's right Ross, I can see you in your new apartment! And you can seeme! Same as yesterday, (To Monica) same as the day before.","Happiness, Contentment, Excitement"
Is he doing his shark attack bit yet?,"Excitement, Anticipation, Optimism"
"Nope. Op, wait! There he goes.","Neutral, Surprise, Frustration"
"(waving) Very funny Ross! Very life-like and funny. Okay. (Notices that awoman is waving back.) Oh no-no-no, I wasn't waving at you lady. (She just stares at him.)(Joey sees how beautiful she is.) Whoa, maybe I was! Hey, Monica, this totally hot girl inRoss's building is flirting with me.","Confidence, Surprise, Excitement"
"Get in there man! Flirt back, mix it up!","Confidence, Excitement, Optimism"
"Yeah, I-I-I'm down with that. (He turns back to the woman.) Okay, heregoes. (Thinks.) How (Holds up his hand like an Indian) you (Points at her) a-doin'? (Doesa little twisting motion with both hands and ends up pointing at her, he then winks. Shesmiles and waves again.) (To Monica) It worked! She's waving me over. (Towards the woman.)Okay, I-I-I'll be right over. Let's see, she's on the third floor…","Happiness, Confidence, Excitement"
"(joining him) Wow! She is pretty, huh?","Surprise, Love, Excitement"
"Tell me about it, huh? (Realizes that she can see Monica.) Oh no-no-no,I'm not with her, she's just Monica! (He pantomimes that out.) Ewwuck! (He pushes Monicaaway and makes a disgusted face.)","Surprise, Disgust, Frustration"
Hey Joey! Great stuff huh?,"Happiness, Confidence, Excitement"
This is your place?,"Happiness, Contentment, Excitement"
"Of course it is. Yeah, come on in. Ooh-ooh, go by the window you canpretend to be surfing. (He pretends he's surfing by the window.)",Excitement
"But I counted, you're not supposed to live here! Oh man! (Runs away.)","Fear, Surprise, Disgust"
Ugh!!,"Anger, Disgust, Frustration"
What happened?,"Anticipation, Confusion, Frustration"
"I ended up at Ross's place. Oh, I musta missed counted or something.(Looks out the window.) Damn! She's not there anymore. Oh, l-l-look, Ross is doing his'Watching TV' bit. (We see Ross sitting on the couch and flipping through the channels onhis remote.)","Surprise, Confusion, Frustration"
"No Joey, I think he's just watchin' TV.","Neutral, Confusion, Frustration"
We've lost visual contact with the suspect.,"Neutral, Fear, Frustration"
"Okay, now I've really have to go!","Confidence, Frustration"
But it's just so unfair that our date has to get cut short just 'causesome guy shot at a store clerk.,"Sadness, Anger, Frustration"
"I know, but it's my job, sweethart!","Confidence, Excitement, Frustration"
"Okay, then maybe I can come too!","Excitement, Anticipation, Optimism"
Suspect has just emerged naked from the sewer.,"Surprise, Disgust, Confusion"
"All right, you go. (They kiss.)","Contentment, Love, Excitement"
Bye-bye.,"Contentment, Neutral, Optimism"
"'Kay, bye!","Happiness, Confidence, Excitement"
Oh God!,"Fear, Surprise, Disgust"
What?,"Surprise, Confusion, Frustration"
Oh I just miss him so much!,"Sadness, Love, Longing"
"Wow! For just a week you guys are really close, huh?","Happiness, Surprise, Excitement"
"Yeah, it's weird. I can't help it though he's so sweet, he's like thislittle puppy dog, y'know? But like a really tough one that shots bad guys. Ohh, I just","Happiness, Love, Excitement"
I know it is the best.,"Contentment, Confidence, Optimism"
So-so how long did that last for you and Chandler?,"Nostalgia, Frustration"
What? It's still going on.,"Surprise, Confusion, Frustration"
"Come on, seriously! When did it end?","Neutral, Confusion, Frustration"
"I-I am serious, I mean, we're, we're all over each other all the time.","Happiness, Love, Excitement"
"Okay, you know where you are better than I do. I was just curious.","Confidence, Neutral"
(Start annoying hyper-competitive mode now.) (Jumping up) What don't youjust calm down Phoebe! All right?! Why don’t you just get all your facts before yourun around telling everybody that you're the only hot couple!!,"Anger, Confusion, Frustration"
"(Under her breath) God, I woke the beast. Sorry. (To Monica) I was","Neutral, Anger, Fear"
"Oh no, it","Fear, Surprise, Frustration"
"(entering) Hey Monica, here's your broom back.","Contentment, Confidence, Neutral"
You are so cute. (She goes over and kisses him passionately.),"Happiness, Love, Excitement"
"Oh hey, how'd the interview go?","Confidence, Excitement, Anticipation"
"Ugh, horrible! I did the stupidest, most embarrassing thing!","Disgust, Frustration"
Did you tell the guy you wanted to have sex with his wife and then fallright out of your chair?,Disgust
No!,"Sadness, Anger, Frustration"
So what happened?,"Neutral, Confusion"
"Ugh, it was horrible! And-and the interview part went so well, y'know? Ieven made him laugh. He said something about a boat and I was like, Well","Happiness, Surprise, Excitement"
What happened?,"Neutral, Nostalgia, Confusion"
"(We see a flashback as Rachel describes what happened.) All right, wewere shaking hands and he kinda leaned toward me… Y'know maybe he was going to openthe door, but I totally miss read him and I uhhh… (The flashback shows that shekissed him on the cheek.)","Surprise, Confusion"
You kissed him?!,"Anger, Surprise, Disgust"
"Well, I didn't know what else to do!","Fear, Confusion, Frustration"
"Well you coulda tried, not kissing him.","Sadness, Disgust, Frustration"
Thanks Chandler.,Happiness
"(entering from the bathroom) Hey Rach, a guy from","Happiness, Contentment, Excitement"
I can't believe it! I got a second interview!,"Happiness, Surprise, Excitement"
Yes!,"Happiness, Excitement, Optimism"
"I bet that kiss isn't looking like such a big mistake now, is it?",Confidence
"What-what, wait a minute, you don't think that's why he wants me back?","Fear, Confusion, Frustration"
Yeah! (Chandler makes a noise) No?,"Excitement, Confusion, Frustration"
A kiss? What are you talking about?,"Surprise, Disgust, Confusion"
"I accidentally kissed him in the interview, and now he wants me backy'know of course, 'cause Let's bring the girl back who kisses everybody!""""","Surprise, Confusion, Frustration"
"Come on, Rach.","Happiness, Excitement, Optimism"
Oh my God! What if he thinks I'm the kind of girl that-that would justsleep with him?,Fear
He probably wants you back because you're right for the job.,"Happiness, Confidence, Optimism"
"Maybe. I-I don't know—Oh God, how could I be so stupid?!","Sadness, Anger, Frustration"
"Oh Rachel look, don't say that, I think you just need a hug from Joey.Come on. Come on. (She hugs him and Joey looks out the window.) She's back! Hot girl'sback!","Happiness, Excitement, Anticipation"
"Ohh, well I'm not totally back yet, but thank you.",Neutral
"No, in Ross's building! (He throws Rachel onto the chair and heads to thewindow.) She's back! She's back! (Pantomimes) Okay, wait there, I'll be over in a second.(He counts where she is again.) Got it! (Runs out and does a little hot over a chair.)","Surprise, Excitement, Anticipation"
"I gotta check out this hot girl! (He heads to the window but realizessomething, stops, turns and points at Monica.) There she is! (He dances over to her andkisses her.)","Happiness, Love, Excitement"
Damnit!! Did you move?!,"Anger, Surprise, Frustration"
Yes. I lived with you guys for a while and then I found this place. (Joeyjust stares at him) I'm Ross.,"Neutral, Surprise, Nostalgia"
Yes?,"Neutral, Confusion, Frustration"
(Looking around) Uhh do you happen to have a hot girl in there?,"Confidence, Excitement, Anticipation"
No. I'm all alone.,"Sadness, Frustration"
"Yeah. Sorry about that. (He walks away and knocks on the next door whichis answered by a little girl.) Oh, hey little girl. Uhh, is-is your mommy, or sister, orbabysitter by any chance a hot girl?","Confidence, Surprise, Disgust"
Daddy!!,Happiness
Later! (He runs away down the hall and hides behind a corner to a wholeother corridor.) Oh man! (Walks down the hallway in desperation.) Hot girl! Hot girl!!,"Fear, Surprise, Excitement"
Hi Rachel!,"Happiness, Excitement, Anticipation"
Hi!,"Happiness, Contentment, Excitement"
Come on in.,"Happiness, Contentment, Confidence"
It's really nice to see you again.,"Happiness, Contentment, Nostalgia"
Thank you.,"Happiness, Contentment"
"(Sees that she has some ink on her lip from her pen.) Oh Rachel,uhh… (He points to his lip to get her to notice the ink on hers.)",Surprise
What?,"Surprise, Confusion, Frustration"
Just ah… (He points again.),"Confidence, Excitement, Anticipation"
Excuse me?,"Surprise, Confusion, Frustration"
Here let me… (He goes to wipe it off himself.),"Contentment, Confidence, Neutral"
"(stopping him) Wh-whoa! All right, okay-okay, I see, I see what's goingon here! Now listen, look-look, I'm sorry if I gave you the wrong impression, but I am","Confusion, Frustration"
"(entering) Ugh, you will not","Neutral, Disgust, Frustration"
Okay-okay that-that's amazing. How did you know that?,"Surprise, Excitement, Confusion"
You got ink on your lip.,"Neutral, Surprise, Disgust"
Oh. (Realizes.) Ohhhhhhhhh….,"Surprise, Excitement, Confusion"
"(To Gary) So what do you say, maybe sometime I hold your gun?","Confidence, Excitement, Anticipation"
"I don't know man, we're really not supposed to do that.",Neutral
"Oh, what can happen? I mean, would you… (He gestures and spillssome of his coffee.)","Confidence, Surprise, Frustration"
"Yeah, I'm gonna say no.","Confidence, Neutral, Frustration"
"Phoebe, do you want to go see a movie after dinner tonight?","Happiness, Excitement, Anticipation"
"Oh we can't, we already have plans.","Contentment, Neutral, Frustration"
What are you doing?,"Surprise, Confusion, Frustration"
"Well, same thing we did all day, hang out at Gary's apartment. He is soamazing, we never left the bedroom. But have fun at the movie.","Happiness, Contentment, Love"
"(That annoying competitiveness thing kicks in again, what the heck","Confusion, Frustration"
You're not? Then why did you ask us if we wanted to go?,"Surprise, Confusion, Frustration"
"Oh umm, that's because I just wanted to y'know walk in on me andChandler while we were, y'know, doing it all night. Will you excuse me for just a second?",Unknown
Yeah!,"Happiness, Excitement, Anticipation"
Okay. (She gets up and walks over to Chandler.) Chandler? Can I see youfor a second?,"Neutral, Confusion, Frustration"
"Uh, yeah.","Neutral, Confusion, Frustration"
Okay. (They walk away to get some privacy.) We have,"Confidence, Neutral"
Why?,"Neutral, Confusion, Frustration"
"'Cause, Gary and Phoebe think they're a hotter couple than we are!","Confidence, Frustration"
"Ohh, so?","Neutral, Confusion, Frustration"
So! So we've got to go upstairs and have a lot of sex to prove themwrong!,"Confidence, Excitement, Optimism"
"Monica, you have",Neutral
(to the woman checking her mail next to him) Hey!,"Confidence, Excitement, Anticipation"
"(To Ross) Excuse me. (He puts up a flyer that has a sketch drawing ofJoey and it reads, Warning! Intruder! If you see this creep - call the cops!"")You should check this out","Anger, Fear, Surprise"
(to the woman checking her mail) Who isn't?,"Neutral, Confusion, Frustration"
"I don't, I don't think we've meet. I-I'm Ross.","Confidence, Neutral, Confusion"
I know. You're the guy who wouldn't chip in for the handyman.,"Anger, Confusion, Frustration"
Nevermind! (Goes back to his mailbox.),"Neutral, Confusion, Frustration"
"No, I-I actually thought it was unfair the way everyone reacted. Imean you had just moved in.","Neutral, Confusion, Frustration"
I,Unknown
Jen.,Neutral
"Jen, I know this may sound a little…(makes some kind of crazy noise)But uh, would you maybe wanna grab a cup of coffee sometime, or…","Confidence, Anticipation"
Sure! That would be nice.,"Happiness, Contentment, Optimism"
Umm?,"Confusion, Frustration, Optimism"
Oh! My number is on there. (Hands him a business card.) Give me a call.,"Happiness, Confidence, Excitement"
I will give you a call.,"Happiness, Confidence, Excitement"
I'll see you later. (Starts to walk away.),"Contentment, Confidence, Neutral"
Okay!,"Happiness, Contentment, Excitement"
I forgot my paper. (Ross quickly hides the card in his mouth.),Frustration
That was amazing!,"Happiness, Excitement"
Phoebe and Gary are,"Happiness, Contentment, Love"
That was amazing.,"Happiness, Excitement"
We are the hottest! Huh?,"Confidence, Surprise, Excitement"
"No, you're the best.","Happiness, Confidence, Love"
"No, you're the best.","Happiness, Confidence, Love"
"No, you're the best.","Happiness, Contentment, Confidence"
I,"Neutral, Confusion, Frustration"
(entering) Hey guys! (Sees their state of undress) What 'cha been doin'?(Has a silly grin.),"Surprise, Excitement, Confusion"
(looking out the window) Hey Joey! Isn't that the girl that waved at youthe other day?,"Surprise, Excitement"
"I don't know. But I can see through your sheet. (He looks out the window.)Yeah, yeah, that's her. But y'know what? Doesn't matter, I'm never gonna get to meet heranyway.","Neutral, Sadness, Frustration"
Why?,Neutral
"Because it's impossible to find her apartment! She lives in some like ofhot girl parallel universe, or something.","Confusion, Frustration"
"What are you talking about? (Pointing out the window.) She obviouslylives on the second floor, seventh apartment from the left!","Confidence, Excitement, Optimism"
No. No. No. She lives on the,"Neutral, Sadness, Frustration"
"No, those first two windows, (Points) that's the lobby. And y'know theother one over there, that's the stairway. You've been counting wrong.","Confidence, Confusion, Frustration"
I did,"Happiness, Confidence"
