Dialogue,Emotions
There's nothing to tell! He's just some guyI work with!,"Neutral, Confusion, Frustration"
"C'mon, you're going out with the guy! There'sgotta be something wrong with him!","Confusion, Frustration"
,"Neutral, Confusion, Frustration"
"Wait, does he eat chalk?","Surprise, Confusion, Frustration"
"Just, 'cause, I don't want her to go throughwhat I went through with Carl- oh!","Sadness, Fear, Surprise"
"Okay, everybody relax. This is not even adate. It's just two people going out to dinner and- not having sex.","Confidence, Neutral"
Sounds like a date to me.,"Excitement, Anticipation, Optimism"
"Alright, so I'm back in high school, I'mstanding in the middle of the cafeteria, and I realize I am totally naked.","Fear, Surprise"
"Oh, yeah. Had that dream.","Contentment, Neutral, Nostalgia"
"Then I look down, and I realize there's aphone... there.","Surprise, Excitement, Confusion"
Instead of...?,"Confusion, Frustration, Longing"
That's right.,"Contentment, Confidence, Optimism"
Never had that dream.,Neutral
No.,"Neutral, Disgust, Frustration"
"All of a sudden, the phone starts to ring.","Surprise, Excitement, Anticipation"
And they weren't looking atyou before?!,"Surprise, Confusion, Frustration"
"Finally, I figureI'd better answer it,","Confidence, Anticipation, Frustration"
(mortified) Hi.,Unknown
"This guy says hello, I wanna kill myself.","Sadness, Frustration"
"Are you okay, sweetie?",Love
"I just feel like someone reached down mythroat, grabbed my small intestine, pulled it out of my mouth and tied it around myneck...","Sadness, Disgust, Frustration"
Cookie?,"Happiness, Excitement, Anticipation"
(explaining to the others) Carol moved herstuff out today.,"Neutral, Sadness, Nostalgia"
Ohh.,"Surprise, Disgust, Confusion"
Thanks.,"Happiness, Contentment, Neutral"
Ooh! Oh! (She starts to pluck at the airjust in front of Ross.),"Surprise, Excitement, Anticipation"
"No, no don't! Stop cleansing my aura! No, justleave my aura alone, okay?","Anger, Disgust, Frustration"
Fine!  Be murky!,"Anger, Frustration"
,"Neutral, Confusion, Frustration"
No you don't.,Neutral
"No I don't, to hell with her, she left me!","Sadness, Anger, Frustration"
And you never knew she was a lesbian...,"Surprise, Disgust, Confusion"
"No!! Okay?! Why does everyone keep fixating onthat? She didn't know, how should I know?","Anger, Confusion, Frustration"
Sometimes I wish I was a lesbian... (Theyall stare at him.) Did I say that out loud?,"Surprise, Confusion"
"I told mom and dad last night,they seemed to take it pretty well.",Contentment
"Oh really, so thathysterical phone call I got from a woman at sobbing 3:00 A.M., I'll never havegrandchildren","Sadness, Anger, Frustration"
Sorry.,Neutral
"Alright Ross, look. You're feeling a lot ofpain right now. You're angry. You're hurting. Can I tell you what the answer is?","Sadness, Anger, Frustration"
"Strip joint! C'mon, you're single! Have somehormones!","Excitement, Anticipation, Frustration"
"I don't want to be single, okay? I just... Ijust- I just wanna be married again!","Sadness, Frustration, Longing"
And I just want a million dollars! (Heextends his hand hopefully.),"Happiness, Excitement, Optimism"
Rachel?!,"Surprise, Excitement, Anticipation"
"Oh God Monica hi! Thank God! I just went toyour building and you weren't there and then this guy with a big hammer said you might behere and you are, you are!",Excitement
Can I get you some coffee?,"Contentment, Neutral, Anticipation"
"(pointing at Rachel) De-caff. (to All) Okay,everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody,this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?","Happiness, Contentment, Nostalgia"
"Hi, sure!","Happiness, Confidence, Excitement"
Hi.,"Contentment, Neutral, Nostalgia"
"So you wanna tell us now, or are we waitingfor four wet bridesmaids?","Confidence, Anticipation, Frustration"
"Oh God... well, it started about a half hourbefore the wedding. I was in the room where we were keeping all the presents, and I waslooking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden-(to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turnedon by this gravy boat than by Barry! And then I got really freaked out, and that's when ithit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew lookedfamiliar, but... Anyway, I just had to get out of there, and I started wondering 'Why am Idoing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know whereto go, and I know that you and I have kinda drifted apart, but you're the only person Iknew who lived here in the city.","Fear, Confusion, Frustration"
