Dialogue,Emotions
"(looking out the window) Oh hey, you guys, look! Ugly Naked Guy isputting stuff in boxes!","Surprise, Excitement, Anticipation"
I'd say from the looks of it; our naked buddy is moving.,"Surprise, Excitement"
"Ironically, most of the boxes seem to be labeled clothes.","Neutral, Surprise, Confusion"
"Ohh, I'm gonna miss that big old squishy butt.","Sadness, Love, Nostalgia"
And we're done with the chicken fried rice.,Contentment
"Hey! Hey! If he's moving, maybe I should try to get his place!","Confidence, Excitement, Anticipation"
Good idea! Yes!,"Happiness, Excitement, Optimism"
It would be so cool to live across from you guys!,"Happiness, Excitement, Optimism"
"Hey, yeah! Then we could do that telephone thing! Y'know, you have a can,we have a can and it's connected by a string!","Excitement, Anticipation, Optimism"
Or we can do the,"Neutral, Confusion"
Oh my God! I love this apartment! Isn't it perfect?! I can't believe Inever realized how great it is!,"Happiness, Surprise, Excitement"
Well that is because your eye immediately goes to the big naked man.,"Surprise, Disgust, Confusion"
It's amazing! You better hurry up and fill out an application or I'mgonna beat you to it.,"Confidence, Excitement, Anticipation"
(laughing) Ohh. (Phoebe takes a couple of steps to the door and Rossquickly hurries out.),"Happiness, Surprise, Excitement"
"Well, I never thought I'd say this, but I'm gonna go use Ugly NakedGuy's bathroom. (Does so.)","Neutral, Surprise, Disgust"
"(looking out the window) Oh, look! There's Monica and Chandler! (Startsyelling.) Hey! Hey, you guys! Hey! (Chandler and Monica start taking each other's clothesoff.) Ohh!! Ohh! Ahh-ahhh!!","Surprise, Excitement, Anticipation"
What?!,"Surprise, Confusion, Frustration"
(screaming) Ahhh!! Chandler and Monica!! Chandler and Monica!!,"Fear, Surprise, Excitement"
Oh my God!,"Fear, Surprise, Excitement"
,"Neutral, Confusion, Frustration"
OH MY GOD!!!,"Fear, Surprise, Excitement"
,"Neutral, Confusion, Frustration"
Phoebe!! Phoebe!! It's okay!! It's okay!!,"Happiness, Love"
,"Neutral, Confusion, Frustration"
I KNOW!! I KNOW!! I KNOW!,"Confidence, Excitement, Frustration"
YOU KNOW?!!!,"Anger, Excitement, Frustration"
"Yes, I know! And Joey knows! But Ross doesn't know so you have to stopscreaming!!","Anger, Confusion, Frustration"
(entering) What's going on?,"Neutral, Anticipation, Confusion"
(trying to divert his attention from the window by jumping up and down)HI!! Hi!,"Excitement, Anticipation, Frustration"
What?! What?!,"Anger, Surprise, Confusion"
"Nothing! Oh God, we're just so excited that you want to get thisapartment!","Happiness, Excitement, Optimism"
"Actually, it looks really good. (Turns towards the window and now Phoebestarts jumping to divert his attention.)","Excitement, Anticipation, Confusion"
(Screaming incoherently.) Get in here!!! (Motions to join her andRachel.),"Anger, Fear, Excitement"
You mean whenever Monica and Chandler where like y'know doing laundry orgoing grocery shopping or—Oh! All that time Monica spent on the phone with sad Lindafrom camp!,"Excitement, Nostalgia, Frustration"
"Uh-huh, doing it. Doing it. Phone doing it.","Confidence, Neutral, Frustration"
"Oh! Oh, I can't believe it! I mean I think it's great! For him. Shemight be able to do better.","Surprise, Excitement, Optimism"
(entering) Hey guys!,"Happiness, Confidence, Excitement"
Joey! Come here! Come here!,"Happiness, Excitement, Anticipation"
What? What?,"Surprise, Confusion, Frustration"
Phoebe just found out about Monica and Chandler.,"Surprise, Excitement, Anticipation"
You mean how they're friends and nothing more? (Glares at Rachel.),"Anger, Disgust, Frustration"
"No. Joey, she","Neutral, Confusion, Frustration"
"Okay, so now they know that you know and they don't know that Rachelknows?","Anticipation, Confusion, Frustration"
"Yes, but y'know what? It doesn't matter who knows what. Now, enough of usknow that we can just tell them that we know! Then all the lying and the secrets wouldfinally be over!","Confidence, Excitement, Optimism"
"Or, we could",Neutral
Wh-what do you mean?,"Fear, Surprise, Confusion"
Well y'know every time that they say that like they're doing laundrywe'll just give them a bunch of laundry to do.,"Confidence, Frustration, Optimism"
"Ohhh, I-I would enjoy that!","Happiness, Excitement, Anticipation"
"No-no-no! No-no wait Rach, you know what would even be more fun? Tellingthem.","Excitement, Anticipation, Frustration"
"Ehhh, no, I wanna do Phoebe's thing.","Contentment, Frustration, Longing"
I can't take any…,"Sadness, Disgust, Frustration"
No! You don't have to do anything! Just don't tell them that we know!,"Fear, Confusion, Frustration"
Noo! I can't take any more secrets! (To Rachel) I've got your secrets.I've got their secrets. I got secrets of my own y'know!,"Sadness, Fear, Frustration"
You don't have any secrets!,"Confidence, Disgust, Frustration"
"Oh yeah? Well, you don't know about Hugsy, my bedtime penguin pal. (Joeyshies away.)","Confidence, Excitement, Frustration"
"(To Phoebe) So umm, how-how are we gonna mess with them?","Neutral, Excitement, Anticipation"
Ugh.,"Neutral, Disgust, Frustration"
"Well, you could use your position y'know as the roommate.","Contentment, Confidence, Optimism"
Okay.,Neutral
And then. I would use y'know the strongest tool at my disposal. Mysexuality.,"Confidence, Excitement, Optimism"
(entering) Hello children!,"Happiness, Confidence, Excitement"
Hey!,"Happiness, Surprise, Excitement"
"Okay, watch, learn, and don't eat my cookie.","Confidence, Frustration, Optimism"
Hey.,"Neutral, Anticipation, Confusion"
"Hey! Ooh, wow that jacket looks great on you!","Happiness, Surprise, Excitement"
Really?,"Surprise, Confusion"
(feels his arm) Yeah the material feels so soft—hello Mr. Bicep!Have you been working out?,"Happiness, Confidence, Excitement"
"Well, I try to y'know, squeeze things. (Phoebe gigglesuncontrollably.) Are you okay?","Happiness, Excitement, Confusion"
"Well, if you really wanna know, I'm—Oh! I can't tell you this.","Surprise, Confusion, Frustration"
"Phoebe, it's me. You can tell me anything.","Confidence, Love"
Well actually you're the one person I can't tell this too. And the oneperson I want to the most.,"Sadness, Frustration, Longing"
What's going on?,"Neutral, Surprise, Confusion"
"I think it's just y'know that I haven't been with a guy in so long andhow sometimes you're looking for something and you just don’t even see that it'sright there in front of you sipping coffee—Oh no, have I said to much? Well it's justsomething to think about. I know I will.","Confusion, Longing, Optimism"
You are so cute! How did you get to be so cute?,"Happiness, Love, Excitement"
"Well, my Grandfather was Swedish and my Grandmother was actually atiny little bunny.","Contentment, Surprise, Nostalgia"
"Okay, now you're even cuter!!","Happiness, Love, Excitement"
Y'know that is a popular opinion today I must say.,"Contentment, Confidence, Neutral"
What?,"Surprise, Confusion, Frustration"
"The weirdest thing happened at the coffee house, I think, I thinkPhoebe was hitting on me.","Surprise, Excitement, Confusion"
What are you talking about?,"Surprise, Confusion, Frustration"
I'm telling you I think Phoebe thinks I'm foxy.,"Confidence, Excitement, Optimism"
That's not possible!,"Surprise, Confusion, Frustration"
Ow!,"Surprise, Frustration"
"I'm sorry it's just, Phoebe just always thought you were, you werecharming in a, in a sexless kind of way.","Neutral, Confusion, Frustration"
"Oh, y'know I-I can't hear that enough.","Happiness, Contentment, Confidence"
"I'm sorry, I think that you just misunderstood her.","Neutral, Confusion, Frustration"
"No, I didn't misunderstand, okay? She was all over me! She touched mybicep for crying out loud!","Anger, Confusion, Frustration"
This bicep?,"Confidence, Excitement, Optimism"
Well it's not flexed right now!,"Disgust, Confusion, Frustration"
"Hey Mon, what are you doing now? Wanna come see a movie with us?","Happiness, Contentment, Excitement"
"Uhh, y'know actually I was gonna do some laundry.","Contentment, Neutral, Frustration"
Oh.,"Neutral, Surprise, Confusion"
"Hey Chandler, wanna do it with me?",Excitement
"Sure, I'll do it with ya.","Happiness, Contentment, Confidence"
Okay.,Neutral
"Okay great, hold on a sec! (She runs to her room and returns carrying ahuge bag of laundry.) Oh, here you go! You don't mind do ya? That would really help me outa lot! Thanks!","Happiness, Excitement"
I mean I-I don't I think I have enough quarters.,"Neutral, Confusion, Frustration"
I have quarters! (She holds up a bag of quarters.),"Happiness, Confidence, Excitement"
(entering) Hey!,"Happiness, Surprise, Excitement"
Hey Ross! Any word on the apartment yet?,"Excitement, Anticipation, Optimism"
"Well, I called over there and it turns out Ugly Naked Guy is subletting ithimself and he's already had like a hundred applicants.","Surprise, Excitement, Frustration"
Oh.,"Neutral, Surprise, Confusion"
"No-no, I got the edge. I know it's not exactly ethical but I sent him alittle bribe to","Confidence, Excitement"
"Oh, is it that pinball machine with the big bow on it?","Excitement, Anticipation"
No.,"Neutral, Disgust, Frustration"
That new mountain bike?,"Happiness, Excitement, Anticipation"
No.,"Neutral, Confusion, Frustration"
Well what did you send?,"Neutral, Confusion, Frustration"
A basket of mini-muffins.,"Happiness, Excitement, Anticipation"
But there's a whole table of mini-muffin baskets. Which one did yousend?,"Neutral, Confusion, Frustration"
The small one.,Neutral
What?! You-you actually thought that basket was gonna get you theapartment?,"Surprise, Disgust, Frustration"
Well yeah! Someone sent us a basket at work once and people went crazyover those little muffins. It was the best day.,"Happiness, Love, Excitement"
Your work makes me sad.,"Sadness, Disgust, Frustration"
Oh man! I want that place so much!! I was so sure that was gonna work!There's twelve bucks I'll never see again! (Exits.),"Sadness, Frustration"
"All right honey, we'd better go if we wanna catch that movie.","Excitement, Anticipation, Optimism"
Bye!,"Happiness, Contentment, Excitement"
Bye!,"Happiness, Contentment, Confidence"
Bye Chandler! (She walks up to him.) (Quietly.) I miss you already. (Shepinches his butt.),"Love, Excitement, Longing"
"(after they've left) Okay, did you see that?! With the inappropriateand the pinching!!","Anger, Surprise, Disgust"
"Actually, I did!","Confidence, Excitement, Optimism"
"Okay, so now do you believe that she's attracted to me?","Excitement, Anticipation, Optimism"
"Ohhh, oh my God! Oh my God! She knows about us!","Fear, Surprise"
Are you serious?,"Surprise, Confusion, Frustration"
Phoebe knows and she's just trying to freak us out! That's the onlyexplanation for it!,"Anger, Fear, Frustration"
(a little hurt) Okay but what about y'know my pinchable butt and mybulging biceps—She knows!,"Confusion, Frustration"
(entering) Joey!,"Happiness, Love, Excitement"
Yeah?,"Confidence, Neutral"
Phoebe knows about us!,"Fear, Surprise, Frustration"
Well,"Neutral, Confusion, Frustration"
Them?! Who's them?,"Surprise, Confusion, Frustration"
"Uhhh, Phoebe and Joey.","Neutral, Confusion, Frustration"
Joey!,"Happiness, Surprise, Excitement"
And Rachel. I would've told you but they made me promise not to tell!,"Surprise, Confusion, Frustration"
Oh man!,"Surprise, Excitement, Optimism"
"I'm sorry! But hey, it's over now, right? Because you can tell them thatyou know they know and","Confidence, Optimism"
Unless…,"Anticipation, Confusion"
No! Not unless! Look this must end now!,"Anger, Confusion, Frustration"
"Oh man, they think they are so","Confidence, Disgust, Frustration"
"Ahh yes, the messers become the messies!","Happiness, Excitement, Optimism"
Noooo.,"Sadness, Disgust, Frustration"
"Oh Ross, honey you gotta stop torturing yourself!",Love
"Yeah, why don't you just find another apartment?","Neutral, Frustration"
Look I've already looked at like a thousand apartments this month and noneof them even compares to that one!,"Excitement, Frustration, Longing"
Y'know what you should do?,"Confidence, Excitement, Anticipation"
Huh?,"Surprise, Confusion, Frustration"
"You should find out what his hobbies are and then use that to bond withhim. Yeah! Like if I would strike up a conversation about say umm, sandwiches. Or uh, ormy underwear.","Excitement, Anticipation, Confusion"
I'm listening.,"Contentment, Confidence, Neutral"
(To Ross) See?,"Happiness, Confidence, Excitement"
That is a great idea! And! I know Ugly Naked Guy because we've beenwatching him for like five years so,"Contentment, Excitement, Nostalgia"
He broke that.,"Anger, Disgust, Frustration"
