Dialogue,Emotions
"Do you think that there’s a town in Missouri or some place calledSample? And ah, as you’re driving into town there’s-there’s like a sign,and it says “You’re in Sample.” (He says it like urine sample.)","Surprise, Confusion"
(entering) Hey.,"Neutral, Surprise, Confusion"
Hey!,"Happiness, Surprise, Excitement"
How’d it go with Pete?!,"Excitement, Anticipation, Optimism"
Tell us!,"Excitement, Anticipation"
"You’re not gonna believe this. Okay, so I go over...","Surprise, Excitement, Anticipation"
"I’m sorry. Ex-excuse us. I’m sorry, it’s a littlecrowded. Do you mind if we... (motions to the couch)",Neutral
"Yeah, could you scooch?","Contentment, Neutral, Frustration"
"Yeah, move over just a little bit.","Contentment, Neutral, Frustration"
Keep on scooching.,"Confidence, Excitement, Optimism"
"So guys, listen, I go over there, and umm...","Excitement, Confusion, Frustration"
Why? Why?! What’s wrong with me?!,"Sadness, Confusion, Frustration"
What’s the matter?,Neutral
"I have a feelin’... I, my wife is sleeping with her gynaecologist.","Sadness, Anger, Surprise"
How do you know?,"Confidence, Surprise, Confusion"
"Well y'know, he’s got access.","Confidence, Neutral, Excitement"
Yeah.,"Contentment, Neutral"
"Y'know it’s that feeling you get, y'know?","Happiness, Excitement, Anticipation"
Like when you go bowling and you know you’re in somebody else’sshoes?,"Contentment, Excitement, Anticipation"
That’s the one.,"Contentment, Confidence"
"All right, so, so you went to Pete’s...","Neutral, Confusion, Frustration"
What happened?,"Neutral, Anticipation, Confusion"
(Robin is speaking loudly again) I...,"Anger, Confusion, Frustration"
"Why is this happening to me?! I don’t know, maybe it’s mywound.","Sadness, Confusion, Frustration"
Forget it. (they all turn and listen to Billy and Robin),"Confidence, Excitement, Anticipation"
So it’s-it’s not heeled yet?,"Neutral, Confusion, Frustration"
"No-no, it’s ooozing, oozing. (to Rachel) Could you pass me thecream? Is there any—Oh, there’s the cream.","Excitement, Anticipation, Frustration"
"Thomas, this is gonna be hard, but I wanted it to come from me, andnobody else.",Sadness
"What is it, Tim?","Neutral, Anticipation, Confusion"
"It’s me, I’ve been sleeping with your wife.","Sadness, Anger, Surprise"
(to Billy) So you’re the gynaecologist?,"Surprise, Anticipation, Confusion"
"(to Joey) Hey, I’m trying to have a private conversation! Is thatokay?!","Anger, Disgust, Frustration"
"(starting to cry) Ooh, (to Rachel) Can I have a napkin, please? Could youplease hand me a napkin? (Rachel tries to grab one, but is to slow for his tastes.) Wouldyou--Give me this thing (grabs the napkin holder from her.) all right!! Enough! (to Billy)And you are no longer my friend! We are finished! (gets up to leave) Nada!! No more! Youare a","Sadness, Anger, Frustration"
"Thomas, come back here! (they both leave)","Anger, Confusion, Frustration"
"So Monica, what were you gonna tell us?","Excitement, Anticipation"
(pause) I have no idea.,"Neutral, Confusion, Frustration"
"So, come on, what was the big news Pete wanted to tell you Mon?! Orshould I say Mrs. Monica Becker?","Excitement, Anticipation, Confusion"
"No-no-no oh, keep your name, don’t take his name.","Sadness, Anger, Frustration"
He didn’t ask me to marry him.,"Neutral, Sadness"
Ohh.,"Neutral, Surprise, Confusion"
Well then,"Contentment, Confidence, Neutral"
He wanted to tell me he’s gonna compete is some ultimate fightingcompetition thingy.,"Excitement, Anticipation, Optimism"
Pete?!,"Happiness, Surprise, Excitement"
Why?! What is it?,"Surprise, Confusion, Frustration"
I don’t know exactly. It’s-it’s sorta like wrestling.,"Confusion, Frustration"
(intrigued) Oh?!,"Surprise, Excitement"
"Yeah, but without the costumes.","Neutral, Disgust, Frustration"
(disappointed) Oh.,"Neutral, Sadness"
"And it’s not fake, it’s totally brutal.","Confidence, Excitement, Optimism"
