Dialogue,Emotions
"Ohhh, man!!","Surprise, Excitement, Anticipation"
(coming in from his bedroom) What is that?,"Surprise, Confusion"
Treeger’s snaking the shower drain.,"Neutral, Disgust, Frustration"
What in the name of hell?,"Anger, Surprise, Confusion"
Maybe he found you flip-flop.,"Confidence, Confusion, Frustration"
Hey!,"Happiness, Excitement, Optimism"
Whoa! Is this porn? What did I do? I must’ve hit something on theremote.,"Surprise, Confusion, Frustration"
Do we pay for this?,"Neutral, Confusion, Frustration"
"No, we didn’t even pay our cable bill—maybe this is how theypunish us.","Sadness, Fear, Frustration"
Maybe we shouldn’t pay our phone bill—free phone sex.,"Happiness, Disgust, Excitement"
Maybe we shouldn’t pay our gas bill? (Stops and thinks about what hejust said.),"Fear, Confusion, Frustration"
"(coming in from the bathroom) Whoa, hey, that lady’s all kindsof naked.","Surprise, Disgust, Excitement"
"Yeah, Joey just pressed something on the remote and it just, came on!","Confidence, Surprise, Excitement"
"Yeah, it happened to me once. I was just flipping through thechannels and bam! It was like finding money.","Happiness, Surprise, Excitement"
Like finding money with naked people on it!,"Happiness, Excitement"
"Then I made the mistake of turning off the TV, I never got it backagain. And I’m sad. (Exits.)","Sadness, Frustration, Longing"
(to Chandler) Why would he turn off the TV? (Chandler shrugs.),"Neutral, Confusion, Frustration"
"All right, y’know what, come on, do we really have to watch thiswhile we eat? (She makes a move for the remote.)","Neutral, Disgust, Frustration"
We don’t know what could make this go away.,"Sadness, Confusion, Frustration"
"Yeah, so no one touches the remote. And no one touches the TV!","Anger, Confusion, Frustration"
And no one touches the,"Neutral, Confusion, Frustration"
"Imagine a protective porn bubble if you will, okay?",Excitement
"Well at least, I’m going to mute it.","Neutral, Frustration, Optimism"
We still have porn.,"Contentment, Neutral, Frustration"
Hey.,Neutral
"(entering, carrying her massage table) Hi!","Happiness, Confidence, Excitement"
Hi!,"Happiness, Excitement, Optimism"
"Honey, what are you doing? That’s too heavy.",Neutral
Yeah.,"Contentment, Confidence, Neutral"
"Give it here. (She takes the table.) Oh, God. (And gives it to Monicaright away.)","Neutral, Surprise, Frustration"
Okay.,"Contentment, Confidence, Neutral"
"Ohh, I’m getting too pregnant for this, lugging around a stupidmassage table. Y’know, I have to find a job where I carrying a smaller table. (Shegoes over and stands in front of the TV.)","Disgust, Frustration"
Or a job where you don’t have to carry a table.,Neutral
You mean like a doctor?,"Neutral, Confusion, Frustration"
Pheebs! You’re blocking the porn! Look out!,Surprise
"Ohh! (She moves.) Oh my. Oh, that reminds me, I have to see my OB-GYNtoday.","Surprise, Excitement, Anticipation"
Hi.,"Contentment, Neutral, Optimism"
Hi.,Neutral
"So uh, Emily just went to the airport.","Neutral, Anticipation, Confusion"
Oh. Why didn’t you take her?,"Neutral, Sadness, Frustration"
"Eh, her-her uncle already had planned on doing it. And y’know, we-wesaid our good-byes this morning, so…","Contentment, Neutral, Longing"
You must feel horrible. Hey! The guys have free porn!,"Neutral, Surprise, Disgust"
(Thinks about it.) Nah.,"Neutral, Confusion, Frustration"
"Hey, cheer up! You’re gonna see her again, right?","Happiness, Confidence, Optimism"
"Well I, that’s the thing, I don’t know! I mean, whenever Ibrought it up with her she said, (In a British accent.) This is so fantastic! Why dowe have to talk about the future? Let’s just enjoy…""""","Happiness, Contentment, Optimism"
"(interrupting him) No-no-no, don’t-don’t do the accent.You’ve","Disgust, Frustration"
And why do you care so much?,"Confusion, Frustration"
Because! You could get to live out my fantasy!,"Excitement, Anticipation, Optimism"
You had fantasies about Emily?,"Surprise, Confusion, Frustration"
"No! Y’know,","Anger, Confusion, Frustration"
Is that why in junior high you were the only one that hung out with thatUkrainian kid?,"Confusion, Frustration"
"Yeah that, plus his mom used to put sour cream on everything!","Surprise, Disgust, Nostalgia"
Ahh.,Neutral
Do you love her?,"Love, Confusion, Longing"
"We said it was only going to be two weeks, y’know?",Neutral
You love her!,"Happiness, Love, Excitement"
What-what is love really?,"Nostalgia, Confusion"
"Ohhh, I","Happiness, Excitement, Anticipation"
I am a good kisser.,"Confidence, Love, Excitement"
"Then you two can, can sneak into the cockpit, and things will start toheat up, and then a stewardess comes in… (Ross looks at her.) I’ve been watchingtoo much porn.","Surprise, Excitement"
Is that the heartbeat?,"Surprise, Excitement, Anticipation"
That’s it.,"Contentment, Neutral"
Oh my God!,"Fear, Surprise, Excitement"
Oh wow! This is so cool.,"Happiness, Surprise, Excitement"
Have we talked about the possibility of multiple births?,"Surprise, Excitement, Anticipation"
"Why don’t take care of this one, and should I get pregnant again,I’ll hold onto your card, okay?","Confidence, Neutral, Anticipation"
"No, I’m getting three separate heartbeats.","Confidence, Surprise, Excitement"
Three? You guys were worried I wouldn’t even have one!,"Confidence, Surprise, Excitement"
Doctors are wrong all the time.,"Neutral, Disgust, Frustration"
"Well, yeah.","Contentment, Confidence, Neutral"
"Well, so, are-are you sure that there are three?!","Confusion, Frustration"
Definitely. (Points out each head on the ultrasound.),"Happiness, Love, Excitement"
Oh my God! Oh my God! Oh my God!! So I-I mean so in a few monthsI’m going to have three full grown babies just walkin’ around inside me?! Oh!Oh! And it’s gonna be one of those log rides where they just come shooting out!,"Surprise, Excitement, Anticipation"
"Actually, giving birth to three babies isn’t that differentfrom giving birth to one.","Confidence, Neutral, Frustration"
What do you know?!,"Anger, Surprise, Frustration"
"(entering) Oh-oh, Phoebe!","Fear, Surprise, Excitement"
Ooh! Hi!,"Happiness, Surprise, Excitement"
"Hi! (She runs over and hugs Phoebe’s stomach.) So, how did it go atthe doctors?","Happiness, Love, Excitement"
"Oh well, okay, hey, y’know how when you’re umm, you’rewalking down the street and you see three people in a row, and you say, Oh","Neutral, Confusion, Frustration"
Yes.,"Contentment, Confidence, Neutral"
"Okay, yeah well, good news, you’re going to have three babies.","Happiness, Surprise, Excitement"
Three babies?,"Surprise, Excitement, Confusion"
I finally got my band!,"Happiness, Excitement, Optimism"
"We’re gonna have a big family, I’ve always wanted a big family!","Happiness, Excitement, Optimism"
"Oh God, I’m so glad you guys are happy, I was so afraid you weregoing to be all freaked.",Fear
Why would we be freaked?,"Confidence, Neutral, Frustration"
"No, no maybe ‘cause it’s harder to raise them, and the addedexpense, and…","Neutral, Confusion, Frustration"
(They’re less than happy now) Oh.,"Sadness, Disgust"
Right.,"Neutral, Confusion, Frustration"
