Dialogue,Emotions
"The reactor’s gonna blow in three seconds, we’re never gonnamake it!",Fear
You’ve got to get out of here! Save yourself!,Fear
No! I won’t leave you!,"Sadness, Love"
"Don’t worry about me, I’m a robot! I’m just a machine!!","Confidence, Neutral, Frustration"
No you’re not! Not to me!,"Sadness, Anger, Frustration"
(she stops reading from the script) Oh my God.,"Fear, Surprise, Disgust"
What?,"Surprise, Confusion, Frustration"
I am,"Happiness, Contentment, Confidence"
"Yeah, you’re great! Okay, let’s take it from…","Happiness, Confidence, Excitement"
"(interrupting) No, I mean I was really acting my ass off.","Confidence, Excitement, Frustration"
"Yeah, I thought I was pretty good too.","Contentment, Confidence, Optimism"
"Oh yeah, you’re solid. Yeah, you’re just no me.","Confidence, Disgust, Frustration"
Y’know what? I think that’s enough for now. Yeah. I don’twant to be over rehearsed.,"Contentment, Neutral, Optimism"
(tremendously overacting) Fine! I’ll do it without you! (Joey givesher thumbs up) I don’t need you or anybody else! I’m gonna make it on my own!(Joey closes the door to his bedroom.) You’ll see!! You’ll,"Confidence, Anger, Optimism"
"(To Joey) So uh, what’s this thing you’re auditioning for?",Neutral
"Oh, it’s a new TV show. Yeah. I’m up for the part of MacMacaveli or Mac."" Yeah","Confidence, Excitement, Anticipation"
So Mac and C.H.E.E.S.E.,"Confidence, Excitement, Anticipation"
That’s the title! Yeah! Y’know they really lucked out that theinitials spell cheese.,"Happiness, Surprise, Excitement"
That is lucky.,"Happiness, Contentment, Optimism"
"Huh—Wait so Joey if you get this, you’re gonna be like thestar of your own TV show! I mean you’ll be like the Big Cheese! (To Phoebe) Or theBig Mac—Hey! You","Confidence, Surprise, Excitement"
"Well, don’t get your hopes up, because probably not gonna happen.",Neutral
"Now-now, why would you say that Joseph?","Neutral, Confusion, Frustration"
I mean come on you guys! My own TV show? I just don’t know ifI’m good enough.,"Confidence, Excitement, Frustration"
I am.,"Contentment, Confidence, Neutral"
"Joey, what are you talking about? You’re a terrific actor.","Happiness, Confidence, Optimism"
You really think so?,"Confidence, Excitement, Optimism"
"Ugh, how can you even ask that question?!","Anger, Disgust, Frustration"
"Whoa, she's pretty. (Mentioning the girl on TV)","Happiness, Surprise, Excitement"
"Yeah, and oh she's really nice too. She taught me all about how towork the cameras, and smell-the-fart acting.","Happiness, Confidence, Excitement"
"I'm sorry, what?","Surprise, Confusion, Frustration"
What?,"Surprise, Confusion, Frustration"
Excuse me?,"Surprise, Confusion, Frustration"
