Dialogue,Emotions
Joey? Are you in there?,"Neutral, Fear, Anticipation"
(hearing Rachel and jumping up with his plate) Oh God! That’s Rachel!,"Fear, Surprise, Excitement"
"Joey, you","Neutral, Confusion, Frustration"
"No-no, I can’t! I can’t! Not after the other night, it’sjust it’s…too weird, okay? Don’t tell her I’m here! (Turns to run tothe bathroom and his bagel falls off the plate onto the floor.) Don’t eat that! (Runsto the bathroom as Rachel enters.)","Fear, Confusion, Frustration"
Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
Hey Rachel!,"Happiness, Excitement, Anticipation"
Is Joey here?,"Neutral, Anticipation, Confusion"
I don’t see him. (To Monica) Do you see him?,Neutral
I don’t see him. Hey! Maybe he’s in the sugar bowl! (Opens thesugar bowl) Joey? Nope! (Closes the sugar bowl and they both laugh.),"Happiness, Surprise, Excitement"
"Well, at least you make each other laugh.","Happiness, Contentment, Love"
What’s up?,"Happiness, Neutral, Excitement"
"Well, I haven’t seen him since that night that he told me how hey’know… I don’t know, I think he’s avoiding me. Why is that bagel onthe floor?","Confusion, Frustration, Longing"
We were playing a game.,"Happiness, Contentment, Excitement"
"Ew, was Chandler naked? Sort of like a, like a ring toss kind ofsituation?","Surprise, Disgust, Confusion"
Sure.,"Contentment, Confidence, Neutral"
What?! No! No!,"Fear, Surprise, Frustration"
"All right. Well listen, if you see Joey will you just tell himuh…tell him I miss him. (Exits and Joey enters.)","Sadness, Nostalgia, Longing"
"(To Joey) Okay, did you hear that?","Confidence, Surprise, Excitement"
"Yeah, a naked bagel game? (Picks up his dropped bagel.) (To Chandler)Dude, I don’t know. That’s a pretty small hole.",Confusion
"Honey, you gotta talk to her.","Contentment, Confidence, Love"
I can’t! Y’know? You guys don’t know what it’s like toput yourself out there like that and just get shot down.,"Sadness, Fear, Frustration"
"(incredulous) I don’t know what that’s like?! Up until I was25 I thought the only response to, I love you","Surprise, Frustration"
"Hello? No rejection? I got shot down at fat camp! Boy, kids are meanwhen they’re hungry.","Sadness, Anger, Frustration"
"All right so, so what do I do?","Confusion, Frustration, Optimism"
"This is Rachel. I mean, what are you gonna do, never going to talk toher again? I mean I know it’s weird, it’s awkward, but you gotta at least try.","Confusion, Frustration, Optimism"
Yeah. Okay. (Goes to take a bite out of the previously mentioned bagel.)Whoa! (Stops.) I almost forgot this was on your…,"Surprise, Excitement"
(interrupting him) We didn’t play it!!,"Anger, Confusion, Frustration"
"Okay, so when you’re done with your tea I’ll look at yourleaves and tell you your fortune.","Happiness, Excitement, Anticipation"
I didn’t know you read tea leaves.,"Neutral, Surprise, Confusion"
"Oh yeah, I’ve done it for years. I actually stopped because I wasso accurate. Y’know, and-and y’know, one of the great joys of life isit’s-it’s wondrous unpredictability. Y’know? And also tea tends to give methe trots.","Confidence, Disgust, Excitement"
"Okay, I’m done. Read mine.","Confidence, Neutral, Frustration"
"Okay. (Looks at the leaves.) Ooh, I see a ladder. (Checks the book)Which can mean either a promotion or a violent death.","Excitement, Anticipation, Confusion"
(stunned) I-I’m the head chef. I-I can’t get promoted.,"Surprise, Confusion, Frustration"
"Uh-hmm. Uh-hmm, who’s next?","Confidence, Neutral, Anticipation"
"Okay, I’m done. Do mine.","Contentment, Neutral, Frustration"
"Okay. (Reads the leaves) Umm, oh! Okay, I see a circle.","Surprise, Excitement, Anticipation"
Ah.,"Contentment, Neutral, Confusion"
Oh! (Checking the book) Which can either mean you’re having a babyor you’re gonna make a scientific discovery!,"Surprise, Excitement, Anticipation"
"Well, I have been spending a lot of time in the lab.","Contentment, Excitement, Optimism"
What does yours say Pheebs?,"Excitement, Anticipation"
"Umm… Wow, all right. (Checks the book.) Wow! Yay! Ooh, I’mgonna meet a guy! And really soon! And he’s gonna be the man of my dreams. Probablynot the guy I had a dream about last night. (Points at Chandler.)","Confidence, Surprise, Excitement"
"(entering) Hey! Has anyone seen my shirt? It’s a button down, like a,like a faded salmon?",Neutral
You mean your pink shirt?,"Neutral, Surprise, Confusion"
Faded salmon color.,"Contentment, Neutral, Nostalgia"
"No, I-I haven’t seen your pink shirt.","Neutral, Confusion, Frustration"
Great! Great. Then I must’ve left it at Mona’s. I knew it!,"Happiness, Confidence"
"Well, I’m sure you get another one at","Confidence, Neutral, Frustration"
That’s my favorite shirt! Okay? I love that shirt!,"Happiness, Love, Excitement"
Well just ask Mona to give it back!,"Confidence, Frustration, Optimism"
"I don’t know. I mean I-I guess I could. It’s just that wedidn’t really end things such good terms. And if I go over there I’d be ignoringthe one thing she asked me to do when we broke up, jump up my own ass and die. (Walksaway.)","Sadness, Fear, Frustration"
"(noticing a guy sitting by the green post looking at her) Oh wait asecond you guys…for the last couple weeks I’ve been that guy everywhere I go. Wetake the same bus. We go to the same bookstore, the same dry cleaners; maybe he’s thetea guy. (He gets up to leave, and smiles at Phoebe.)","Surprise, Excitement, Nostalgia"
"Phoebe, did you see that?! He totally checked you out! He is so cute!(Looking at his tea.) Mine has a picture of","Happiness, Surprise, Excitement"
Hi!,"Happiness, Excitement, Optimism"
Hey.,Neutral
Hi.,"Contentment, Neutral"
Hi.,"Happiness, Contentment, Neutral"
Tea gives Phoebe the trots.,"Surprise, Disgust, Frustration"
"So I thought Joey and I would be okay once we hung out, but it’snot even like we know how to be with each other anymore.","Sadness, Confusion, Frustration"
"I know it’s tough now, but things will get better.","Sadness, Optimism"
"How do you know that? What if it just gets worse and worse and worse, tothe point where we can’t even be in the same room with each other?!","Sadness, Anger, Fear"
"I’m not great at the advice, can I interest you in a sarcasticcomment? Some cheese?",Unknown
"Honey, what is the Bruce Springsteen CD in the Kat Stevens case?","Neutral, Confusion, Frustration"
Let’s just say if I can’t find the right CD case I just putit in the nearest one.,"Neutral, Frustration"
"Okay, where is the Kat Stevens CD?","Confusion, Frustration, Optimism"
In the James Taylor case.,"Neutral, Confusion, Frustration"
Where is the James Taylor CD?,"Neutral, Frustration, Longing"
"Honey, I’m gonna save you some time, 200 CDs, not one of them inthe right case.","Confusion, Frustration, Optimism"
"Okay. No need to panic. Deep breathes everyone. Okay umm uh, we’rejust gonna have to spend some time and put the CDs in the right cases.","Neutral, Confusion, Frustration"
"Well, if we’re gonna do that we should come up with some kind oforder. Y’know alphabetically or by genre?","Contentment, Confidence, Neutral"
"Hmm, I don’t know. We really have to talk this through.","Neutral, Confusion, Frustration"
Oh my God!! You guys have such problems!! I feel so terrible for you!,Unknown
