Dialogue,Emotions
"Hey, you guys! Guess what? Barry and Mindy are getting a divorce!","Sadness, Surprise, Excitement"
Oh my God!,"Fear, Surprise, Excitement"
Wow!,"Surprise, Excitement, Optimism"
(To Ross),"Neutral, Surprise, Confusion"
No! Barry and Mindy.,"Surprise, Confusion, Frustration"
"Oh sorry, I hear divorce I immediately go to Ross. (To Rachel)Who-who’s Barry and Mindy?","Surprise, Nostalgia, Confusion"
Barry was the guy that I was almost married and Mindy was my bestfriend.,"Happiness, Anticipation, Nostalgia"
"Ohh-oh, wasn’t he cheating on you with her?","Sadness, Anger, Surprise"
"Yeah, but that just means that he was falling asleep on top of herinstead of me.","Sadness, Frustration"
Why did they get divorced?,"Sadness, Confusion, Frustration"
"Well, apparently she caught him cheating on her with someone else.Isn’t that sad? (Giggles.) God, could you imagine if I actually married him?! I meanhow different would my life be?","Sadness, Disgust"
"I know what you mean, I’ve always wondered how different my lifewould be if-if I’d never gotten divorced.",Nostalgia
Which time?,"Neutral, Anticipation, Confusion"
"The first time! No seriously, imagine if Carol hadn’t realized shewas a lesbian.","Happiness, Surprise, Excitement"
(starts to imagine it) I can’t. I keep seeing it the good way.,"Contentment, Excitement, Optimism"
"I’d bet I’d still be doing my kara-tay. (That’s karate,he’s just saying it that way.) Towards the end of our marriage I was doing a lot ofkara-tay as a way of releasing the tension from y’know, not doing anything elsephysical.","Confusion, Frustration, Longing"
Maybe the problem was you were pronouncing it kara-tay.,"Confidence, Confusion, Frustration"
"And what if I was still fat? (To Chandler) Well, you wouldn’t bedating me, that’s for sure.","Confidence, Excitement, Frustration"
Sure I would!,"Happiness, Confidence, Excitement"
(simultaneously) Oh yeah! Come on! Yeah right!,"Happiness, Confidence, Excitement"
"What, you guys really think that I’m that shallow?","Confidence, Surprise, Frustration"
"No, I just think Monica was that fat.","Sadness, Anger, Disgust"
"Hey, imagine if I never got fired off","Happiness, Excitement, Optimism"
What if I had had the guts to quit my job? I’d probably bewriting for the,Unknown
What if I had taken that job at,Unknown
What?!,"Surprise, Confusion, Frustration"
,Unknown
"Yeah, I had a massage client who worked there and-and he said I had aknack for stocks.","Confidence, Excitement, Optimism"
Well why didn’t you take the job?,"Anticipation, Confusion, Frustration"
"Because at that time you see, I thought everything that rhymed was true.So I thought y’know that if I’d work with stocks, I’d have to live in abox, and only eat lox, and have a pet fox.","Excitement, Confusion, Optimism"
"Hey, do you guys think that if all those things happened, we’d stillhang out?","Anticipation, Confusion, Frustration"
(recognizing her) Oh my God! Rachel Green?,"Surprise, Excitement, Nostalgia"
(gasps) Rob Tillman!,"Surprise, Excitement, Anticipation"
"No-no. It’s-it’s me, Ross!","Confidence, Surprise, Optimism"
"Oh, I’m sorry. Ross Tillman.",Neutral
"No, no-no, Ross Geller.","Confusion, Frustration, Longing"
"Ohh, of course Monica’s brother!","Surprise, Excitement"
Yeah. Right.,"Neutral, Confusion, Frustration"
Wow! How are you?!,"Happiness, Surprise, Excitement"
"Good-good, I’m-I’m married. (Shows her his ring.)","Happiness, Contentment, Confidence"
Ohh! Me too!,"Happiness, Surprise, Excitement"
Is-isn’t it the best?,"Happiness, Excitement, Optimism"
"Oh, it’s the best! (They both exhale contemplating the joys ofmarriage.) So, umm how’s Monica?","Happiness, Contentment, Love"
"Oh really, really great! Yeah! A-actually she’s right down thestreet, umm, do-do you know what? You should stop bye and say hi.","Confidence, Excitement, Anticipation"
