Dialogue,Emotions
So the wedding caterer sent me this list of twelve appetizers and I haveto narrow it down to six.,"Excitement, Anticipation, Frustration"
Food? Uh-huh gimme! (She hands him the paper.),"Happiness, Excitement, Anticipation"
So did Monica tell you about this great band called the Swing Kingsthat we’re trying to get to play at the wedding?,"Excitement, Anticipation, Optimism"
Since when are you into swing music?,"Surprise, Confusion"
Oh since forever! I used to go all over town listening to bands!,"Happiness, Excitement, Nostalgia"
Chandler.,"Neutral, Confusion, Frustration"
,"Neutral, Confusion, Frustration"
I will.,"Confidence, Neutral, Optimism"
Do you want me to call?,"Confidence, Excitement, Anticipation"
"No, I’ll do it. You just stick to your job.","Confidence, Frustration"
What is your job?,"Neutral, Anticipation"
Staying out of the way.,"Contentment, Confidence, Neutral"
"This is impossible Monica, why don’t you just pick all 15? (Handsback the paper.)","Confusion, Frustration, Optimism"
There were only twelve.,"Neutral, Nostalgia, Confusion"
"Oh yeah, I added three.","Happiness, Confidence, Excitement"
What are peanut butter fingers?!,"Surprise, Disgust, Confusion"
"Oh yeah… (He mimes sticking his fingers into a jar of peanut butter,scooping some out, and eating it off his fingers.)","Happiness, Contentment, Excitement"
"(noticing a beautiful woman moving in down the street) Well hello!She’s cute! Should we uh, go try to talk to her?","Excitement, Anticipation, Optimism"
Sure! That’s one of the great things about being engaged.I’m not nervous talking to pretty girls anymore.,"Contentment, Confidence, Excitement"
"Uh yeah! Let me, let me get that for you.","Happiness, Confidence, Excitement"
"(exhales) I got it. (He lifts the box and grunts under the strain.)(Calmly) So hi, I’m uh, I’m Ross and this is my friend Chandler. (He shylywaves.)","Confidence, Excitement"
"Kristen, hi. Are you uh, new to the area, ‘cause if youare…I’d love to show you around sometime.","Excitement, Anticipation, Optimism"
"I…I uh, actually just moved from four blocks over.",Neutral
Ah.,"Contentment, Neutral, Nostalgia"
But-but this block is like a whole other world.,"Excitement, Anticipation, Optimism"
"Y’know actually it does have a very interesting history. Uh, thisstreet is the first street in the city to have an underground sewer system. (Kristencrinkles her nose at that.) Before that sewage and waste would just flow right down thestreet. Yeah, sometimes ankle deep! (He stops when he realizes what he’s talkingabout.)","Surprise, Disgust, Nostalgia"
(To Ross) Smooth.,Confidence
(To Chandler) Excuse me? (Chandler does the shy thing again.),"Confusion, Frustration"
"Umm, say you’re gonna be starving after all this moving. What do yousay I take you to dinner tonight?","Happiness, Excitement, Anticipation"
Oh I’d like that.,"Happiness, Excitement, Anticipation"
Yeah?,"Confidence, Neutral, Surprise"
Yeah.,Neutral
"Great! Uh, let me take this up for you. (The box he’s holding.)","Happiness, Confidence, Excitement"
After you.,Neutral
"Oh no-no, after you. (She grabs a chair and heads upstairs.) (Whenshe’s gone.) Oh my God! (He drops the box and Chandler can’t pick it up.)","Fear, Surprise, Frustration"
(wearing a veil) Am I crazy or does this totally go?!,"Confidence, Surprise, Excitement"
Oh my God! You look so beautiful!,"Happiness, Surprise, Love"
"(To Rachel) Thank you Rachel but, look at Monica!","Surprise, Love, Excitement"
"This is it. Yeah, this is the one. I can’t believe I found it!","Happiness, Surprise, Excitement"
"Well I’m Monica Geller, ball like a baby.","Confidence, Excitement, Optimism"
Have you found your dress yet?,"Excitement, Anticipation, Optimism"
"Oh no, these dresses are all so amazing but there is no way I couldafford one.","Sadness, Frustration, Longing"
"No, I can’t afford this either. No. I-I-I’m, I’m just tofigure out which one I want then I’m gonna get it at Kleinman’s, this discountplace in Brooklyn, day after tomorrow they are having a huge sale.","Anticipation, Confusion, Frustration"
"Oh, thanks for the tip.","Happiness, Contentment"
Yeah! So-so when are you getting married?,Excitement
"Oh I’m not, I just like to try these on.","Confidence, Excitement, Anticipation"
I do the same thing.,"Contentment, Confidence, Neutral"
