Dialogue,Emotions
"Hey, remember when I had a monkey?","Happiness, Love, Nostalgia"
Yeah.,Neutral
"Yeah, what, what was I thinking?","Confusion, Frustration"
"(he’s just picked up their bill) Hey! So, what’s with the 20percent tip? Did I do something wrong?","Surprise, Confusion, Frustration"
Twenty percent is a pretty generous tip Joe.,"Happiness, Contentment, Confidence"
Y’know what’s more generous than that?! Fifty percent!Y’know what’s even more generous than that?!!,"Surprise, Excitement, Optimism"
I see where you’re goin’!,"Confidence, Excitement, Anticipation"
What’s up with the greed Joe?,"Disgust, Confusion, Frustration"
"All right, look I’m sorry you guys, but it’s just that I gottaget these new head shots made. And they’re really expensive, y’know? I’mdown to like three! Well, actually two ‘cause one of ‘em I kinda blackened insome teeth—Why did I do that?! (Hits himself in the head.)","Confusion, Frustration"
"Well isn’t there something you can do to earn a little extra money? Imean, can’t-can’t you pick up, I don’t know, an extra shift here?","Confusion, Frustration, Optimism"
"Or, y’know, I used to beg for money. Of course it helps ifyou’ve got y’know a little of this (she sticks her chest out and shakes it)goin’ on. Wow! I still have it!","Confidence, Surprise, Excitement"
"Oh, wait! Wait! Don’t you have an audition today? Yeah! Maybeyou’ll get that job!","Excitement, Anticipation, Optimism"
"Oh, ha-ha-ha! Ooh! Wait a minute, I used to get medical experiments downon me all the time!","Happiness, Surprise, Nostalgia"
"(reminiscing) Ah, finally an explanation.","Contentment, Nostalgia"
"No-no! I used to get paid for all kinds of medical stuff, remember?Let’s see uh, well I don’t want to donate sperm again. (To Ross) I really preferdoing that at the home office y’know? (Ross nods his head.) Ooh-ooh, maybe they wantlike some of my blood or-or spit or something, huh?","Happiness, Excitement, Confusion"
(approaching with a tray with an order on it) Joey!,"Happiness, Confidence, Excitement"
Yeah?,"Confidence, Neutral, Frustration"
What did I tell you about talking to your friends while you’reworking?,"Anger, Disgust, Frustration"
Uhh do it?,"Neutral, Confusion, Frustration"
"That guy (points) has been waiting for his coffee for ten minutes!He’s complained about you three times! (He hands the coffee cup to Joey, assumingthat Joey will deliver it and walks away.)","Confidence, Anger, Frustration"
"Well, where was I? (Takes a sip of the coffee.)","Contentment, Neutral, Confusion"
Hi!,"Happiness, Excitement, Optimism"
Hey!,"Happiness, Excitement, Anticipation"
"Hey, what have you guys been up to?","Happiness, Contentment, Excitement"
Ohh! We went to a self-defense class today!,"Confidence, Surprise, Excitement"
Wow!,"Surprise, Excitement, Anticipation"
