Dialogue,Emotions
Alright. Phoebe?,"Confidence, Neutral, Anticipation"
"Okay, okay. If I were omnipotent for a day,I would want, um, world peace, no more hunger, good things for the rain-forest...Andbigger boobs!","Excitement, Optimism"
"Yeah, see.. you took mine. Chandler, whatabout you?","Anger, Confusion, Frustration"
"Uh, if I were omnipotent for a day, I'd..make myself omnipotent forever.","Confidence, Excitement, Optimism"
"See, there's always one guy. (Mocking)If I had a wish",Frustration
"Hey Joey. Hi. Hey, buddy.","Happiness, Contentment, Excitement"
"Hey, Joey, what would you do if you wereomnipotent?","Excitement, Anticipation"
Probably kill myself!,"Sadness, Anger, Frustration"
..Excuse me?,"Surprise, Confusion, Frustration"
"Hey, if Little Joey's dead, then I got noreason to live!","Sadness, Anger"
"Joey, uh-","Neutral, Confusion, Frustration"
You,"Confidence, Frustration, Optimism"
How does she do that?,"Surprise, Anticipation, Confusion"
I cannot sleep in a public place.,Neutral
Would you look at her? She is so peaceful.,"Contentment, Love"
(waking and startling them) Oh! What whatwhat! ...Hi.,"Fear, Surprise, Confusion"
"It's okay, y'know, you just nodded off again.","Contentment, Neutral"
What's going on with you?,"Neutral, Confusion, Frustration"
I got no sleep last night!,"Sadness, Frustration"
Why?,"Neutral, Confusion, Frustration"
"My grandmother has this new boyfriend, andthey're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having toreassure each other that they're having a good time. You have no idea how loud they are!","Surprise, Disgust"
"Well, if you want, you can stay with Racheland me tonight.","Happiness, Contentment, Love"
Thanks.,Neutral
"...Ninety-five, ninety-six, ninety-seven. See,I told you! Less than a hundred steps from our place to here.","Happiness, Confidence, Excitement"
You got waaaay too much free time.,"Neutral, Disgust, Frustration"
"(to Ross) Hey! Here's the birthday boy! Ross,check it out: hockey tickets, Rangers-Penguins, tonight at the Garden, and we're takingyou.","Happiness, Excitement, Anticipation"
"Happy birthday, pal!","Happiness, Excitement, Optimism"
"We love you, man. (Kisses Ross)","Happiness, Love, Excitement"
"Funny, my birthday was seven months ago.","Neutral, Nostalgia, Confusion"
So?,Neutral
"So, I'm guessing you had an extra ticket andcouldn't decide which one of you got to bring a date?","Surprise, Confusion, Frustration"
"Well, aren't we Mr. The glass ishalf empty.""""",Frustration
"Oh my God, oh- is today the twentieth, Octobertwentieth?","Surprise, Excitement, Confusion"
"Oh, I was hoping you wouldn't remember.","Sadness, Fear, Surprise"
Ohhh.,"Surprise, Disgust, Confusion"
What's wrong with the twentieth?,"Confusion, Frustration, Longing"
Eleven days before Halloween.. all thegood costumes are gone?,"Anticipation, Frustration"
"Today's the day Carol and I first..consummated our physical relationship. (Joey is puzzled.) Sex. ..You know what, I-I'dbetter pass on the game. I think I'm just gonna go home and think about my ex-wife and herlesbian lover.","Sadness, Surprise, Confusion"
"The hell with hockey, let's all do that!","Confidence, Excitement"
"(trying to stop Ross leaving) C'mon, Ross!You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch himin the stomach.) Huh? Huh? Huh?",Excitement
What are you doing?,"Neutral, Surprise, Confusion"
(stops) I have no idea.,"Neutral, Confusion, Frustration"
"C'mon, Ross!","Happiness, Excitement, Optimism"
"Alright, alright, maybe it'll take my mind offit. Do you promise to buy me a big thumb finger?","Excitement, Anticipation, Frustration"
You got it.,"Happiness, Confidence, Excitement"
"Look-look-look-look-look, my first paycheck! Look at the window, there's my name! Hi, me!","Happiness, Confidence, Excitement"
"I remember the day I got my first pay check.There was a cave in in one of the mines, and eight people were killed.","Sadness, Fear, Nostalgia"
"Wow, you worked in a mine?",Surprise
