Dialogue,Emotions
"I’m glad you’re here, we have a couple of things to ask youabout the wedding ceremony.","Happiness, Excitement, Anticipation"
(starting to cry) Ohh…,"Sadness, Surprise, Disgust"
What’s the matter? You okay?,Neutral
"Yeah, it’s just y’know…","Neutral, Confusion, Frustration"
(To Ross) Monica said wedding.,"Neutral, Surprise, Confusion"
"Uh, so anyway, we thought one of you could read something during theceremony.","Neutral, Confusion, Frustration"
Oh! I would love to read a poem.,"Happiness, Excitement, Anticipation"
Do you think you could get through a poem?,"Confidence, Anticipation, Frustration"
(crying) It’ll be a short one.,"Sadness, Confusion, Frustration"
"Okay, so Ross will be doing the reading.","Contentment, Confidence, Neutral"
Ohhh…,"Surprise, Confusion"
"Okay. Yeah, I guess, I guess I could do that too.","Contentment, Neutral, Confusion"
Too?,"Neutral, Confusion, Frustration"
"Yeah, I kind of uh, have something else planned for you guys.","Confidence, Excitement, Anticipation"
Do you mind telling us what it is?,Neutral
"Sorry, I’m kinda keeping this one on the Q.T.","Neutral, Confusion"
"Well, whatever it is, I hope it involves winking. (Winks in a spy-typemanner.)","Excitement, Anticipation, Optimism"
"(entering, excited) Hey!","Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
"So I just talked to one of the DOOL writers today, and…","Confidence, Excitement, Anticipation"
What is DOOL?,"Anticipation, Confusion"
,"Neutral, Confusion, Frustration"
Oh!!,"Surprise, Excitement, Anticipation"
That’s great!,"Happiness, Excitement, Optimism"
"And-and-and not only that, I’m gettin’ a new brain!!","Happiness, Surprise, Excitement"
So great things are happening at work,"Happiness, Excitement, Optimism"
"Wait, what do you mean you’re getting a new brain?","Surprise, Confusion, Frustration"
"Oh well, they’re killing off one of the characters on the show, andwhen she dies her brain is being transplanted into my body.","Sadness, Surprise, Confusion"
What? A brain transplant?!,"Fear, Surprise, Confusion"
"(seriously) Yes, it’s a highly controversial procedure.","Neutral, Confusion"
It’s ridiculous!,"Anger, Frustration"
"Well, I think it’s ridiculous that you haven’t had sex in threeand a half months.","Neutral, Disgust, Frustration"
