Dialogue,Emotions
"Okay, now this one is rare, this one is medium well! Now go-go-go!(Phoebe enters) Hey Phoebe!","Happiness, Confidence, Excitement"
Hey!,"Happiness, Surprise, Excitement"
Hey how was dinner?!,"Happiness, Contentment, Excitement"
Dinner was good!,"Happiness, Contentment"
Okay!,"Happiness, Excitement, Optimism"
I’m just saying hi! Now I’m gonna go!,"Happiness, Contentment, Confidence"
Okay!,"Happiness, Contentment, Excitement"
"(To him) Oh, well hello there.","Happiness, Surprise, Excitement"
Hi.,"Contentment, Neutral, Nostalgia"
(To Monica) I didn’t see this on the menu.,"Neutral, Confusion, Frustration"
"Uh Tim? This is Phoebe. Phoebe this is Tim, my new sous chef.","Confidence, Excitement, Anticipation"
"Oh, so you're Monica’s boss?","Neutral, Surprise"
Actually she’s my-my boss. Sous is French for under.,"Neutral, Confusion, Frustration"
Oh! I sous stand.,"Surprise, Confusion, Frustration"
"Hey Tim? I need a calamari and a Caesar salad. And umm, could you get methe pesto?","Contentment, Neutral, Anticipation"
Yeah.,Neutral
Oh you…you made pesto?,"Happiness, Surprise"
Yes I did.,"Contentment, Confidence"
Would you say your pesto is the best-o?,"Confidence, Excitement, Optimism"
"I…I-I don’t know, but I would say it’s pretty good-o.(Phoebe laughs too hard.)","Happiness, Confusion"
"All right, I still need a calamari and a Caesar salad.","Contentment, Confidence, Neutral"
I like your necklace.,"Happiness, Contentment, Confidence"
I made it myself.,"Contentment, Confidence"
You are so talented.,"Happiness, Confidence, Love"
"Well, it’s no pesto.",Neutral
"All right, all right! Let’s just cut to the chase, okay? (ToPhoebe) You’re single. (To Tim) You’re single. (To Phoebe) He gets off work ateleven. (To Tim) She’ll be waiting for your call. (To Phoebe) I’ll give him yournumber if I can get one calamari and one Caesar salad!! (Everyone in the kitchen stops.) Idid not yell. I am","Confidence, Excitement, Frustration"
Wow Bing! Burning the midnight oil.,"Surprise, Excitement"
"You know me sir. Oh ah, I do have a question for ya. Do you know how Iget around the office computer network so I can access the really good Internet porn?","Confidence, Disgust, Frustration"
You’re a joker Bing. (Walks away.),"Neutral, Disgust, Frustration"
What’s funny about that?,"Neutral, Confusion, Frustration"
(running up) Hey! Sorry I kept you waiting so long.,"Happiness, Excitement, Anticipation"
"Hey that’s okay. So, where do you want to go?","Happiness, Contentment, Excitement"
"Oh ah, I think you know where I want to go.","Excitement, Anticipation, Longing"
The,Neutral
Yeah!,"Happiness, Excitement, Optimism"
Again?!,"Surprise, Frustration"
Yeah!!,"Happiness, Excitement, Optimism"
"I’m telling you, I like the food!","Happiness, Contentment, Confidence"
You like the,"Happiness, Contentment, Love"
Hey Toby! Have a good night. (Walks by.),"Contentment, Neutral, Optimism"
Did that guy just call you Toby?,"Surprise, Confusion, Frustration"
"Yeah, he thinks that’s my name.","Confidence, Neutral, Confusion"
"Well, why don’t you correct him?","Confidence, Frustration"
"Oh it’s been going on way to long now. Y’know, I mean thefirst time he said it we were just passing each other in the hallway, so I didn’t sayanything. And then the next time he said, Hey Toby","Confusion, Frustration, Longing"
Five years?! Chandler you have to tell him!,"Surprise, Confusion, Frustration"
"No! That would be so awkward! Look—Besides, we work in differentdepartments. He’s on the sixth floor y’know? So he calls me Toby once in awhile. What’s the big deal? It could be worse, it’s not like he’s callingme Muriel. (Chandler suddenly freezes into place.)","Neutral, Surprise, Frustration"
(laughs) Muriel. Wh-why would he call you Muriel? (Ross realizessomething.) Oh my God! Chandler,"Surprise, Excitement, Confusion"
Shh! It is a family name!,Confidence
"Chandler Muriel Bing. Boy, your parents never gave you a chance did they?","Neutral, Confusion, Frustration"
"Drake, I’ve discovered the reason for all your headachesand memory loss.","Confidence, Excitement, Anticipation"
What is it?,"Neutral, Surprise, Confusion"
