Dialogue,Emotions
That is,Neutral
I'm sorry!,Sadness
You have no respect for anybody's privacy!,"Anger, Disgust, Frustration"
"Rachel, wait, wait.","Neutral, Sadness, Frustration"
"No, you wait! This is ridiculous!","Anger, Disgust, Frustration"
Can I just say one thing?,"Confidence, Excitement, Optimism"
What? What?!,"Surprise, Confusion, Frustration"
That's a relatively open weave and I can still see your... nipularareas.,"Neutral, Disgust, Confusion"
Oh!!,"Surprise, Excitement, Anticipation"
"Oh, honey, honey, tell them the story about your patient who thinksthings are, like, other things. Y'know? Like, the phone rings and she takes a shower.",Unknown
That's pretty much it.,"Contentment, Neutral"
Oops!,"Surprise, Excitement, Optimism"
"But you tell it really well, sweetie.","Happiness, Contentment, Love"
"Thanks. Okay, now go away so we can talk about you.","Neutral, Confusion, Frustration"
Okay. I'll miss you.,"Sadness, Nostalgia, Longing"
Isn't he great?,"Happiness, Confidence, Excitement"
He's so cute! And he seems to like you so much.,"Happiness, Love, Excitement"
"I know, I know. So sweet... and so complicated. And for a shrink, he'snot too shrinky, y'know?","Neutral, Confusion, Frustration"
"So, you think you'll do it on his couch?","Confidence, Excitement, Anticipation"
"Oh, I don't know, I don't know. I think that's a little weird, y'know?Vinyl.",Confusion
"Okaaay. (To the guys, on the couch) Any of you guys want anything else?","Contentment, Confidence, Neutral"
"Oh, yes, could I have one of those. (Points)","Happiness, Excitement, Anticipation"
"No, I'm sorry, we're all out of those. Anybody else?","Neutral, Frustration"
Okay.,"Contentment, Confidence, Neutral"
"Did I, uh, did I miss something?","Surprise, Confusion, Frustration"
"No, she's still upset because I saw her boobies.","Sadness, Disgust"
You what? Wh what were you doing seeing her boobies?,"Anger, Surprise, Confusion"
It was an accident. Not like I was across the street with a telescopeand a box of donuts.,"Neutral, Confusion, Frustration"
"Okay, okay, could we change the subject, please?",Neutral
"Yeah, 'cause hello, these are not her boobies, these are her breasts.","Confidence, Disgust, Frustration"
"Okay, Pheebs, I was hoping for more of a change.","Neutral, Frustration"
"Y'know, I don't know why you're so embarrassed, they were very niceboobies.","Confidence, Disgust, Frustration"
"Nice? They were nice. I mean, that's it? I mean, mittens are nice.","Neutral, Confusion, Frustration"
"Okaaay, (Gestures) rock, hard place, me.","Neutral, Confusion, Frustration"
You're so funny! He's really funny! I wouldn't wanna be there when whenthe laughter stops.,"Happiness, Fear, Excitement"
