Dialogue,Emotions
Dehydrated Japanese noodles under fluorescent lights... does it,"Neutral, Confusion, Frustration"
"Question. You're not dating anybody, are you, because I met somebodywho would be perfect for you.","Happiness, Excitement, Anticipation"
"Ah, y'see, perfect might be a problem. Had you said 'co-dependent', or'self-destructive'...","Confusion, Frustration, Optimism"
Do you want a date Saturday?,"Excitement, Anticipation, Optimism"
Yes please.,"Happiness, Contentment, Excitement"
"Okay. He's cute, he's funny, he's-","Happiness, Love, Excitement"
He's a he?,"Surprise, Confusion"
"Well yeah! ...Oh God. I- just- I thought- Good, Shelley. I'm just gonnago flush myself down the toilet now...(backs out of the room) Okay, goodbye...","Sadness, Confusion, Frustration"
"...Couldn't enjoy a cup of noodles after that. I mean, is thatridiculous? Can you believe she actually thought that?","Surprise, Disgust, Frustration"
"Um... yeah. Well, I mean, when I first met you, y'know, I thought maybe,possibly, you might be...","Confidence, Anticipation, Confusion"
You did?,"Surprise, Excitement, Anticipation"
"Yeah, but then you spent Phoebe's entire birthday party talking to mybreasts, so then I figured maybe not.","Anger, Disgust, Frustration"
"Huh. Did, uh... any of the rest of you guys think that when you firstmet me?","Neutral, Confusion, Frustration"
I did.,"Happiness, Contentment, Confidence"
"Yeah, I think so, yeah.","Contentment, Confidence, Neutral"
Not me.,"Neutral, Confusion, Frustration"
"Nono, me neither. Although, uh, y'know, back in college, Susan Sallidordid.","Nostalgia, Confusion, Frustration"
You're kidding! Did you tell her I wasn't?,"Surprise, Confusion, Frustration"
"No. No, it's just 'cause, uh, I kinda wanted to go out with her too, so Itold her, actually, you were seeing Bernie Spellman... who also liked her, so...","Nostalgia, Confusion, Frustration"
"Well, this is fascinating. So, uh, what is it about me?","Excitement, Anticipation"
"I dunno, 'cause you're smart, you're funny...","Happiness, Confidence, Love"
"Ross is smart and funny, d'you ever think that about him?","Happiness, Contentment, Love"
Yeah! Right!,"Happiness, Confidence, Excitement"
WHAT IS IT?!,"Anger, Fear, Surprise"
"Okay, I-I d'know, you-you just- you have a quality.","Neutral, Confusion, Frustration"
Yes. Absolutely. A quality.,"Contentment, Confidence, Neutral"
"Oh, oh, a quality, good, because I was worried you guys were gonna bevague about this.","Confidence, Frustration, Optimism"
"Hello? Hello? Oh! Rachel, it's Paolo calling from Rome.","Happiness, Surprise, Excitement"
Oh my God! Calling from Rome! (Takes phone),"Surprise, Excitement, Optimism"
(to Joey) So he's calling from Rome. I could do that. Just gotta go toRome.,"Excitement, Anticipation, Optimism"
"Monica, your dad just beeped in, but can you make it quick? Talking toRome. (Showing off to Phoebe and Chandler) I'm talking to Rome.","Confidence, Excitement, Optimism"
"Hey dad, what's up? (Listens) Oh God. Ross, it's Nana.","Sadness, Fear, Surprise"
"So, uh, how's she doing?","Neutral, Anticipation, Confusion"
The doctor says it's a matter of hours.,"Neutral, Fear, Anticipation"
"How-how are you, Mom?","Anticipation, Confusion"
"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?","Happiness, Surprise, Confusion"
What?,"Surprise, Confusion, Frustration"
What's different?,"Neutral, Confusion"
Nothing.,"Neutral, Confusion, Frustration"
"Oh, maybe that's it.","Neutral, Confusion, Frustration"
"She is unbelievable, our mother is...","Neutral, Surprise, Disgust"
"Okay, relax, relax. We are gonna be here for a while, it looks like, andwe still have boyfriends and your career to cover.","Contentment, Neutral, Optimism"
Oh God!,"Fear, Surprise, Disgust"
The fuzzy little mints at the bottom of her purse.,Neutral
"Oh! ...Yeah, they were gross. Oh, you know what I loved? Her Sweet 'n'Los. How she was always stealing them from- from restaurants.","Happiness, Disgust, Nostalgia"
"Not just restaurants, from our house.","Contentment, Confidence, Excitement"
Mrs. Geller?,Neutral
She looks so small.,"Neutral, Sadness, Disgust"
I know.,"Contentment, Confidence, Neutral"
"Well, at least she's with Pop-Pop and Aunt Phyllis now.","Contentment, Sadness, Nostalgia"
"G'bye, Nana. (She kisses her on the forehead.)","Contentment, Love, Nostalgia"
"Bye, Nana.","Happiness, Love, Nostalgia"
Ross!,"Neutral, Surprise"
What is going on?!,"Surprise, Confusion, Frustration"
"Y'know how-how the nurse said that-that Nana had passed? Well, she's not,quite..","Sadness, Confusion, Frustration"
What?,"Surprise, Confusion, Frustration"
"She's not- past, she's present, she's back.","Surprise, Excitement, Confusion"
(reentering) What's going on?,"Surprise, Confusion, Frustration"
She may have died.,"Sadness, Fear, Confusion"
She,"Neutral, Confusion, Frustration"
We're looking into it.,"Confidence, Neutral, Optimism"
