Dialogue,Emotions
"Let me ask you, why is everybody using these tiny lights nowadays? Iremember when people used to use big lights.","Nostalgia, Confusion, Frustration"
"That’s a good story, Grandpa.","Happiness, Contentment, Love"
Hey,"Confidence, Neutral, Surprise"
Hey,Neutral
"Wow, Monica’s letting other people help decorate her tree! Didsomeone get her drunk again or?",Surprise
Having a perfectly decorated tree is not what Christmas is about.It’s about being with the people that you love.,"Contentment, Love, Excitement"
That is nice and we’re done. TADA!,"Happiness, Confidence, Excitement"
"I dunno what it is, it just doesn’t quite feel like Christmas tome.","Sadness, Confusion, Longing"
"Oh, here.","Neutral, Confusion, Frustration"
See now it feels like Christmas!,"Happiness, Excitement, Nostalgia"
"… and that’s the story of the dreidle. Now, some peopletrace the Christmas tree back to the Egyptians, who used to bring green palm branches intotheir huts on the shortest day of the year, symbolising life’s triumph over death.And that was like 4000 years ago.","Happiness, Contentment, Nostalgia"
"So, pretty much around the same time that you started telling thisstory.","Neutral, Confusion, Frustration"
Hey you guys.,"Happiness, Excitement, Anticipation"
Hey Joe what’s up?,"Happiness, Contentment, Excitement"
"I had to get out of the apartment. Janine is like stretching all over theplace. Y’know, everywhere I look she’s like… (He imitates her stretching)","Disgust, Frustration"
I can see why that’s hard to resist.,Unknown
I like her so much!,"Happiness, Love, Excitement"
"Aw, I’m sorry sweetie that she doesn’t feel the same way.",Sadness
I know. And she’s so sweet. I just wanna feed her grapes and brushher hair.,"Contentment, Love, Excitement"
"You are aware that she’s not a monkey, right?","Disgust, Confusion, Frustration"
"I am so over Janine. I mean, yeah, at first I thought she was hot,but now she’s like OLD NEWS!","Disgust, Frustration"
Hey guys!,"Happiness, Confidence, Excitement"
Hi Janine!,"Happiness, Excitement, Anticipation"
I just got a call to be a dancer on a television special for NewYear’s Eve. It’s called some sort of Dick’n Rock’n Dickie Eve.,"Happiness, Excitement, Anticipation"
Hold it! Are you talking about,"Surprise, Confusion, Frustration"
"Yeah, that’s what I said.","Contentment, Confidence, Neutral"
Oh my God! We love that show! I mean Ross and I have been watching itsince I can remember!,"Love, Excitement, Nostalgia"
