Dialogue,Emotions
Tell him.,"Confidence, Excitement, Anticipation"
No.,"Neutral, Disgust, Frustration"
"Tell him, tell him.","Confidence, Excitement, Anticipation"
Just...please tell him.,"Confidence, Fear, Frustration"
Shut up!,"Anger, Disgust, Frustration"
Tell me what?,"Confidence, Surprise, Confusion"
"Look at you, you won't even look at him.","Neutral, Sadness, Disgust"
"(sarcastically) Oh, come on tell me. I could use another reason whywomen won't look at me.","Disgust, Frustration"
"All right, all right, all right. Last night, I had a dream that, uh, youand I, were...","Excitement, Anticipation, Optimism"
Doing it on this table. (points at the table),"Confidence, Excitement, Anticipation"
Wow!,"Happiness, Surprise, Excitement"
Exellent dream score.,"Happiness, Contentment, Excitement"
"Why, why, why would you dream that?","Surprise, Confusion, Frustration"
"More importantly, was I any good?","Confidence, Anticipation, Frustration"
"Well, you were pretty damn good.","Happiness, Confidence, Excitement"
"Interesting, cause in my dreams, I'm allways surprisingly inadequate.(Monica pats him on his lap)","Contentment, Surprise, Frustration"
"Well, last night you seemed to know your way around the table.","Contentment, Confidence"
"I love it, when we share.","Happiness, Contentment, Love"
You're okay there?,"Contentment, Neutral"
I can't belive you two had sex in her dream.,"Surprise, Disgust, Confusion"
"I'm sorry, it was a one-time-thing. I was very drunk and i wassomebody else's subconscious.","Sadness, Confusion, Frustration"
Hello Rachel.,"Contentment, Confidence, Neutral"
Get off.,"Anger, Disgust, Frustration"
"(points at Joey's pen) Uh, uh, gimme. Can you see me operating a drillpress?","Neutral, Confusion, Frustration"
I don't know. What are you wearing?,"Neutral, Confusion, Frustration"
"Pheebs, why would you want to operate a drill press?","Confusion, Frustration"
"Just for some short-term-work. You know, until I get back some of mymassage clients.","Confidence, Frustration, Optimism"
Pirates again?,"Neutral, Surprise, Disgust"
"No, nothing like that. I was just...such a dummie. I taught thismassage-yourself-at-home-workshop."" And they are.""",Unknown
"Hey, hey, Chan. She could work for you.","Confidence, Excitement, Anticipation"
"(sarcasticly) Thanks Joey, that's a good idea.","Disgust, Frustration"
"What... I could, I could do it. What is it?","Confidence, Excitement, Confusion"
"Well, my secretary is gonna be out for a couple of weeks. She ishaving one of her boobs redused. (Ross looks at her.) It's a whole big boob story.","Surprise, Disgust, Confusion"
I could be a secretary.,"Contentment, Confidence, Optimism"
"Well, you know Phoebs. I don't know if it's your kinda thing, becauseit involves a lot of being normal. For a large portion of the day.","Neutral, Confusion, Frustration"
I could do that.,"Confidence, Excitement, Optimism"
What are you playing with?,"Neutral, Excitement"
"Oh, it's my new beeper.","Contentment, Excitement, Anticipation"
What the hell does a paleontologist need a beeper for?,"Disgust, Confusion, Frustration"
"Is it like for dinosaur emergencies. 'Help, come quick, they're stillextinct.'","Neutral, Surprise, Frustration"
"No, it's for when Carol goes into labor. She can get me wherever I am. Imean, all she has to do is to dial 55-JIMBO.","Confidence, Excitement, Anticipation"
"A cool phone number, and a possible name for the kid.","Excitement, Anticipation, Optimism"
"All right, I'll see you guys later. (raises)","Contentment, Confidence, Neutral"
Off to see young Ethan?,"Happiness, Excitement, Anticipation"
Thank you.,"Happiness, Contentment"
How young is young Ethan? Young?,"Neutral, Confusion, Frustration"
He's... our age.,"Neutral, Surprise, Confusion"
When we were?,"Nostalgia, Confusion"
"Okay, he's a senior in college.","Contentment, Confidence, Neutral"
College?,"Neutral, Anticipation, Confusion"
Whoa! And this manchild has no problem with how old you are?,"Surprise, Disgust, Confusion"
"No, of course not. It's not even an issue. Cause I told him I was 22.","Confidence, Neutral, Frustration"
What?,"Surprise, Confusion, Frustration"
"Oh, I can't pass for 22?","Confidence, Surprise, Frustration"
"Well, maybe 25-26.","Confidence, Neutral, Anticipation"
I am 26.,"Contentment, Confidence, Neutral"
There you go.,"Happiness, Contentment, Confidence"
Can you hear that?,"Surprise, Excitement, Anticipation"
(plays with a thumbtack remover) Yeah?,"Neutral, Confusion, Frustration"
See that'll stop when you pick up the phone.,"Confidence, Frustration, Optimism"
"Oh. Uh, I'm on. (picks up the phone)","Neutral, Surprise, Excitement"
"(with a deep voice) Mr. Bing's office. (Listens) No I'm sorry, he's in ameeting right now.","Confidence, Neutral"
I'm not in a meeting. I'm right... Whoops.,"Neutral, Surprise, Confusion"
"Will he know what this is in reference to? (Listens) And he has yournumber? (Listens) All right, I'll see that he gets the message. Bye bye.","Confidence, Neutral, Anticipation"
What?,"Surprise, Confusion, Frustration"
Ross says hi.,Neutral
Ah!,"Surprise, Excitement, Anticipation"
"This is so fun. All right, what do we do now?","Happiness, Excitement, Anticipation"
"Well, now, I actually have to get to work.","Contentment, Neutral, Anticipation"
"Most likely. (raises and goes toward the door) Okay, I'm gonna be outthere.","Confidence, Neutral, Excitement"
Okay.,"Contentment, Confidence, Neutral"
All right. Bye bye.,"Happiness, Contentment, Neutral"
Bye bye.,"Happiness, Contentment, Neutral"
(answering it) Yes?,"Confidence, Neutral, Surprise"
Whatcha doin'?,"Happiness, Contentment, Excitement"
Ooh. (leans against the desk),Contentment
