Dialogue,Emotions
I can't believe you would actually say that. I would muchrather be Mr.Peanut than Mr.Salty.,"Anger, Disgust, Frustration"
"No way! Mr.Salty is a sailor, all right, he's got to be, like, thetoughestsnack there is.","Confidence, Excitement, Optimism"
"I don't know, you don't wanna mess with corn nuts. They're craaazy.","Confidence, Excitement"
(looking out of the window) Oh my God. You guys! You gotta come seethis! There's some creep out there with a telescope!,"Fear, Surprise, Excitement"
I can't believe it! He's looking right at us!,"Fear, Surprise, Excitement"
"Oh, that is so sick.","Surprise, Disgust"
I feel violated. And not in a good way.,"Anger, Disgust, Frustration"
"How can people do that?... (All but Phoebe walk away from the window indisgust.) Oh, you guys, look! Ugly Naked Guy got gravity boots!","Surprise, Disgust, Excitement"
"I am telling you, years from now, schoolchildren will study it as oneof the greatest first dates of all time. It was unbelievable! We could totally beourselves, we didn't have to play any games...","Happiness, Confidence, Excitement"
So have you called her yet?,"Excitement, Anticipation, Nostalgia"
"Let her know I like her? What are you, insane? (The girls makedisgusted noises.) It's the next day! How needy do I want to seem? (To the guys) I'mright, right?","Disgust, Confusion, Frustration"
"Oh, yeah. Yeah. Let her dangle.","Neutral, Anger, Frustration"
I can't believe my parents are actually pressuring me to find one of youpeople.,"Sadness, Disgust, Frustration"
"Oh, God, just do it! (Grabbing the phone.) Call her! Stop being sotestosteroney!","Anger, Frustration"
"Which, by the way, is the real San Francisco treat. (Calls her, thenhurriedly hangs up.) I got her machine.","Confidence, Excitement, Frustration"
Her answer machine?,"Neutral, Confusion, Frustration"
"No, interestingly enough her leaf blower picked up.","Neutral, Surprise"
"So, uh, why didn't you say anything?","Confusion, Frustration"
"Oh, no-no-no-no. Last time I left a spontaneous message I ended upusing the phrase Yes indeedy-o.""""","Fear, Confusion, Frustration"
"Look look! It's Rachel and Barry. No, don't everybody look at once!","Excitement, Confusion"
"Okay, okay, what's going on?","Anticipation, Confusion, Frustration"
"Okay, they're just talking...",Neutral
"Yeah, well, does he look upset? Does he look like he was just told toshove anything?","Confidence, Disgust, Frustration"
"No, no actually, he's smiling.. and... Oh my God, don't do that!!","Fear, Surprise, Disgust"
What? What? What?!,"Surprise, Confusion, Frustration"
That man across the street just kicked that pigeon! (Rachel enters.) Oh!,"Sadness, Anger, Surprise"
"(bluffing) And basically, that's how a bill becomes a law.","Confidence, Excitement, Optimism"
Oh!... Right!,"Surprise, Confusion, Optimism"
Hey Rach!,"Happiness, Love, Excitement"
How'd it go?,"Neutral, Anticipation, Optimism"
"Y'know, it was, uh.. it was actually really great. He took me to lunchat the","Happiness, Contentment, Excitement"
Not a good day for birds...,"Sadness, Disgust, Frustration"
Then we took a walk down to,Neutral
"That's nice... now, was that before or after you told him to stop calling,stop sending you flowers and to generally leave you alone, hmm?","Anger, Disgust, Frustration"
"Right,.. well,.. we never actually got to that... Oh, it was just sonice to see him again, y'know? It was comfortable, it was familiar... it was just nice!","Happiness, Contentment, Nostalgia"
"That's, that's nice twice!","Happiness, Excitement, Optimism"
"Rachel, what's going on? I mean isn't this the same Barry who you leftat the altar?","Sadness, Confusion, Frustration"
"Duh, where've you been?","Surprise, Confusion, Frustration"
"Yeah, but it was different with him today! And he wasn't, like,Orthodontist Guy, y'know? I mean, we had fun! Is there anything wrong with that?","Contentment, Confidence, Excitement"
Yes!,"Happiness, Confidence, Excitement"
Why?,"Confusion, Frustration"
I have my reasons.,"Confidence, Neutral, Frustration"
"Okay, how about the fact that he's engaged to another woman, who justhappens to be your ex-best friend?","Sadness, Anger, Disgust"
"All right. All right, all right, all right, all right, I know it'sstupid! I will go see him this afternoon, and I will just put an end to it!","Confidence, Frustration"
Wow... Wow!,"Surprise, Excitement, Optimism"
Yeah.,"Contentment, Confidence, Neutral"
"I'm not crazy, right? I mean, it was never like that.","Confidence, Confusion, Frustration"
"Nooo, it wasn't.","Neutral, Disgust, Frustration"
"Ooh, and it's so nice having this little sink here...","Happiness, Contentment, Excitement"
"(on phone, reading from a script) Oh, Danielle! I wasn't expecting themachine... Give me a call when you get a chance. (Rattles some dishes) Bye-bye. (Hangsup.) Oh God!","Neutral, Surprise, Frustration"
,"Neutral, Confusion, Frustration"
"Hey, I've been honing!","Happiness, Confidence, Excitement"
What was with the dishes?,"Confusion, Frustration"
"Oh, uh.. I want her to think I might be in a restaurant.. y'know? Imight have some kind of life, like I haven't been sitting around here honing for the pastfew hours.","Neutral, Frustration, Optimism"
"(looking out the window) Look look! He's doing it again, the guy withthe telescope!","Surprise, Excitement, Anticipation"
Oh my God! (Walks to the window) Go away! (Gesturing.) Stop looking inhere!,"Anger, Fear, Frustration"
"Great, now he's waving back.","Happiness, Surprise, Excitement"
"Man, we gotta do something about that guy. This morning, I caught himlooking into our apartment. It creeps me out! I feel like I can't do stuff!","Fear, Disgust, Frustration"
What kinda stuff?,"Neutral, Confusion"
"Will you grow up? I'm not talking about sexy stuff, but, like, when I'mcooking naked.","Confidence, Excitement, Frustration"
You cook naked?,"Surprise, Disgust, Confusion"
"Yeah, toast, oatmeal... nothing that spatters.","Contentment, Confidence, Neutral"
What are you looking at me for? I didn't know that.,"Surprise, Confusion, Frustration"
What's the matter?,"Neutral, Confusion"
"Oh, it's just... Oh, Barry, this was not good.","Sadness, Disgust, Frustration"
"No, it was. It was very very good.","Happiness, Contentment, Excitement"
"Well, what about Mindy?","Neutral, Anticipation, Confusion"
"Oh, way, way better than Mindy.","Confidence, Excitement, Optimism"
"No, not that, I mean, what about you and Mindy?","Confusion, Frustration, Longing"
"Well, if you want, I'll just—I'll just break it off with her.","Sadness, Confusion, Frustration"
"No. No-no-no-no, no. I mean, don't do that. Not, I mean not for me.","Disgust, Confusion, Frustration"
"(over intercom) Dr. Farber, Bobby Rush is here for his adjustment.","Confidence, Neutral, Anticipation"
"(into intercom) Thanks, Bernice. (To Rachel) Let's go away this weekend.","Happiness, Confidence, Excitement"
"Oh, Barry..! Come on, this is all way too..","Neutral, Confusion, Frustration"
"We can, we can go to Aruba! When I went there on what would have been ourhoneymoon, it was, uh... it was really nice. You would've liked it.","Happiness, Excitement, Nostalgia"
I had a bra.,"Happiness, Contentment, Confidence"
"Hey, Dr. Farber.","Happiness, Contentment, Confidence"
"All right Miss Green, everything looks fine... Yep, I think we'restarting to see some real progress here.","Happiness, Confidence, Excitement"
What?!,"Surprise, Confusion, Frustration"
"I'm twelve, I'm not stupid.","Confidence, Frustration"
Can I use your phone?,Neutral
"Yeah.. uh, but for future reference, that thing in your hand can also beused as a phone.","Neutral, Confusion, Frustration"
"Yes, it's working! Why isn't she calling me back?","Confusion, Frustration, Longing"
Maybe she never got your message.,Neutral
"Y'know, if you want, you can call her machine, and if she has a lot ofbeeps, that means she probably didn't get her messages yet.","Confidence, Neutral, Anticipation"
Y'don't think that makes me seem a little...,"Neutral, Confusion, Frustration"
"...desperate, needy, pathetic?",Unknown
"Ah, you obviously saw my personal ad.","Confidence, Surprise, Excitement"
How many beeps?,"Anticipation, Confusion, Frustration"
She answered.,Neutral
"Y'see, this is where you'd use that 'hello' word we talked about.","Confidence, Excitement, Anticipation"
"I'm not gonna talk to her, she obviously got my message and ischoosing not to call me. Now I'm needy and snubbed. God, I miss just being needy.","Sadness, Frustration, Longing"
Hey! Hi!,"Happiness, Excitement"
How'd he take it?,"Neutral, Anticipation, Confusion"
"Pretty well, actually... (Wandering into the kitchen.)","Happiness, Contentment, Confidence"
"(wandering in after her) Uh, Rach... how come you have dental floss inyour hair?","Surprise, Confusion, Frustration"
"Oh, do I?","Confidence, Surprise, Excitement"
Uh huh.,Neutral
(in a low voice) We ended up having sex in his chair.,"Happiness, Excitement, Nostalgia"
You had,Neutral
You-you had what?,"Surprise, Confusion, Frustration"
Sex in his chair.,"Disgust, Excitement, Anticipation"
"What, uh... what were you thinking?","Surprise, Confusion, Frustration"
"I don't know! I mean, we still care about each other. There's a historythere. 'S'like you and Carol.","Nostalgia, Confusion, Longing"
"No! No no, it is nothing like me and Carol!","Confidence, Disgust, Frustration"
"Please. If she said to you, Ross","Confidence, Excitement"
"If it helps, I could slide over.","Contentment, Confidence, Neutral"
