Dialogue,Emotions
"(sees Rachel) Oh, uh, hey Rach. I uh, I was just coming over here touh… Oh wait, I don’t have to lie to you, you don’t live here anymore. Uh,I’m eating their food. What are you doing?","Neutral, Sadness, Confusion"
Ross is on a date with my sister and they shut the drapes two anda-half-hours ago.,"Neutral, Anticipation, Confusion"
"Whoa, I didn’t know we could date your sister!","Surprise, Excitement, Confusion"
Joey we know you steal our food.,"Anger, Frustration"
I’m good.,"Happiness, Contentment, Confidence"
"(To Rachel) Oh, are the drapes still closed hon?","Happiness, Contentment, Neutral"
Yeah. And y’know who should’ve shut their drapes? Is thatperverted old couple two doors over.,"Anger, Disgust"
(looking) Is that a swing?,"Surprise, Excitement, Anticipation"
Oh don’t even ask!,"Disgust, Confusion, Frustration"
Yuck!,"Surprise, Disgust, Confusion"
I can’t believe Ross went out with Rachel’s sister! WhenChandler made out with my sister I was mad at him for 10 years.,"Anger, Surprise, Disgust"
That was like 5 years ago.,"Neutral, Nostalgia, Frustration"
Yeah you got 5 years left!,"Confidence, Excitement, Optimism"
Joey…,Neutral
You wanna make it 6?!,"Confidence, Excitement, Frustration"
"Oh Ross, hi! Hey, how are ya? There you are!","Happiness, Excitement, Anticipation"
Hey!,"Happiness, Surprise, Excitement"
(to Gunther) I’ll take a coffee. (To Ross) So how was your big datelast night?,"Confidence, Neutral"
"Uhh, it was okay. Yeah, it was fun.","Contentment, Neutral, Excitement"
"Yeah fun? Great! So uh, so did you guys hit it off?",Excitement
I guess so.,"Neutral, Confusion"
"So uh, so did anything happen? Because","Anticipation, Confusion, Frustration"
"No. No. Nothing happened. I shut the drapes to uh, show her slides of myfavorite fossils.","Neutral, Confusion, Frustration"
"Oh, slides. (Laughs.) So","Happiness, Surprise"
Something could’ve happened. All right? She-she really dug my slides.And-and she was definitely giving me the vibe.,"Confidence, Excitement, Anticipation"
"Right. Was it the, Please don’t show me another picture of atrilobite vibe?""""","Neutral, Disgust, Frustration"
"Anyway, if she, if she wasn’t in to me, why-why would she ask me outagain?","Confusion, Frustration, Optimism"
She asked-asked you out again?,"Happiness, Surprise, Excitement"
"Yeah-uh-huh. Tomorrow night, Valentine’s Day, the most romantic dayof the year. Who knows what could happen? I might not be shutting my drapes to show her myslides, if you know what I mean.","Love, Excitement, Anticipation"
"Okay-okay-okay-okay-okay-okay-okay! I got it! I got it! I got it! Ican’t! I can’t! I can’t! I cannot go with you and my sister thing. Okay? Ijust can’t. It’s just too weird, all right? I imagine the two of you togetherand I freak out. It freaks me out. I can’t do it! I can’t do it.","Fear, Confusion, Frustration"
"(while Rachel is finishing her rant) Okay! Okay! Okay! It’s okay.(Rachel stops.) It’s okay. Hey, it’s too weird for you, I won’t see heragain.","Neutral, Confusion, Frustration"
Thank you. I…yeah.,"Neutral, Confusion, Frustration"
I mean after tomorrow night.,"Excitement, Anticipation, Optimism"
"No-no-no! No-no-no! Please Ross, I can’t! I can’t do it!(Starts to freak out.) It’s just gonna freak me out!!!","Fear, Confusion, Frustration"
Okay! Okay! Ooh-hey-hey-hey! Okay! Okay! Okay! I’ll-I’ll tellher tonight I can’t see her anymore.,"Sadness, Confusion, Frustration"
Ross thanks.,"Contentment, Neutral"
You want me to call her right now?,"Confidence, Excitement, Anticipation"
"Oh no! No! No-no-no-no! No, I mean come on that’s-that’scrazy—I mean that’s crazy. So what’s-what’s going on with you? What isgoing on with you?","Surprise, Confusion, Frustration"
"Well umm, oh! I might be teaching another class this semester!","Excitement, Anticipation, Optimism"
"Yeah do it now, call right now.","Confidence, Excitement"
(crying) This is my favorite part.,"Sadness, Excitement, Nostalgia"
(crying) Yeah me too.,"Sadness, Nostalgia, Longing"
Oh y’know what’s sadder than this?,"Sadness, Disgust, Frustration"
"(totally not crying) Well see now that I can see crying over, but","Sadness, Confusion, Frustration"
(crying) You didn’t cry when Bambi’s mother died?,"Sadness, Surprise, Confusion"
Yes it was very sad when the guy stopped,Sadness
Chandler there’s nothing wrong with crying! I mean you don’thave to be so macho all the time.,"Sadness, Frustration"
I’m not macho.,"Neutral, Confusion, Frustration"
Yeah you’re right. I don’t know what I was thinking.,"Neutral, Confusion, Frustration"
"No, I guess I just never really cried. Y’know? I’m not acrying kind of guy.","Neutral, Confusion, Longing"
"Come on man there’s gotta be something that gets you choked up! Likeuh, uh oh, what if you saw a three-legged puppy?","Happiness, Surprise, Excitement"
"I’d be sad sure, but I wouldn’t cry.","Confidence, Neutral, Sadness"
"Okay, what if the puppy said, Help me Chandler. All the otherpuppies pick on me.""""",Sadness
"Cry?! I just found a talking puppy, I’m rich!","Happiness, Surprise, Excitement"
"Oh, I’ve got it! I have got it! (Gets up and gets something fromthe dresser underneath the TV.) Pictures from your childhood. This will get you goinggood!","Happiness, Excitement, Nostalgia"
"All right, what’s going on there? (Points to a picture.)","Surprise, Anticipation, Confusion"
"Oh, that’s Parent’s Day, first grade. That’s me withthe janitor Martin.","Happiness, Nostalgia"
Where were your parents?,"Neutral, Confusion, Frustration"
Oh they didn’t want to come!,"Neutral, Sadness, Frustration"
Oh Chandler!,"Happiness, Surprise, Love"
Poor thing!,Sadness
So that story doesn’t make you cry?,"Neutral, Sadness, Anticipation"
"No! Look, I don’t cry! It’s not a big deal! Okay?!","Anger, Frustration"
No! It’s not okay! It’s not okay at all!! You’re deadinside!!,"Sadness, Anger, Frustration"
Excuse me.,Neutral
Yeah?,"Confidence, Neutral, Surprise"
Are you Phoebe Buffay?,"Neutral, Surprise, Confusion"
Yeah.,Neutral
"Can-can I get your autograph, I’m your biggest fan. (Holds out anapkin and a pen.)","Happiness, Excitement, Anticipation"
Oh you’re my biggest fan? I’ve always wanted to meet you! Hi!(Shakes his hand.) Sure! Yeah! (Signs the autograph),"Happiness, Surprise, Excitement"
"Wow! Wow, thanks a lot! I just wanna say, I think you’re reallytalented.","Happiness, Excitement"
"You’re just saying that because you’re my biggest fan. (Thefan leaves and Joey approaches.) (To Joey) Joey listen, take good care of that guy, okay?(Points) He’s a fan. (To the fan as she’s leaving) Bye! (Exits)","Happiness, Excitement"
"(to the fan) So, you saw me on","Happiness, Confidence, Excitement"
"I have no idea what you’re talking about. But I, but I just gotPhoebe Buffay’s autograph!","Happiness, Excitement, Confusion"
"Oh, you’re Phoebe’s fan!","Happiness, Love, Excitement"
Oh yeah! I’ve seen all her movies.,"Happiness, Confidence, Excitement"
Movies?,Neutral
"That was Phoebe Buffay, the porn star.","Surprise, Disgust, Confusion"
(laughs) I don’t think so.,"Happiness, Confidence, Neutral"
"No-no, it was! She was in Sex Toy Story 2, Lawrence of Alabia, and Igot her autograph! The guys at the comic book store aren’t gonna believe this!(Exits.)","Confidence, Surprise, Excitement"
"Hey Gunther, don’t let that guy in here anymore! He just saidPhoebe’s a porn star!","Anger, Surprise, Disgust"
"Well, I wouldn’t call her a star, but she’s really good. Youshould check out Inspecther Gadget.","Confidence, Excitement, Optimism"
Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Excitement, Anticipation"
"You’ll never believe what just happened, Ross just totally blew meoff and he didn’t even tell me why!","Sadness, Anger, Frustration"
Ohhh well. Y’know what honey? The best thing to do to get over aguy is to start dating someone else. Oh! There is this great guy you will love at worknamed Bob! He’s a real up-and-comer in Human Resources.,"Confidence, Excitement, Optimism"
"Y’know, thanks for trying to cheer me up, but I’m not gonna datesome random guy from your work.","Neutral, Disgust, Frustration"
"It’s not random, it’s Bob.","Confidence, Frustration, Optimism"
It’s probably because not mature enough. Or smart enough. Maybe hedoesn’t like the way I dress—No that can’t be it. It’s really gotta bethe smart thing. Oh I’m,"Confusion, Frustration"
"No honey, okay, okay, you wanna know why Ross canceled the date? BecauseI asked him to.","Anger, Confusion, Frustration"
You asked him too?!,"Surprise, Confusion, Frustration"
Hm-mmm.,Neutral
Why?!,"Sadness, Anger, Confusion"
Because you are my sister and Ross and I have this huge history…,"Love, Nostalgia, Frustration"
"I don’t understand, do you want to go out with Ross?","Surprise, Confusion, Frustration"
No.,"Neutral, Disgust, Frustration"
"You don’t want him, but you don’t want me to have him?","Anger, Confusion, Frustration"
(changing the subject) Y’know Bob in Human Resources…,"Confidence, Excitement, Anticipation"
Ugh! I cannot believe you did this too me! You had me doubting how smart Iwas! (Gasps) You had me doubting my fashion sense!,"Anger, Disgust, Frustration"
"Look, this is not that big of a deal! You just don’t date Ross!There’s a million other guys out there, you just…","Confidence, Frustration"
Hey! You have no right to tell me what to do.,"Anger, Frustration"
I’m not telling you what to do! I am telling you what,"Confidence, Frustration"
Why are you so jealous of me?,"Anger, Frustration"
Jill this is not about me being jealous of you! This is about you beinga brat! Wanting what you can’t have!,"Anger, Disgust, Frustration"
"Can’t have?! Excuse me, the only thing I can’t have is","Confidence, Anger, Frustration"
"All right, all right, well you just blew your chances at dating Bob!","Sadness, Anger, Frustration"
Who?!,"Surprise, Confusion, Frustration"
,"Neutral, Confusion, Frustration"
…I am jealous of her?! I mean who does she think she is?! PrincessCaroline?!,"Anger, Frustration"
You’re jealous of Princess Caroline?,"Anger, Frustration"
Do I have my own castle?,"Happiness, Excitement, Anticipation"
"Hey! Uh, Phoebe’s not here is she?","Surprise, Anticipation, Confusion"
No.,"Neutral, Frustration, Longing"
(noticing the bag Joey’s carrying) Oh great! Did you get a movie?,"Happiness, Excitement, Anticipation"
"Uhhh, yeah. Yeah. But uh, I don’t think it’s the kindyou’re gonna like.","Neutral, Confusion, Frustration"
You didn’t get more movies that are gonna have us reaching forthe tissues all night did you?,"Disgust, Frustration, Longing"
Sort of…,"Neutral, Confusion, Frustration"
"Guys, what’s going on?","Anticipation, Confusion, Frustration"
(holds up the movie) Phoebe’s a porn star!,"Surprise, Disgust"
What?!!,"Anger, Surprise, Confusion"
Phoebe Buffay in Buffay: The Vampire Layer.,"Happiness, Excitement, Optimism"
Oh my God!,"Fear, Surprise, Excitement"
That’s Phoebe! Where did you get that?,"Surprise, Love, Excitement"
Well down at the adult video place down on Bleaker.,"Confidence, Neutral, Disgust"
"And-and I, and I saw that Joey was about to go in, so I ran in ahead ofhim to-to surprise him and, and then I pretended I didn’t know he was in there. (Theyall kinda look at him.)","Surprise, Excitement, Confusion"
"Wow! I mean, I just—I can’t, I can’t believe this.Y’know, I mean you think you know someone even, even Phoebe who’s always beensomewhat of a question mark.","Surprise, Confusion"
"This is so bizarre. I guess it kinda makes sense though, y’know shehad such a terrible childhood.","Sadness, Surprise, Confusion"
"Hey, I had a terrible childhood and I don’t do porn.","Confidence, Sadness, Frustration"
