Dialogue,Emotions
(to Joey) What’s so funny?,"Neutral, Confusion, Frustration"
"Oh, nothing, no. It’s an acting exercise, I’m practising my fakelaugh.","Neutral, Confusion, Frustration"
Oh. (she laughs),"Happiness, Excitement"
What-what’s so funny?,"Surprise, Confusion, Frustration"
"(to Chandler) Oh, no-no, no-no-no, there’s none of that in here.","Confidence, Neutral, Frustration"
Oh come on man! At least let me finish this last one.,Frustration
"Okay, but only if you give me a drag.","Confidence, Excitement, Anticipation"
Okay.,"Contentment, Confidence, Neutral"
"Oh dark mother, once again I suckle at your smokey tit. (hands Chandlerback the cigarette.)","Confidence, Disgust, Excitement"
"No-no, why don’t you hang on to that one.","Contentment, Confidence, Excitement"
"Okay, that’s like the least fun game ever.","Neutral, Disgust, Frustration"
"Well, I’m really sick of your smoking, so I brought something thatis going to help you quit. (hands him an audio cassette)","Confidence, Anger, Frustration"
"Oh. (takes the cassette and puts it on his arm like the stop smokingpatch, and it falls off.) Nope, that patch is no good. (Joey and Monica both do their fakelaughs.)","Neutral, Disgust, Frustration"
"Come on, it’s a hypnosis tape. This woman at work used it for twoweeks straight and she hasn’t smoked since.","Confidence, Excitement, Optimism"
Pffhah.,"Neutral, Disgust, Frustration"
(to Ross) What’s your problem?,"Anger, Confusion, Frustration"
"Nothing, it’s just that hypnosis is beyond crap.","Neutral, Disgust, Frustration"
"Ross, I watched you get hypnotised in Atlantic City.","Surprise, Excitement"
"Hey, that guy did not hypnotise me! Okay.","Neutral, Confusion, Frustration"
"Oh right, ‘cause you always pull your pants down at the count ofthree and play Wipe-out on your butt cheeks.",Unknown
"All right, y'know forget hypnosis. The way to quit smoking is you haveto dance naked in a field of heather, and then bath in the sweat of six healthy young men.","Surprise, Excitement, Confusion"
Or what my Father called Thursday night.,"Love, Excitement, Nostalgia"
Here you go.,"Happiness, Contentment, Confidence"
"Oh, y'know what, I didn’t want cinnamon on this.","Neutral, Disgust, Frustration"
"Sorry. (To remedy that, Ross scoops the cinnamon off of the top with hishand.)","Contentment, Neutral, Frustration"
(entering) Hi!,"Happiness, Excitement, Optimism"
Oh my God!!,"Fear, Surprise, Excitement"
Hi!,"Happiness, Confidence, Excitement"
Frank! Hi!,"Happiness, Surprise, Excitement"
How are you?,"Contentment, Neutral, Anticipation"
What are you doing here?,"Neutral, Surprise, Confusion"
"Oh, well y'know, I would’ve called but I lost your phone number andthen ah, my Mom locked me out of the house so I couldn’t find it. And then, I triedto find a pay phone, and ah, the receiver was cut off. So...","Neutral, Confusion, Frustration"
What happened?,"Fear, Surprise, Confusion"
"Ah, oh, the ah, vandalism.","Neutral, Surprise, Confusion"
"But, also, what happened between you and your Mom?","Sadness, Confusion, Frustration"
"Well, we got into a fight ‘cause ah, she said I was to immature toget married.","Anger, Confusion, Frustration"
Your getting married?!,"Happiness, Surprise, Excitement"
"Oh, yeah!","Happiness, Excitement, Optimism"
Wow!,"Happiness, Surprise, Excitement"
My little brother’s getting married!!,"Happiness, Excitement, Anticipation"
"Oh, I knew you’d be so cool about this. All right, ah, hey, do youwant to meet her?","Happiness, Contentment, Excitement"
Do I?,"Confidence, Confusion, Frustration"
Do you?,"Neutral, Confusion, Frustration"
"Yeah, I do, yeah.","Happiness, Contentment, Confidence"
"Okay, cool, all right, she just ah, parking the truck. (to Joey) I’mgonna, I’m gonna get my ah, my fiancée man!","Happiness, Excitement, Anticipation"
