Dialogue,Emotions
"(to Bonnie) So ah, your first sexual experience was with a woman?!","Surprise, Excitement, Confusion"
"All right, I was 15, it was my best friend, Ruth, and we got drunk onthat hard cider, and then suddenly, I don’t know, we were, we were making out.","Surprise, Excitement, Confusion"
"Tell it again. (pause, we see Rachel is not amused.) Seriously.","Neutral, Disgust, Frustration"
(to Monica) I mean is that woman capable of talking about anything elsebut sex?,"Anger, Disgust, Frustration"
"Yeah, sure. Well y'know, earlier she was talking about geography.","Contentment, Neutral, Confusion"
"Joey, she was listing the countries she’s done it in.","Confidence, Excitement, Anticipation"
"Well, I think we all learned something.","Contentment, Neutral, Optimism"
"(entering, hurridly) Hey, you guys! Look what I found! Look at this!(She hands Chandler a picture) That’s my Mom’s writing! Look.","Happiness, Surprise, Excitement"
"(reading the back of the picture) Me and Frank and Phoebe, Graduation1965.","Happiness, Contentment, Nostalgia"
Y'know what that means?,"Confidence, Excitement, Anticipation"
That you’re actually 50?,"Surprise, Disgust, Confusion"
"No-no, that’s not, that’s not","Disgust, Confusion, Frustration"
Oh!,"Surprise, Excitement, Anticipation"
That is so cool.,"Happiness, Excitement, Optimism"
"I know! So this woman probably could like have all kinds of storiesabout my parents, and she might even know like where my Dad is. So I looked her up, andshe lives out by the beach. So maybe this weekend we could go to the beach?","Excitement, Anticipation, Optimism"
"Yeah! Yeah, we can!","Happiness, Excitement, Optimism"
"(to Ross) Shoot! I can’t go, I have to work!","Neutral, Confusion, Frustration"
That’s too bad.,Sadness
"(sarcastic) Ohh, big, fat bummerrr.","Disgust, Frustration"
So great! Okay! Tomorrow we’re gonna drive out to Montauk.,"Happiness, Excitement, Anticipation"
"Hey, Bonnie had sex there!","Surprise, Disgust, Excitement"
"(watching a happy couple walk by, arm in arm) Would you look at them. AmI ever gonna find a boyfriend again? I gonna die an old maid.","Sadness, Frustration, Longing"
"You’re not gonna die an old maid, maybe an old spinster cook.","Sadness, Disgust, Frustration"
(sarcastic) Thanks!,"Disgust, Frustration"
"Hey now besides, if worst comes to worst, I’ll be your boyfriend.","Confidence, Excitement, Optimism"
Yeah right.,"Neutral, Disgust, Frustration"
Why is that so funny?,"Surprise, Confusion"
You made a joke right? So I laughed.,"Happiness, Surprise, Excitement"
"Ha-ha-ha. A little to hard. What am I not ah, boyfriend material?","Happiness, Confidence, Excitement"
"Well, no. You’re Chandler. Y'know, Chandler! (hits him on the arm)","Surprise, Confusion, Frustration"
"Okay, so we’ve established my name, and hit me. But theoreticallyy'know, I mean say we weren’t friends, say it’s a blind date. I show up at yourdoor, and I’m like (in a fake voice) “Hey, nice to meet, ya. Hey, oh-hey.”","Confidence, Excitement, Frustration"
Well I’d probably be scared of a guy using a fake voice.,"Fear, Disgust, Frustration"
(walking up carrying a brown paper bag) Hey!,"Happiness, Surprise, Excitement"
"Oh, hey! Oh good, you brought food!","Happiness, Excitement, Anticipation"
"No, it’s just my luggage.","Neutral, Confusion, Frustration"
Hey!!,"Happiness, Surprise, Excitement"
Woo-hoo! All right! Yeah!,"Happiness, Excitement, Optimism"
"Oh, I am having the best karma this week. First, I find this woman whoknew my parents, and then my client with the fuzzy back gives me his beach house.","Happiness, Excitement, Anticipation"
"Yeah? What about ah, that bike messenger you hit?","Anger, Confusion, Frustration"
"Oh, I wasn’t talking about his karma.","Neutral, Surprise, Confusion"
(approaching) Hey!,"Happiness, Confidence, Excitement"
Hey!,"Happiness, Surprise, Excitement"
"Hey-hey, check out the hat!","Happiness, Excitement, Anticipation"
"What a minute, I know that hat! I was taken aboard that hat! They didexperiments on me! I can’t have children!!","Anger, Fear, Confusion"
"Seriously, where did you get the hat?","Excitement, Confusion"
Ross gave it to me.,"Happiness, Confidence, Excitement"
"Yeah, I think she looks good.","Happiness, Contentment, Confidence"
"Ohh, thank you.",Happiness
"Buy it for ya, or win it for ya?","Excitement, Anticipation, Optimism"
"Well excuse me, my fashion-impaired friends, I am here to tell you thathats are back.","Confidence, Excitement, Optimism"
"And this time, they’ve ganged up to form one giant, super hat.","Excitement, Anticipation, Optimism"
"Go, go, go!","Confidence, Excitement, Anticipation"
"Oh yeah, now everybody wants to be under this hat!","Confidence, Excitement, Optimism"
Oy!!,"Anger, Surprise, Frustration"
"What’s with all this sand? (picking a handful of sand off of thefloor, which is covered in sand)","Disgust, Confusion, Frustration"
"Oh, yeah, Bob said there might be flood damage.","Confidence, Neutral, Surprise"
"Yeah, either that, or he has a really big cat.",Unknown
"Well, yes, it’s kind’ve an unusual house. It has umm, threebeautiful bedrooms and ah, no baths. But y'know, the ocean is right there.","Contentment, Neutral, Excitement"
"(at the door) Knock, knock, knock.","Neutral, Anticipation, Frustration"
"(on phone) Ah, oh, hang on a second. (to Phoebe) Come in, come in.(on phone) All right, so think about it, and call me back. (hangs up)","Neutral, Excitement, Anticipation"
"(entering) Are you ah, Phoebe Abott?","Excitement, Anticipation, Confusion"
"Ahh, yes.","Contentment, Confidence, Neutral"
"Hi Phoebe Abott, I’m your best friends daughter!","Happiness, Love, Excitement"
You’re Erwin’s daughter?!,Surprise
"No, I-I mean your-your old best friend, here. (hands her the picture)Lily, from high school. Remember?","Nostalgia, Confusion, Longing"
"Oh gosh, Lily, yes. Of course I remember Lily. I... Then you must be?","Surprise, Nostalgia, Confusion"
