Dialogue,Emotions
"Hey, you’re not going to believe this. I made up a joke and sent itin to","Happiness, Surprise, Excitement"
I didn’t know,"Neutral, Surprise, Confusion"
"Yeah, they print jokes, interviews, hard-hitting journalism. It’s notjust about the pictures.","Contentment, Confidence, Neutral"
"That didn’t work on mom, it’s not going to work on us.","Confidence, Frustration"
"(showing them the page) Here, check it out. It’s the firstone, too.","Confidence, Excitement, Optimism"
That is funny. It was also funny when I made it up.,"Happiness, Contentment, Confidence"
What?,"Surprise, Confusion, Frustration"
I made that joke up.,"Confidence, Excitement"
"Uh, oh-oh, no you didn’t. I did.","Confidence, Anger, Frustration"
"Yes, I did. I told it to Dan at work, and he said it was the funniestjoke he’d ever heard.","Happiness, Confidence, Excitement"
"Hey, tell Dan, ‘Thanks.’","Happiness, Surprise"
What?,"Surprise, Confusion, Frustration"
"I’m sorry, I was just reading the joke below it. Man, that one isfunny. (Ross grabs the magazine away from her.)","Surprise, Excitement, Frustration"
"Monica, you remember me telling you that joke, right?","Happiness, Contentment, Nostalgia"
No.,"Neutral, Disgust, Frustration"
Seriously?,"Surprise, Confusion, Frustration"
"Well, you tell a lot of jokes!","Happiness, Contentment, Confidence"
"Look, Chandler, it’s my joke. But, hey, if it makes you feel anybetter they don’t print the name, so it doesn’t really matter who gets credit,right?","Neutral, Frustration"
"Yeah, I guess.","Contentment, Neutral"
(entering) Hey guys.,"Happiness, Confidence, Excitement"
"(jumping up from his chair) Hey, Joey,","Surprise, Excitement, Anticipation"
"No, it’s my joke, it’s mine. You can call them, they’lltell you.","Confidence, Anger, Frustration"
It’s my joke.,"Confidence, Excitement, Optimism"
It’s my joke.,"Contentment, Confidence, Excitement"
"Whoa-whoa-whoa. Jokes? You guys know they have naked chicks in there,right?","Surprise, Disgust, Excitement"
"Dude, you have got to turn on","Excitement, Anticipation, Optimism"
Let’s go watch it at your place.,"Happiness, Excitement, Anticipation"
"Nah, Monica’s watching some cooking show. Come on, I don’twant to miss when they were skinny.","Neutral, Excitement, Frustration"
"Chandler, Chandler, y’know what we should do? You and I should go outand get some new sunglasses.","Excitement, Anticipation, Optimism"
"What? No, I want to watch this. (He turns on the television and thescreen is completely covered in snow). Did your cable go out?","Confusion, Frustration"
"No, that’s",Neutral
"Joey, why is your cable out?","Neutral, Confusion, Frustration"
"I uh, oh! Because, uh, I haven’t really paid the bill","Surprise, Confusion, Frustration"
"If you need money, will you please-please just let me loan you somemoney?",Unknown
"No, Chandler. Look, forget about it, okay? Look, I know things have been alittle tight since Janine moved out. Oh, was she hot.","Anticipation, Confusion, Frustration"
Whoa ho.,"Surprise, Excitement"
"I know! Yeah, but, look I can handle it. All right? Look, I can listen tothe radio, huh? And Ross gave me this great book (holds up the","Happiness, Confidence, Excitement"
"(picks up the phone) All right, you want to see if the joke stealerwill let us watch the show at his place?","Excitement, Anticipation, Frustration"
Sure.,"Contentment, Confidence, Neutral"
"(with phone to ear, obviously hearing no dial tone) Paid your phonebill?","Neutral, Confusion, Frustration"
Not so much.,Neutral
(entering) Hey.,"Confidence, Neutral, Optimism"
(relieved) It’s only you.,"Happiness, Surprise"
Wh-wh-what are you doing?,"Fear, Surprise, Confusion"
We are looking at a,"Contentment, Confidence, Excitement"
"Oh, I want to look too! (She runs over and sits down and checks out apicture). Yikes!","Fear, Surprise, Excitement"
"So do you think that these pictures—Are, are they trying to tell astory?","Neutral, Confusion"
"Oh, yeah, sure. I mean, like in the case of this young woman, she haslost her clothes, so she rides naked on the horse, she’s crying out, ‘Where arethey, where are they?’","Sadness, Confusion, Frustration"
"Well, she’s not going to find them lying in the grass like that.",Neutral
"Oh, yeah. Aw, remember the days when you used to go out to the barn,lift up your shirt, and bend over?","Disgust, Nostalgia, Confusion"
,"Neutral, Confusion, Frustration"
"You see, now, I would date this girl. She’s cute, she’soutdoorsy, you know, and she knows how to build a fire. I mean, that’s got to come inhandy","Happiness, Contentment, Excitement"
"Okay, I’ve got a question. If you had to pick one of us to date,who would it be?","Confidence, Excitement, Anticipation"
(thinks) I don’t know.,"Neutral, Confusion, Frustration"
Me neither.,"Contentment, Neutral"
Rachel.,"Happiness, Excitement, Anticipation"
What?!,"Surprise, Confusion, Frustration"
I don’t know. (Pause) Me neither.,"Neutral, Confusion, Frustration"
You forget how many great songs Heart had.,"Happiness, Contentment, Nostalgia"
Yeah.,"Contentment, Confidence, Neutral"
"You know, Barracuda was the first song I learned to play on the keyboard.","Happiness, Contentment, Excitement"
"So, you heard it, you repeated it, so that must mean you wrote it.","Confidence, Disgust, Frustration"
"Oh, you guys, with this joke. I gotta say, I know I cracked up, butI’m not even sure I got it.","Confusion, Frustration"
"What, you didn’t get it? The doctor is a monkey.","Surprise, Confusion, Frustration"
And monkeys can’t write out prescriptions.,"Neutral, Confusion, Frustration"
"(stops laughing, to Ross) You are not allowed to laugh at my joke.","Confidence, Anger, Frustration"
"Your joke? Well, I think ‘the Hef’ would disagree, which is whyhe sent me a check for one hundred ah-dollars.","Confidence, Excitement, Optimism"
"So, you stole my joke, and you stole my money.","Anger, Disgust, Frustration"
"Well, I was going to stick it in the ATM, but now I think I’ll showthe sexy teller that I am a published writer.","Confidence, Excitement, Optimism"
"Well, she is going to know that you stole the joke.","Neutral, Confusion, Frustration"
"Oh, what are you going to do, follow me down there?","Confidence, Anger, Frustration"
Yeah!,"Happiness, Confidence, Excitement"
"Well, I’m not going to go now anyway (he goes to sit down).","Neutral, Frustration"
Okay (he goes to sit down).,"Contentment, Confidence, Neutral"
(handing Joey the bill) Here you go.,"Contentment, Confidence, Neutral"
"Ah, Gunther, I can’t pay for this right now because I’m notworking, so I’ve had to cut down on some luxuries like uh, payin’ for stuff.","Contentment, Sadness, Frustration"
"Well, if you want, you can work here.","Contentment, Confidence, Neutral"
"Uh, I don’t know. Ya see, it’s just, see I was a regular on asoap opera y’know? And to go from that to this, I just… Plus, I’d have towait on all my friends.","Nostalgia, Confusion, Frustration"
"Okay, but the money’s good, plus you get to stare at Rachel asmuch as you want.","Contentment, Excitement, Optimism"
What?!,"Surprise, Confusion, Frustration"
Flexible hours.,"Contentment, Neutral, Optimism"
Maybe I could be a waiter. Could I use the phone?,"Confidence, Neutral, Excitement"
"(visibly upset) She picked Rachel. I mean, she tried to back out of it,but it was obvious. She picked Rachel.","Sadness, Anger, Frustration"
"(visibly upset) He took my joke, he took it.","Sadness, Anger, Frustration"
It’s wrong. You know what else is wrong? Phoebe picking Rachel.,"Anger, Disgust, Frustration"
"You know who else picked Rachel? Ross, and you know what else Rossdid? He stole my joke. You know what? I’m going to get a joke journal. Y’know?And document the date and time of every single one of my jokes.","Anger, Confusion, Frustration"
That’s a good idea.,"Happiness, Contentment, Optimism"
Yeah!,"Happiness, Excitement, Optimism"
Do you know what’s a bad idea?,Neutral
Picking Rachel.,"Happiness, Excitement, Anticipation"
That’s right. (A noise comes from the living room.) Did you hearsomething?,"Fear, Surprise, Confusion"
Maybe it’s the sound of Ross climbing into my brain and stealingmy thoughts.,"Fear, Confusion, Frustration"
It’s coming from the living room.,"Neutral, Surprise, Anticipation"
(sheepishly) I finished my book. (Chandler and Monica slowly retreat backto bed.),"Happiness, Contentment, Love"
"(entering) Hey, you guys.","Happiness, Confidence, Excitement"
,"Neutral, Confusion, Frustration"
"(laughing) Oh, don’t you guys look cute. You guys makesuch a cute couple.","Happiness, Love, Excitement"
"Monica, what are you doing?","Neutral, Surprise, Confusion"
"(laughing harder) Nothing, I’m just trying to recreatesome of the fun that we had at my place the other day. (To Phoebe) Remember, when youpicked Rachel over me? That was funny.","Happiness, Nostalgia"
I guess it was kinda funny.,"Contentment, Neutral, Surprise"
(angrily) It wasn’t funny at all! Why would you do that?Why didn’t you pick me?,"Anger, Frustration"
Fine. The reason that I was leaning a little bit more toward Rachel thanyou is just that you’re … just … kinda high maintenance—Okaylet’s go to lunch!,"Neutral, Anticipation, Frustration"
"That is completely untrue. You think I’m high maintenance? Okay,prove it. I want you to make a list and we’re going to go through it point by point!","Confidence, Anger, Frustration"
"No, okay, you’re right. You’re easy-going. You’re justnot as easy-going as Rachel. She’s just more flexible and-and mellow. That’sall.","Neutral, Frustration"
"(To Monica) Well, people are different.","Contentment, Confidence, Neutral"
"Ya, you know, Rachel … she’ll do whatever you want.Y’know, you can just walk all over her.","Neutral, Sadness, Frustration"
"What? Wait a minute. What are you saying, that I’m a pushover?I’m not a pushover.","Anger, Confusion, Frustration"
"Oh, okay, (laughing) you’re not a pushover.",Happiness
"Oh my … you think I’m a pushover. Well wait, watch this, youknow what? You’re not invited to lunch. What do you think of that? I thinkthat’s pretty strong, that’s what I think. Come on, Monica, let’s go tolunch. (She leaves)","Confidence, Anger, Frustration"
"(to Phoebe) You start working on that list. (She grabs hercoat and leaves, too.)","Confidence, Neutral, Anticipation"
I cannot believe her.,"Sadness, Disgust, Frustration"
I know. Where do you wanna go eat?,"Happiness, Contentment, Excitement"
"Oh, oh, I love that Japanese place.","Happiness, Love, Excitement"
I’m sick of Japanese. We’re not going there.,"Neutral, Disgust, Frustration"
"All right, wherever you wanna go is cool.","Contentment, Confidence, Neutral"
All right.,"Contentment, Confidence, Neutral"
"(showing the Playboy magazine to Gunther) Oh, hey, Gunther, check thisout.","Confidence, Disgust, Excitement"
"Yeah, that-that Chandler cracks me up.","Happiness, Contentment"
"Hey Ross, listen, you want anything to drink, ‘cause I’m headingup there.","Confidence, Neutral, Excitement"
