Dialogue,Emotions
Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
"Hey uh Mon, I saw the Porsche parked out front, can I get the keys?Thought I’d take that bad boy out for a little spin.","Confidence, Excitement, Anticipation"
Wait a minute! (To Monica) You let,"Surprise, Confusion, Frustration"
"Yeah, well he’s my brother! And plus he drives so slow he couldnever hurt it.","Confidence, Disgust, Frustration"
It’s a car Monica! Not a rocket ship!,"Confusion, Frustration"
Whatever Ross! Just replace the bulbs in the brake lights afteryou’re done.,"Confidence, Disgust, Frustration"
(entering) Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
Hey!,"Happiness, Surprise, Excitement"
"Saw the Porsche out there Mon, lookin’ good. When do I get to takethat baby out again?","Confidence, Love, Excitement"
(shocked) You let Joey drive it?!,"Anger, Surprise"
"I’ve never driven it! Okay? Not once! Okay once. Okay, I drive itall the time.","Confidence, Frustration"
"Nice work everybody! So much for the y’know, You can driveit","Happiness, Contentment, Confidence"
Wow! I can’t believe you lied to me.,"Sadness, Anger, Surprise"
"Okay, I can fix this! Okay Monica, Rachel thinks all you can talk aboutis the wedding. (Rachel glares at her.)","Anger, Confusion, Frustration"
"Great! Well Rachel, the reason why I won’t let you drive thePorsche is because you’re a terrible driver. There! That wasn’t about thewedding.","Confidence, Anger, Frustration"
Look Rach if-if you want to go for a ride in the Porsche I’ll be gladto take you for a quick spin around the block.,"Happiness, Excitement, Anticipation"
"Yeah, you got a couple hours?","Confidence, Excitement, Anticipation"
Whew! That was a brisk ride!,"Happiness, Excitement, Anticipation"
Take the top down did ya?,"Happiness, Excitement, Anticipation"
Only way to fly.,"Happiness, Confidence, Excitement"
Come on Ross give me the keys! Monica does,Frustration
You’re fast and irresponsible. That adds up to a bad driver.,"Anger, Disgust, Frustration"
"Well in High School, that added up to head cheerleader.","Confidence, Excitement"
Did you see the look that girl just gave me? Huh? She must’ve seen mecruising in the bad boy.,"Anger, Disgust, Frustration"
I think she’s checking out your beehive Ross.,"Happiness, Surprise, Excitement"
What?! (Checks his hair.) Give-give me a brush.,"Surprise, Confusion, Frustration"
Gimme the keys!,"Confidence, Anger, Frustration"
No way!,"Surprise, Disgust, Confusion"
Well no brush!,"Disgust, Confusion, Frustration"
"Fine! Y’know what? It doesn’t matter, because, if I remembercorrectly, there is a comb on the floor of the bathroom.","Confidence, Disgust, Frustration"
(to the woman) Alimony. (Runs outside.),"Anger, Surprise, Frustration"
"Chandler, we still haven’t gotten an RSVP from your dad.","Confusion, Frustration"
"Oh! Right. Umm, maybe that’s because I didn’t send him aninvitation.","Surprise, Confusion, Frustration"
Chandler! He’s your father; he should be at the wedding.,"Sadness, Disgust, Frustration"
I don’t even know the man. Okay? We’re not the close. Ihaven’t seen him in years.,"Neutral, Confusion, Frustration"
Well what are you gonna do when he finds out he wasn’t even asked?!,"Anger, Fear, Frustration"
"Well he doesn’t have to know! It’s not like we run in thesame circles. I hang out with you guys, and he stars in a drag show in Vegas.","Confidence, Fear, Excitement"
"Ooh, I think I wanna trade circles.","Excitement, Anticipation, Optimism"
"Trust me, you don’t want him there either. Okay? Nobody is gonnabe staring at the bride when the father of the groom is wearing a back-less dress.","Confidence, Disgust, Frustration"
So what! As long as he’s not wearing a white dress and a veil Idon’t care.,"Neutral, Disgust"
"Okay, I think I need to do some shopping. (Gets up and leaves.)","Excitement, Anticipation, Optimism"
"Ahhh! (Gets in.) Ooh, nice!","Happiness, Contentment, Excitement"
My God!,"Fear, Surprise, Disgust"
What do you think you’re doing?!,"Anger, Surprise, Frustration"
Just washing the windshield. (She turns on the wipers forcing Ross offof the hood.),"Anger, Surprise, Frustration"
There is,Neutral
Oh.,"Neutral, Surprise, Confusion"
No ah-ah-ah! Do,"Anger, Confusion, Frustration"
"Look Ross, if you’re so freaked out, just get in the car!","Confidence, Anger, Frustration"
With you?! Yeah right!,"Anger, Frustration"
All right. (She starts off.),"Confidence, Neutral, Excitement"
"(grabbing the car) Okay! Okay! Okay! (He gets in, but into the back seat.)","Surprise, Confusion, Frustration"
What are you doing?! Get in the front!,"Anger, Confusion, Frustration"
In the death seat?!!,"Anger, Surprise, Disgust"
Oh my…,"Fear, Surprise, Disgust"
Hey guys!,"Happiness, Excitement, Optimism"
Hey!,"Happiness, Excitement, Anticipation"
Hey sweetie!,"Happiness, Love, Excitement"
Ready to go?,"Confidence, Excitement, Anticipation"
"Yeah! Sure! Ooh, I left my purse up at Monica’s. I’ll be rightback. (She goes to get it.)","Happiness, Contentment, Excitement"
(stopping her) Wait a minute!,"Surprise, Confusion, Frustration"
What? (He leans in to kiss her.) Oh. (They kiss and Phoebe pauses.) Ooh.(Pause) Whoa! That one kept going. (Exits.),"Surprise, Excitement, Confusion"
So! You and Phoebe huh? How long have you been going out?,Neutral
Over a month.,"Neutral, Anticipation, Frustration"
"Wow! Maybe uh, maybe you and I ought to get to know each other a littlebetter.","Happiness, Surprise, Excitement"
"Sure, I’d like that.",Happiness
"So uh, what’s your name?","Neutral, Anticipation"
(laughs) Its Jake.,"Happiness, Confidence, Surprise"
"Joey. (They shake hands.) Hey Jake, do you like the Knicks?","Happiness, Contentment, Excitement"
"Yeah, big fan.","Happiness, Contentment, Excitement"
