Dialogue,Emotions
Great. (Takes a picture.) Great! Just give me a sec to changefilm.,"Happiness, Confidence, Excitement"
Okay.,"Contentment, Confidence, Neutral"
"(To Monica) Okay, I know I’m not supposed to know, but I do. AndI’m so excited for you!","Happiness, Excitement, Anticipation"
What? What’s going on?,"Surprise, Confusion, Frustration"
Monica’s pregnant!,"Happiness, Surprise, Excitement"
Oh my God! Is that why you guys had to get married?!,"Fear, Surprise, Confusion"
Guys! I’m not pregnant.,"Confidence, Surprise"
Ah. (To Chandler) Slow swimmers? (Chandler looks at him.),"Neutral, Confusion, Frustration"
What?! What do you mean? You-you-you’re not pregnant?,"Surprise, Confusion, Frustration"
You didn’t tell anybody I was did you?!,"Anger, Fear, Frustration"
No! (Pause) I’ll be right back. (Exits.),"Confidence, Excitement, Anticipation"
Now why don’t we get a shot of just Monica and the bloodysoldier.,"Confidence, Excitement, Anticipation"
"(To Joey) Oh, about that. Joey, you have to change before the party.",Neutral
I can’t! I-I don’t have any other clothes here.,"Sadness, Confusion, Frustration"
Find some! Please! Anything that doesn’t say I-I died tragically inFrance. (Joey leaves to find clothes.),"Sadness, Frustration, Longing"
Well then why don’t we see the bride and the groom and thebridemaids.,"Excitement, Anticipation, Frustration"
"Okay. (Phoebe and Rachel join Monica and Chandler on the altar.) HeyMon, why did you tell the guys you weren’t pregnant?","Surprise, Confusion, Frustration"
Because I’m not.,"Neutral, Confusion, Frustration"
"We found your test in the trash, if you’re not pregnant—(Shesees Rachel shaking her head)—It’s because I am.","Surprise, Excitement, Confusion"
What?! What are you talking about?,"Surprise, Confusion, Frustration"
What are you talking about?,"Confusion, Frustration"
"Yes, I…I am with child. (Flash) And I didn’t want to sayanything because it’s your day; I didn’t want to steal your thunder.","Happiness, Surprise, Excitement"
Wait a minute! So you told people I was pregnant?! (Flash) Does thislook like a conversation that I want to remember?!,"Anger, Surprise, Frustration"
Who’s the father?,"Fear, Anticipation, Confusion"
Yeah!,"Happiness, Excitement, Optimism"
I can’t say.,"Neutral, Confusion, Frustration"
Why?!,"Surprise, Confusion, Frustration"
Why not?,"Confidence, Excitement, Optimism"
I can’t say because he’s famous.,"Neutral, Fear, Anticipation"
"Oh my God, who is it?! (Phoebe rolls her eyes.)","Fear, Surprise, Disgust"
"Phoebe, come on, you have to tell us.","Confidence, Frustration"
"Okay, okay. It’s James Brolin. James Brolin is the father of mybaby.","Happiness, Surprise, Love"
As in Barbara Streisand’s husband James Brolin?,Surprise
What?! Well he never said that to me!,"Surprise, Confusion, Frustration"
Why don’t we have Monica step away and we’ll getChandler and the bridemaids.,"Contentment, Confidence, Excitement"
How about just the bridemaids?,"Neutral, Confusion, Frustration"
Y’know I am the groom right? I was told it was kinda big deal.,"Excitement, Anticipation, Optimism"
It is.,Neutral
For you. (Chandler leaves.),"Neutral, Confusion, Frustration"
Oh my God!,"Fear, Surprise, Excitement"
"Oh, thank you for doing that. I just can’t deal with this justquite yet.",Neutral
So instead you told me Monica was pregnant.,"Neutral, Surprise, Frustration"
"You said that she was, I just didn’t disagree with you.","Neutral, Confusion, Frustration"
Sneaky.,"Neutral, Surprise"
Oh yeah.,"Happiness, Confidence, Excitement"
Smile ladies.,"Happiness, Contentment, Confidence"
Oh! (They smile and the picture is taken.) Oh by the way?,"Happiness, Surprise, Excitement"
Uh-hmm.,"Neutral, Confusion, Frustration"
James Brolin?,Neutral
"Oh, I know. I could only think of two names, him and Ed Begley Jr. andthen I remembered he’s gay.","Neutral, Surprise, Disgust"
Ed Begley Jr. is not gay.,"Confidence, Neutral, Surprise"
(intrigued) Really?!,"Surprise, Excitement"
"Thank you very much! Ladies and gentlemen, it gives me greatpleasure to introduce to you for the very first time, Mr. and Mrs. Chandler Bing!","Happiness, Excitement, Optimism"
Before we go out there I’ve got a present for ya.,"Happiness, Excitement, Anticipation"
"Honey, I’m going to put my hand in your pocket!","Love, Excitement, Anticipation"
No?,"Neutral, Confusion, Frustration"
No.,Neutral
I’ve been taking dancing lessons.,"Happiness, Confidence, Excitement"
What?!,"Surprise, Confusion, Frustration"
"Yeah, the last six weeks. I wanted this to be a moment you will neverforget.","Happiness, Excitement, Anticipation"
Oh that is so sweet!,"Happiness, Love, Excitement"
So? Would you care to join me in our first dance as husband and wife?,"Happiness, Love, Excitement"
Yes.,Neutral
What’s the matter?,Neutral
"I don’t know, it’s these new shoes, they’re allslippery.","Disgust, Confusion, Frustration"
"Well, are you going to be able to do this?","Confidence, Frustration"
Not well.,"Sadness, Confusion, Frustration"
"Well, the good news is, I don’t think anyone’s looking at us.","Contentment, Confidence"
"So, are you ready to talk about it?","Confidence, Anticipation, Frustration"
No.,Neutral
Now?,"Neutral, Anticipation, Confusion"
No!,"Sadness, Anger, Surprise"
"Okay, we’ll talk about something else then.","Neutral, Frustration"
Thank you.,"Happiness, Contentment, Neutral"
Who’s the father?!,"Surprise, Confusion, Frustration"
"Ugh! Look honey y’know what? I haven’t told him yet, so untilI do I don’t think I should tell anybody else.","Fear, Confusion, Frustration"
Yeah. That’s fine. That’s fair. Is it Tag?,"Neutral, Confusion, Frustration"
Phoebe!!,"Happiness, Surprise, Excitement"
"Okay, I’m sorry. I’ll stop.","Neutral, Frustration"
Okay.,Neutral
"Is it Ross? It’s Ross isn’t it—Oh my God, it’s Joey!","Surprise, Excitement"
"Honey, stop it! I am not going to tell you until I tell him.","Anger, Frustration"
Ah-hah! At least we know it’s a him.,"Confidence, Surprise, Excitement"
(seeing him) Oh sweet Lord.,"Surprise, Love, Excitement"
"I’m sorry! Okay? I went down to the gift shop and it’s eitherthis or a bathrobe! Look, what’s more important, the way I’m dressed or me beingwith you on your special day?","Sadness, Love, Frustration"
"Honey, I’m not even going to pretend I was listening. (Sees someoneelse.) Hey! Hey! (Goes over to that person.)","Happiness, Surprise, Excitement"
"Hi. I’m uh, I’m Ross. I don’t, I don’t believewe’ve met. I’m Monica’s older brother.","Neutral, Excitement, Confusion"
"Oh hi, I’m, I’m Mona from her restaurant.","Happiness, Confidence, Excitement"
"Oh! Hello uh, Mona from her restaurant. (He uses his card to mouth thosewords.) (Pause) Mona, wow what a, what a beautiful name.","Happiness, Surprise, Excitement"
You think so? I’ve always kinda hated it.,"Neutral, Disgust, Frustration"
"Aw come on, Mona Lisa?","Happiness, Excitement, Anticipation"
Uh-huh.,"Contentment, Confidence, Neutral"
"Mona umm…Clickclocken. The famous botanist? Huh? Oh no she’suh—well she’s dead now. No, supposedly she was once quite the hottie of theplant world.","Sadness, Surprise, Nostalgia"
Really?! Well see? I never knew about her.,"Surprise, Confusion"
"Linda Clickclocken. (Pause) So what uh, what-what table are you at? (Sheshows him.) Oh, uh me too.","Contentment, Confidence, Neutral"
Oh good. Now there’ll be someone there who likes my name.,"Happiness, Contentment, Optimism"
"(sexily) Yes there will. (Mona leaves and Ross tries to find the sametable.) Oh guess what, Molly Gilbert you’ve just been bumped up to table one. And ifit’s all right with you I’m gonna take your place at table six—MartinClickclocken.","Confidence, Excitement, Anticipation"
"That’s better, now just bend your arms a little more. There you go.Okay, look straight ahead. Now this time I want you to really put your ass into it. (Theydo a practice swing and she really puts her ass into it.)","Confidence, Excitement, Frustration"
"Chandler darling! Look, my date has finally arrived. I’d likeyou to meet Dennis Phillips.","Happiness, Confidence, Excitement"
Congratulations.,"Happiness, Contentment, Confidence"
Thank you.,"Happiness, Contentment, Neutral"
Dennis is a dear old friend and a fantastic lover.,"Happiness, Confidence, Love"
Bravo Dennis thanks for pleasing my mother so.,"Happiness, Contentment, Love"
"Oh, I’m so sorry I missed the ceremony, I was stuck atauditions.","Sadness, Frustration"
"Oh yes, Dennis is directing a new Broadway show.","Happiness, Confidence, Excitement"
"I don’t believe we’ve met, Joey Tribbiani.","Confidence, Neutral, Excitement"
Dennis Phillips,"Happiness, Contentment, Confidence"
"Wow, I’ve admired your work for years. You-you’ve done somereally amazing stuff.","Happiness, Excitement"
"Oh, thank you. Well if you’ll excuse me, I’m gonna goget myself a drink. Be back in a moment. (Walks away.)","Happiness, Contentment, Confidence"
Wow Dennis Phillips! That’s great! How did you guys meet?,"Happiness, Surprise, Excitement"
"Well, it’s a funny story.","Neutral, Surprise"
Funny: ha-ha or funny: (Mimes blowing his brain out.),"Happiness, Surprise, Disgust"
"Thank you, thank you very much. If everyone will please take yourseats, dinner will be served.","Happiness, Confidence, Excitement"
"Hey! Uh, I thought, I thought you were at table six.","Surprise, Confusion, Frustration"
"No, nine. (Shows him the card again.)","Happiness, Confidence, Frustration"
"Oh see, before you uh, when you showed it to me you-you held it that way(he turns her hand upside down) which uh, which was misleading. Well I’m… (Hegoes at sits down at his new table and the kids stare at him.) Hello.","Neutral, Confusion, Frustration"
"Chandler. Will you see if your mom can give my resume to Dennis Phillips?‘Cause if I can get in a Broadway show then I would’ve done it all, film,television, and theater. The only think left would be radio, and that’s just for uglypeople.","Confidence, Excitement, Optimism"
What size shoes do you wear?,"Neutral, Confusion, Frustration"
"Uh, eleven, eleven and a half.",Neutral
"Great, because my shoes are giving me a little problem on the dancefloor, can I borrow the boots from your costume?","Happiness, Confidence, Excitement"
"Uh, I don’t even really know where I left those. Sorry.","Neutral, Confusion"
(looking at Joey’s feet) Those aren’t eleven and a half.,"Disgust, Confusion, Frustration"
"Okay fine! I’m a seven! All right, I have surprisingly small feet.But the rest of me is good, I’ll show ya!","Confidence, Surprise, Excitement"
Can you,"Neutral, Confusion, Frustration"
Oh y’know what honey? Let’s not talk about that right now?,"Confidence, Neutral, Frustration"
This is so huge.,"Happiness, Confidence, Excitement"
"Sure, but come on, as big as your wedding?",Surprise
Of course not nothing is. Between me and you…,"Confidence, Neutral"
Yeah.,Neutral
…in this day and age how dumb do you have to be to get pregnant?,"Anger, Disgust, Frustration"
"Hey! Y’know, sometimes you can do everything right, everyone canwear everything they’re supposed to wear, and one of those little guys just getsthrough!","Disgust, Confusion, Frustration"
How?,"Anticipation, Confusion, Frustration"
I don’t know! Maybe they have tools.,"Neutral, Confusion, Optimism"
"Well I-I talked to and uh, she’s definitely going to have thisbaby. Y’know, she said she was gonna raise it on her own.","Neutral, Confusion, Frustration"
"Well, maybe that’s, maybe that’s really brave.","Neutral, Confusion, Optimism"
Maybe. I just hope she realizes how hard it’s gonna be.,"Sadness, Fear, Anticipation"
Maybe she hasn’t really thought it through that well.,"Neutral, Confusion, Frustration"
"Well, there’s a lot to think about. I mean, how is she, how is shegoing to handle this financially? How is she going to juggle work? Does she realizeshe’s not going to have a date again for the next eighteen years?","Sadness, Confusion"
(starting to cry) I don’t know.,"Sadness, Confusion, Frustration"
Are you okay?,Neutral
Uh-hmm. I’m just thinking about Phoebe; poor knocked up Phoebe.,"Sadness, Disgust"
Champagne?,"Happiness, Excitement, Anticipation"
"Oh yes! Thank you very much! (She grabs a glass, takes a sip, andrealizes what she just did. She then tries to spit the champagne back into the glasswithout Monica noticing. It doesn’t work.) Oh that’s-that’s actually howthe French drink it.","Happiness, Surprise, Disgust"
"Well, I just got off the phone with my lover, James Brolin…","Happiness, Love, Excitement"
Oh really?!,"Surprise, Excitement, Anticipation"
"Yes, and apparently he is married to some singer, but he said he wouldleave her for me. And I said, James","Confidence, Love, Excitement"
(interrupting) Rachel’s really the one who’s pregnant.,"Confidence, Surprise, Frustration"
(shocked) What?! (deadpan) Why bother?,"Confusion, Frustration"
How do you feel?,"Neutral, Confusion, Frustration"
I don’t know. I don’t know how I feel. This is all happeningso fast. I have to make all these decisions that I don’t want to make. (Takes anothersip of champagne and spits it back out) Somebody just take this away from me!!,"Fear, Confusion, Frustration"
Calm down. Maybe you’re not pregnant.,"Neutral, Confusion, Frustration"
What?!,"Surprise, Confusion"
"When I got pregnant with the triplets, I took that test like three timesjust to make sure.","Surprise, Excitement, Anticipation"
Yes! Maybe it’s a false positive. Are you sure you peed on thestick right?,"Happiness, Confidence, Frustration"
How many ways are there to do that?,"Confidence, Anticipation"
"I’m-I’m just saying, don’t freak out until you’re ahundred percent sure.","Confidence, Fear, Frustration"
"All right, I’ll-I’ll take it again when I get home.","Neutral, Frustration, Optimism"
"You-you gotta take it now. Come on, do it as a present to me.","Confidence, Anticipation, Frustration"
Okay. Thank you.,Neutral
Okay.,"Contentment, Confidence, Neutral"
I’ll run out and get you one.,"Happiness, Confidence, Excitement"
"Oh, you guys are so great.",Happiness
"Oh, wait a minute! Who’s is the father?!","Surprise, Confusion, Frustration"
"Oh no, she won’t tell us.","Neutral, Confusion, Frustration"
"Oh, come on it’s my wedding! That can be my present.","Happiness, Excitement, Optimism"
"Wh—Hey, I just gave you peeing on a stick.","Surprise, Confusion, Frustration"
