Dialogue,Emotions
Do you think they have yesterday's daily news?,"Neutral, Anticipation, Nostalgia"
Why?,"Neutral, Confusion, Frustration"
"Just wanna check my horoscope, see if it was right.",Anticipation
"Oh my God. (Grabs Phoebe and turns her away) Phoebe. Don't look now, butbehind us is a guy who has the potential to break our hearts and plunge us into a pit ofdepression.","Sadness, Fear"
"Where? (Turns to face him) Ooh, come to Momma.","Happiness, Love, Excitement"
"He's coming. Be cool, be cool, be cool.","Confidence, Anticipation, Frustration"
Nice hat.,"Happiness, Contentment, Excitement"
(in unison) Thanks.,"Happiness, Contentment, Excitement"
We should do something. Whistle.,"Confidence, Excitement, Anticipation"
We are not going to whistle.,Neutral
"Come on, do it.","Confidence, Excitement, Frustration"
No!,"Sadness, Anger, Surprise"
Do it!,"Confidence, Excitement, Anticipation"
No!,"Sadness, Anger, Frustration"
Do it do it do it!,"Excitement, Anticipation, Optimism"
(Shouts to the guy) Woo-woo!,"Happiness, Confidence, Excitement"
I can't believe you did that!,"Anger, Surprise"
"Why did I 'woo-hoo'? I mean, what was I hoping would happen? That-thathe'd turn round and say 'I love that sound, I must have you now'?","Confusion, Frustration, Longing"
"I just wish there was something we could do. (Bends down and talks tohim) Hello. Hello, Coma Guy. GET UP, YOU GIRL SCOUT! UP! UP! UP!","Anger, Confusion, Frustration"
"Phoebe, what are you doing?","Neutral, Confusion, Frustration"
Maybe nobody's tried this.,"Confidence, Excitement, Optimism"
"I wish we at least knew his name... Look at that face. I mean, evensleeping, he looks smart. I bet he's a lawyer.","Confidence, Anticipation"
"Yeah, but did you see the dents in his knuckles? That means he'sartistic.","Confidence, Surprise, Confusion"
"Okay, he's a lawyer, who teaches sculpting on the side. And- he candance!","Surprise, Excitement, Anticipation"
"Oh! And, he's the kinda guy who, when you're talking, he's listening,y'know, and not saying 'Yeah, I understand' but really wondering what you look like naked.","Confidence, Disgust, Excitement"
I wish all guys could be like him.,"Happiness, Contentment, Love"
I know.,Confidence
Are there no conscious men in the city for you two?,"Neutral, Confusion, Frustration"
He doesn't have anyone.,Sadness
"Yeah, we-we feel kinda responsible.","Sadness, Confusion, Frustration"
I can't believe you said woowoo. I don't even say woowoo.,"Surprise, Disgust, Frustration"
"Oh, she's coming up! She's coming up! (Turns on the TV)","Surprise, Excitement, Anticipation"
"(on TV) Folks, when we come back we'll be talking about her new book,'Euphoria Unbound': the always interesting Nora Tyler Bing. You might wanna put the kidsto bed for this one.","Surprise, Excitement, Anticipation"
"Y'know, we don't have to watch this.",Neutral
"No way, forget it.","Neutral, Disgust, Frustration"
"C'mon, she's your mom!","Contentment, Confidence, Love"
Exactly.,"Contentment, Confidence, Neutral"
"Chandler, I gotta tell you, I love your mom's books! I love her books! Icannot get on a plane without one! I mean, this is so cool!","Happiness, Love, Excitement"
"Yeah, well, you wouldn't think it was cool if you're eleven years oldand all your friends are passing around page 79 of 'Mistress Bitch.'","Sadness, Disgust, Frustration"
"C'mon, Chandler, I love your mom. I think she's a blast.","Happiness, Love, Excitement"
You can say that because she's not your mom.,"Neutral, Sadness, Frustration"
"Oh, please...","Neutral, Disgust, Frustration"
Bona sera.,"Contentment, Confidence, Neutral"
"Oh, hi sweetie. (They kiss)","Happiness, Love, Excitement"
When did Rigatoni get back from Rome?,"Neutral, Anticipation, Nostalgia"
Last night.,"Neutral, Excitement, Nostalgia"
"Ah, so then his plane didn't explode in a big ball of fire?... Just adream I had- but, phew.","Surprise, Confusion"
Hey hey hey! She's on!,"Happiness, Excitement, Anticipation"
Ah! Nora Bing!,"Surprise, Excitement, Anticipation"
(on TV) ...Now what is this about you-you being arrested i-in London?What is that all about?,"Fear, Surprise, Confusion"
Your mom was arrested?,"Sadness, Surprise"
"Shhh, busy beaming with pride.","Happiness, Excitement"
"(on TV) ...This is kind of embarrassing, but occasionally after I'vebeen intimate with a man...","Surprise, Confusion"
Now why would she say that's embarrassing?,"Surprise, Confusion, Frustration"
Shhh.,Neutral
(on TV) ...I just get this craving for Kung Pow Chicken.,"Excitement, Anticipation, Longing"
THAT'S TOO MUCH INFORMATION!!,"Surprise, Disgust, Frustration"
"(on TV) Alright, so now you're doing this whole book tour thing, howis that going?",Neutral
"(on TV) Oh, fine. I'm leaving for New York tomorrow, which I hate-but I get to see my son, who I love...","Sadness, Love, Excitement"
Awww!,"Happiness, Surprise, Excitement"
This is the way that I find out. Most moms use the phone.,"Neutral, Confusion, Frustration"
"(on TV) Y'know, don't take this wrong, I-I just don't see you a-as amom, somehow.. I don't mean that, I don't mean that bad...","Sadness, Fear, Confusion"
"(on TV) Oh no, I am a fabulous mom! I bought my son his firstcondoms.","Neutral, Surprise, Confusion"
...And then he burst into flames.,"Fear, Surprise, Excitement"
"Let's see. Congress is debating a new deficit reduction bill... themayor wants to raise subway fares again... the high today was forty-five... and- oh, teamsplayed sports.","Neutral, Confusion, Frustration"
What about Glen? He could be a Glen.,"Neutral, Confusion, Frustration"
Nah... not-not special enough.,"Neutral, Disgust, Frustration"
Ooh! How about Agamemnon?,"Surprise, Excitement, Anticipation"
Waaay too special.,"Happiness, Surprise, Excitement"
I am famished. What do I want... (Looks at Chandler's menu),"Happiness, Excitement, Anticipation"
Please God don't let it be Kung Pow Chicken.,"Fear, Disgust, Frustration"
"Oh, you watched the show! What'd you think?","Happiness, Excitement, Anticipation"
"Well, I think you need to come out of your shell just a little.","Confidence, Frustration, Optimism"
(Entering) What is this dive? Only you could've picked this place.,"Anger, Disgust, Frustration"
"Oooh, c'mon, shut up, it's fun. Gimme a hug. (They both sit down)Well, I think we're ready for some tequila.","Happiness, Contentment, Excitement"
I know I am.,"Contentment, Confidence, Optimism"
Who's doing shots?,"Excitement, Anticipation, Optimism"
Yeah.,"Neutral, Confusion, Frustration"
I'm in.,"Happiness, Confidence, Excitement"
There y'go. Ross?,"Happiness, Contentment, Excitement"
"Uh, I'm not really a shot drinking kinda guy.","Neutral, Disgust, Frustration"
"Hi! Sorry- sorry we're late, we, uh, kinda just, y'know, lost track oftime.",Unknown
...But a man can change. (Downs a shot),"Confidence, Frustration, Optimism"
