Dialogue,Emotions
Hey! You guys! You’re not gonna believe this! I just got off thephone with my agent…,"Confidence, Surprise, Excitement"
"Oh my God! (Joey looks at her.) I’m sorry, too soon. You go.",Surprise
Okay. I got nominated for my part on,"Happiness, Confidence, Excitement"
Joey!,"Happiness, Excitement, Anticipation"
Good for you!,"Happiness, Contentment, Confidence"
Congratulations! Wow! I can’t believe you’re nominated for an,"Happiness, Surprise, Excitement"
No-no.,"Disgust, Confusion, Frustration"
Oh,"Neutral, Surprise, Confusion"
No! I’m up for a Soapie!,"Confidence, Excitement, Optimism"
Honey? Is that something you’re making up?,"Confusion, Frustration"
"No, no, no! It’s real! And it has been since 1998. (Rachel returnsfrom the bathroom.) Hey Rach! Rach! I’m up for a Soapie!","Confidence, Surprise, Excitement"
(gasps) Oh my God! Oh my God!! That is like the third most prestigioussoap opera award there is!,"Happiness, Surprise, Excitement"
"Thank you! Well, I guess now I know who I’m taking to the awards.(Points to Rachel.)","Happiness, Confidence, Excitement"
"Oh, stop that! Don’t kid about that! (Gasps) Will all the stars bethere?","Fear, Surprise, Excitement"
Many are scheduled to appear.,"Confidence, Neutral, Excitement"
Oh my God! Oh my God! I can’t go! I’m gonna be too nervous!,"Fear, Surprise"
"(to Joey) Okay, I’ll go!","Confidence, Excitement, Anticipation"
No!! You are getting married! This is all I have.,"Sadness, Frustration, Longing"
…and it was Ernst Muhlbrat who first hypothesized that theVelociraptor would expand it’s collar and emit a high pitched noise to frightenit’s predator. (A student raises his hand.) Yes Mr. Lewis?,"Confidence, Excitement"
What kinda noise?,"Neutral, Confusion"
Just a high pitched intimidating noise.,"Neutral, Fear"
But like how?,"Confusion, Frustration"
"Well we-we don’t know for sure. But in my head it-it soundedsomething like this. (He makes a high pitched noise and Alan doesn’t know what tomake of it.) Of course, this is just conjecture. Okay, that’s uh, that’s all fortoday. (Everyone starts to get up.) Uh Mr. Morse, can I see you for a moment?","Anticipation, Confusion, Frustration"
Yes sir.,"Confidence, Neutral"
"Mr. Morse I need to talk to you about your mid-term exam, I’m afraidI-I had to fail you.","Sadness, Fear, Frustration"
(shocked) Why?!,"Surprise, Confusion"
Well you need 60% to pass…,"Neutral, Confusion, Frustration"
What’d I get?,"Excitement, Anticipation, Optimism"
Seven.,Neutral
That’s not so good.,"Neutral, Sadness, Disgust"
No-no it’s not. What-what happened there Ned?,"Surprise, Confusion, Frustration"
Well maybe you can cut me some slack. I’m sort of in love.,"Love, Excitement, Longing"
"Well I’m sorry but, that-that’s really not my problem.","Confidence, Neutral, Frustration"
I’m in love with you.,"Happiness, Love, Excitement"
Well that brings me in the loop a little.,"Contentment, Confidence, Neutral"
"You see, that’s why I did so bad on this test. I’m having ahard time concentrating. When you’re up there (Points to the podium) and you’reteaching and your face gets all serious…you look so good. (In a sexy voice) You wearthat tight little turtleneck sweater…","Confusion, Frustration, Longing"
"Okay! (Walks away from him.) Umm, I uh, I’m your teacher. I’msorry, you’re-you’re a student and I-and I like women. In spite of what may bewritten on the backs of some of these chairs.","Fear, Confusion, Frustration"
Oh my God! That guy at the counter is totally checking you out!,"Happiness, Surprise, Excitement"
"Really? (Looks.) My God, he’s really cute.","Surprise, Love, Excitement"
Go for it.,"Confidence, Excitement, Optimism"
