Dialogue,Emotions
Happy birthday!!!,"Happiness, Love, Excitement"
Happy birthday!!!,"Happiness, Love, Excitement"
Rach! Come on! Rach!,"Excitement, Anticipation, Frustration"
It’s your birthday!,"Happiness, Excitement, Anticipation"
(entering from her room) Hey.,"Happiness, Confidence, Excitement"
(To Monica) She’s not as pretty as she was when she was 29.,"Sadness, Surprise, Disgust"
Ms. Green would like to establish some ground rules before she comes out.She would appreciate it if you don’t use the words old or downhill or (To Joey) theystill look pretty damn good. (Joey smiles and everyone glares at him.),"Neutral, Confusion, Frustration"
They do!,"Happiness, Confidence, Excitement"
Rachel! Come on out! Monica made breakfast!,"Happiness, Excitement, Anticipation"
Chocolate-chip pancakes!,"Happiness, Excitement, Anticipation"
We’ve got presents!,"Happiness, Excitement, Anticipation"
Good ones?,"Happiness, Excitement, Optimism"
They all came from the list you handed out to us two weeks ago.,"Contentment, Confidence, Neutral"
"Well, can I keep the presents and still be 29?","Happiness, Excitement, Optimism"
"Come on Rach! Look, turning thirty is not that big a deal.","Neutral, Confusion, Frustration"
Oh really. Is that how you felt when you turned thirty?,"Neutral, Surprise, Confusion"
(screaming) Why God?!! Why?!! We had a deal!! Let the others grow old! Notme!! (He buries his head in Phoebe’s lap for comfort.),"Sadness, Anger, Frustration"
"Y’know, I’m still 29 in Guam.","Contentment, Confidence, Excitement"
"Hey, 30 is not that old! Do you know how old the Earth is?","Confidence, Surprise, Optimism"
Late thirties? Oh come on you guys! Is it just me? Am I overreacting tothis?,"Anger, Confusion, Frustration"
"No Rach, it’s not just you. My thirtieth birthday certainlywasn’t that much fun.","Sadness, Nostalgia, Frustration"
(screaming) And now Chandler! We’re all gettin’ so old! (Lookingup) Why are you doing this to us?! (Turns away crying.),"Sadness, Anger, Frustration"
"Rach, you’re in a great place in your life. Come on, you’vegot a great job! Good friends…","Happiness, Contentment, Optimism"
"Yeah, you’re roommate is a soap opera star.","Happiness, Surprise, Excitement"
"Look, y’know I know my life’s going pretty well, but I lookaround and I just see so many people who’ve accomplished so many other goals by thetime they’re thirty.",Frustration
"Yeah, but you shouldn’t compare yourself to me.","Neutral, Confusion, Frustration"
Come on Phoebe! You can do it Phoebe! Come on!,"Confidence, Excitement"
There you go!,"Happiness, Confidence, Excitement"
"I did it! One mile on a hippity-hop! That’s it!! That’severything I wanted to do before I was thirty. Oh, except I wanted to patch things up withmy sister. But oh well. Yay!! (They all cheer again.) And-and girls this thing is aGodsend if you know what I mean. (Rachel and Monica look intrigued and as they all headinto Central Perk, Rachel picks up the hippity-hop that Phoebe left behind.)","Happiness, Contentment, Excitement"
"Thirty. Ugh, I mean thirty! Monica, do you remember mean, old Mrs.Kreeger in the fifth grade? She was thirty!","Disgust, Nostalgia, Frustration"
"Come on, let’s have some fun. Huh? (To Rachel) What do you want to dotoday?","Happiness, Excitement, Anticipation"
Nothing. I don’t want to do anything.,"Neutral, Sadness, Frustration"
"Well, doing nothing on your thirtieth is better than doing somethingstupid, like Ross.",Neutral
Hey! That was a practical purchase! I needed that car for transportation!Okay? I-I have a child!,"Confidence, Frustration"
"How hot do I look in this, huh?!","Confidence, Excitement, Optimism"
"Ross, a sports car? Wouldn’t it have been cheaper to just stuff asock down there?",Unknown
That’s not what this is about okay? I-I am a sports car enthusiast. Ihave,"Excitement, Confusion, Frustration"
"Hey, what’s the horsepower on this thing?","Confidence, Excitement"
"(giddy) I don’t know, but-but look how shiny!","Surprise, Excitement"
I can’t believe you bought this.,"Surprise, Disgust, Frustration"
"Really! God Ross, what were you thinking? (To Phoebe, quietly) I knowit’s really shallow, but a part of me wants him again.","Disgust, Frustration, Longing"
"Oh, well get in line missy. (To Ross) So, can I have a ride stud?",Confidence
Hop in. (Phoebe hops in.) Get ready for the smoothest ride of your life.,"Confidence, Excitement, Optimism"
Damnit! (Shuts the car off.),"Anger, Disgust, Frustration"
"(getting out) Okay, who’s next?","Confidence, Excitement, Anticipation"
"Y’know what? I am going to do something today. I’m not justgonna sit around like some old lady. I’m gonna get something pierced. Like my uh,like my nose or my tongue or something.","Happiness, Confidence, Excitement"
Really?! ‘Cause y’know that hurts.,"Sadness, Surprise, Frustration"
So what?! Y’know what? The way I see it—(Phoebe pulls out ahair from the back of her head)—Ow! Son of a bitch!!,"Anger, Surprise, Frustration"
"Look Rachel, I know what you’re going through. I’m totallyfreaked about turning 25.","Sadness, Fear"
"(glares at him) Get out, get out of my apartment.","Anger, Disgust, Frustration"
"All right Rach, for what it’s worth, I think that you’re doinggreat. I mean y’know let’s face it, no one handles this well.",Unknown
Least of all you.,"Confidence, Sadness, Frustration"
Why? What you’d do?,"Confidence, Confusion"
Weren’t you asked to leave sonny?,"Surprise, Disgust, Frustration"
(To Joey) Would you put that back on?! Monica’s gonna be here anyminute!,"Anticipation, Frustration"
But it hurt’s my Joey’s Apple.,"Sadness, Anger, Frustration"
"(frustrated) Okay, for the last time. It’s not named for eachindividual man.","Anger, Confusion, Frustration"
(To Chandler) You’ve done a wonderful job with this partyChandler. Everything looks so lovely.,"Happiness, Contentment, Confidence"
