Dialogue,Emotions
"Hey, you guys!","Happiness, Confidence, Excitement"
"So, what do you think?","Neutral, Anticipation, Confusion"
About what?,"Neutral, Confusion, Frustration"
"Yeah, what?","Neutral, Confusion, Frustration"
What?,"Surprise, Confusion, Frustration"
"Are you kidding? Okay, I’ll give you a hint; I’ll give you ahint. (Points to his glasses.)","Confidence, Excitement, Anticipation"
"Eyes! No, no. Your eyes! No. Chandler’s eyes!","Surprise, Confusion, Frustration"
I got glasses!,"Happiness, Confidence, Excitement"
"Well, you-you’ve always had glasses.","Neutral, Confusion, Frustration"
No I didn’t!,"Confidence, Anger, Frustration"
Are you sure?,"Confidence, Confusion, Frustration"
"Yeah-yeah, did-didn’t you use to have a pair? They were reallyround, burgundy, and they made you look kind of umm…","Nostalgia, Confusion, Frustration"
Feminine.,"Neutral, Confusion, Frustration"
Yes!,"Happiness, Excitement, Optimism"
No!,Anger
"Sweetie, I think the glasses look great. They make you look really sexy.","Happiness, Contentment, Love"
Really?,Surprise
Yeah!,"Happiness, Excitement, Optimism"
"(sitting down on the arm of her chair) You didn’t think I used towear glasses, right?","Confidence, Surprise, Excitement"
"Of course! (She mouths, I have no idea","Surprise, Confusion, Frustration"
So what do you guys want for an engagement present?,"Happiness, Excitement, Anticipation"
"That’s okay Pheebs, we’re not having a party or anything, soyou don’t have to get us…","Contentment, Neutral, Confusion"
"(interrupts him) If someone wants to give us a present, we don’twant to deprive them of that joy.","Happiness, Contentment, Love"
"Oh, y’know what you should get ‘em? One of those little uh,portable CD players.","Happiness, Excitement, Optimism"
"Oh, I already have one.","Contentment, Confidence, Neutral"
Not unless someone borrowed it and left it at the gynecologist.,"Surprise, Confusion"
"Yeah, and-and-and by someone, she means Joey.","Confidence, Excitement, Anticipation"
"Hey, I know I what I want!","Confidence, Excitement, Optimism"
What,"Surprise, Confusion, Frustration"
"No, you don’t want this. I want to have your grandmother’scookie recipe.","Contentment, Nostalgia, Longing"
You mean the chocolate chip cookie recipe?,"Happiness, Contentment, Excitement"
"Uh-huh, yeah.",Neutral
You mean the one that my grandmother made me swear on her deathbed thatI would never let out of our family?,"Sadness, Fear, Confusion"
Dying people say the,Sadness
I wanted it for years! I was gonna make cookies for my children.,"Excitement, Frustration, Longing"
"Break my heart—Oh, all right.","Sadness, Confusion, Frustration"
Okay. I’m gonna be the mom that makes the world’s bestchocolate chip cookies.,"Confidence, Excitement, Optimism"
Our kids are gonna be,"Happiness, Excitement, Optimism"
(entering) Ahoy!,"Happiness, Confidence, Excitement"
Hey! How’s the boat?!,"Happiness, Excitement, Anticipation"
Great! I’m finally getting into this sailing stuff.,"Happiness, Confidence, Excitement"
"Oh, so you finally took it out of the marina huh?","Neutral, Surprise, Nostalgia"
Why would I do that? It took three guys to get the thing in there!,"Neutral, Confusion, Frustration"
"If you don’t sail your boat, what do you do on it?",Confusion
"Oh, it’s great! It’s a great place to just kinda, sit, hangaround, drink a few beers, eat some chips. (He says that as he sits, hangs around, drinksa beer, and eats a chip.)","Happiness, Contentment, Excitement"
"Well, it’s good that you finally have a place to do that.","Happiness, Contentment"
"Y’know Joey, I could teach you to sail if you want.","Confidence, Excitement, Optimism"
You could?,"Confidence, Excitement, Optimism"
Yeah! I’ve been sailing my whole life. When I was fifteen my dadbought me my own boat.,"Happiness, Excitement, Nostalgia"
Your own boat?,"Surprise, Excitement, Anticipation"
What?! What?! He was trying to cheer me up! My pony was sick.,"Sadness, Surprise, Frustration"
Do you know what I was thinkin’?,"Surprise, Excitement, Anticipation"
What?,"Surprise, Confusion, Frustration"
"Nothing, I just like to go like this. (Does it again.)","Happiness, Confidence, Excitement"
"(entering from the bathrooms) Hey Chandler, what are you doing tonight?","Excitement, Anticipation"
"Uh why, do you have a lecture?","Neutral, Confusion, Frustration"
"No, why?","Neutral, Confusion"
Then free as a bird. What’s up?,"Happiness, Contentment, Excitement"
My dad wanted to know if you wanted to play racquetball with us.,"Happiness, Excitement, Anticipation"
"Wow! That’s great! Dad must really like you, he doesn’t askjust anyone to play.","Happiness, Confidence, Excitement"
"Yeah and he didn’t really ask for you, he asked for Chancy, I assumedhe meant you.","Confusion, Frustration, Optimism"
"Well, did-did you correct him?","Neutral, Confusion, Frustration"
"No, I-I thought it would be more fun this way.","Confidence, Excitement, Anticipation"
"This is so cool, maybe this is something you can do every week.","Happiness, Excitement, Optimism"
Or you can sit with him on the front porch and make sure no one steals thetrash cans. He does that every week too.,"Contentment, Neutral, Frustration"
"Oh, just so you know, you-you","Surprise, Confusion, Frustration"
Yeah.,Neutral
He,"Contentment, Confidence, Optimism"
"Oh no problem, maybe I’ll play with my left hand.","Contentment, Confidence, Optimism"
You’re not a lefty?,"Neutral, Confusion, Frustration"
Does anybody know me?!,"Confusion, Frustration, Longing"
What’s wrong Phoebe?,Neutral
I just went to my old apartment to get you the-the cookie recipe and the,"Happiness, Excitement, Nostalgia"
No!! Why didn’t you make a copy and-and keep it in a fireproof boxand keep it at,"Fear, Confusion, Frustration"
(pauses as he figures out how to answer that) Because I’m normal!That was the,"Neutral, Confusion, Frustration"
"Oh, we have to get you an engagement present?","Excitement, Anticipation, Optimism"
Don’t worry about it Pheebs.,"Contentment, Confidence, Neutral"
No one got me an engagement present.,"Sadness, Frustration"
"Okay, here I wish you health and happiness. (She hands Monica a cookiein a plastic baggie.)","Happiness, Love, Excitement"
An old cookie?,"Neutral, Nostalgia, Confusion"
(To Chandler) This is what happens when you don’t register forgifts!,"Anger, Disgust, Frustration"
"See no-no, I made a batch and I froze it, and this is the only one left.","Happiness, Contentment"
We can’t accept this.,"Neutral, Disgust, Frustration"
Why not?,"Confidence, Excitement, Optimism"
‘Cause it’s gross.,Disgust
No! Wait! I think I can figure out the recipe from this cookie! I dostuff like this at work all the time.,"Confidence, Excitement, Optimism"
Really?!,"Surprise, Excitement, Optimism"
Yeah! I bet I can do it.,"Happiness, Confidence, Excitement"
"Okay, we owe you a present.","Happiness, Contentment, Optimism"
Two! I’ve been engaged twice!,"Happiness, Confidence, Excitement"
(drinking a beer) Look at this clown! Just because he’s got a biggerboat he thinks he can take up the whole river. (Yelling) Get out of the way jackass! (ToRachel) Who names his boat Coast Guard anyway?,"Anger, Disgust, Frustration"
That,Neutral
"What are they doing out here? The coast’s all the way over there.(Points to the coast, meanwhile there is coast behind him.)","Surprise, Confusion, Frustration"
"Joey, just ignore the boats all right? We’re not finished with thelesson yet.","Confidence, Neutral, Frustration"
All right.,Neutral
"Okay, I’m just gonna go over the basic points just one more time,are you ready?","Confidence, Neutral, Frustration"
"Come on Rach, not again. I got it! Okay? Let’s start sailing, and Iwant to go over there (Points) where that boatload of girls is! (Yelling to them)Yo-ho-ho!","Confidence, Excitement, Anticipation"
"Oh, okay. Is that what you want to do? You wanna go over and give alittle shout out to the old, hot chickas? Okay, let’s do that Sailor Joe. Quickquestion though, (grabs some of the rigging) what’s this called?","Confidence, Excitement"
"Uh, boat rope.","Neutral, Confusion, Frustration"
Wrong! How do you get the mainsail up?,"Confidence, Confusion, Frustration"
"Uhh, rub it?","Disgust, Confusion, Frustration"
