Dialogue,Emotions
"Hey, what’s going on?","Neutral, Confusion"
Hey.,Neutral
"I found a note on my door, Come to Monica’s quick","Surprise, Excitement, Anticipation"
(grabbing the candy bar) Yeah I’ll take that.,"Contentment, Confidence, Excitement"
What’s up?,"Happiness, Contentment, Excitement"
Monica and I are engaged.,"Happiness, Love, Excitement"
Oh my God. (Hugs Chandler.) Congratulations.,"Happiness, Surprise, Excitement"
Thanks.,"Happiness, Contentment, Neutral"
Where is she?,"Sadness, Fear, Anticipation"
(yelling at the top of her lungs) I’m engaged!!!!!! I’mengaged!!!!,"Happiness, Surprise, Excitement"
"Yeah, she’s been out there for twenty minutes, I’m surprised youdidn’t hear her on the way over.","Surprise, Confusion, Frustration"
"Oh, I thought it was just a kid yelling, I’m gay! I’mgay!"" Can I bring her in?""","Happiness, Surprise, Confusion"
"Oh no, let her stay out there. It’s sweet.","Contentment, Neutral, Love"
"I’m getting married!!!! I’m gonna be a bride!!!! (Someone elseyells at her.) No, I will not shut up because I’m engaged! (He yells again.) Ohh, bigtalk! Huh, why don’t you come over here and say that to me?! Huh, buddy?! Yeah, myfiancee will kick your ass! (Chandler starts to look worried.) Come on, apartment 20!Apartment 20!","Confidence, Excitement, Frustration"
"(To Ross) Okay, you get her in here. (To Joey) You bolt the door.I’ll be in the closet.","Confidence, Excitement, Anticipation"
"Okay! Wait-wait-wait! Shhh! (Bangs on her class with a spoon to make atoast.) Okay, umm, I just wanna say that…I love you guys so-so much and-and thank youfor being here on my special night. (Chandler clears his throat.) Our special night. Imean it just wouldn’t be my—our-our night, if you all weren’t here tocelebrate with me—us—Damnit!","Love, Excitement, Frustration"
"It’s okay, I want this to be your night too. (Raises his class.)To Monica.","Happiness, Love, Excitement"
"Awww, come on—wait—stop it. Okay, to Monica.","Excitement, Frustration, Longing"
To Monica!,"Happiness, Love, Excitement"
"So have you decided on a band for the wedding? Because, y’know,I’m kinda musical.","Confidence, Excitement, Anticipation"
"Yeah Pheebs, honey, she just got engaged a couple of hours ago. I doubtshe’s even had time to…","Happiness, Excitement, Anticipation"
"Well speaking of chiming in, remember the time you burned down myapartment?","Anger, Nostalgia, Frustration"
"(To Monica) Yeah, you’re on your own.","Confidence, Neutral"
Y’know what we should do? We should all get dressed up and go tohave champagne at,"Excitement, Anticipation, Optimism"
"But I-I-I can’t stay too long, I gotta get up early for a commercialaudition tomorrow and I gotta look good. I’m supposed to be playing a 19-year-old.(Everyone stops in their tracks upon hearing this.) What?","Surprise, Excitement, Anticipation"
"So when you said, Get up early","Confidence, Disgust, Frustration"
You guys don’t think I look 19?,"Confidence, Surprise, Frustration"
"Oh, 19! We thought you said 90!","Surprise, Confusion, Frustration"
"Okay everybody, let’s go! Let’s go!","Confidence, Excitement, Anticipation"
Okay.,Neutral
Okay.,Neutral
"(To Phoebe) Hey, is uh the rest of my candy bar around here?","Neutral, Anticipation, Frustration"
"Oh honey no, you ate it all.","Contentment, Sadness, Frustration"
I was afraid of that.,"Sadness, Fear, Confusion"
(looking at her hand) Y’know what shoes would look great with thisring? Diamond shoes! (Sees Chandler sitting on the bed.) You’re not getting dressed.(Chandler quietly folds over the comforter on the bed making a spot for her.),"Happiness, Love"
Know what I mean?,"Confidence, Neutral, Frustration"
"Yeah, but I don’t think we have time.","Neutral, Frustration"
There’s gonna be a wedding. You’re gonna be the bride. Twohundred people are going to be looking at you in a clean white dress.,"Happiness, Excitement, Anticipation"
(lustily) Let’s do it! (She kisses him and they fall back onto thebed.),"Love, Excitement, Anticipation"
"(chasing after him) Chandler! It happens to lots of guys! You-you-youwere probably tired, you had a lot of champagne, don’t worry about it!","Confidence, Optimism"
"(motioning with his hands) I’m not worried, I’m uh, I’mfascinated. Y’know it’s like uh, Biology! Which is funny because in high schoolI uh, I-I failed Biology and tonight Biology failed me. (Exits as Phoebe enters from herroom with her guitar.)","Excitement, Confusion, Frustration"
"Check it out. Okay, I can play this when the guests are coming in. Okay.(Singing)","Happiness, Confidence, Excitement"
Phoebe!,"Happiness, Love, Excitement"
"If you would’ve let me finish, it goes on to say that he’sprobably not gay.","Confusion, Frustration, Optimism"
"Sure, you guys don’t have this problem, you’re made of wood.(Rachel comes out of the bathroom) Hey!","Happiness, Surprise, Confusion"
Hey!,"Happiness, Surprise, Excitement"
You look great!,"Happiness, Confidence, Excitement"
"(quietly) Oh, thanks.",Neutral
You okay over there?,Neutral
"I don’t know, y’know? I feel a little umm… No,y’know what? Nevermind, I’m gonna be fine.","Confusion, Frustration, Optimism"
