Dialogue,Emotions
(on the bike) I’m ready!,"Confidence, Excitement"
You sure?,"Confidence, Neutral"
Uh-huh!,"Confidence, Excitement, Optimism"
"Okay, let me just straighten out your helmet there. (Does so.)","Happiness, Contentment, Confidence"
(To Chandler) Thanks daddy.,"Happiness, Love, Excitement"
"No-no, one daddy, two","Happiness, Confidence, Excitement"
Okay. Okay.,"Neutral, Confusion, Frustration"
Yes! Yes! Yes!! (Everyone stands and claps.),"Happiness, Excitement, Optimism"
"His first big kid’s bike, this is so exciting!","Happiness, Excitement, Anticipation"
"Oh yeah, I remember mine! Ohh, it was my sixth birthday, my dad took meto the park, I got it, and…it bent.","Excitement, Nostalgia, Frustration"
Yeah.,Neutral
I never had a bike of my own.,"Neutral, Nostalgia, Longing"
(shocked) What?!,"Fear, Surprise"
"Well, we didn’t have a lot of money. But the girl across the streethad the","Contentment, Neutral, Nostalgia"
That sounds like my first bike. (They all turn and look at him.) Mydad gave me his old one.,"Happiness, Surprise, Nostalgia"
Ohh.,"Surprise, Disgust, Confusion"
Did the girl ever let you ride it?,"Excitement, Anticipation, Frustration"
No! But she gave me the box that it came in. It had a picture of thebike on the front. (They’re all speechless) So I would sit on it and my step-dadwould drag me around the backyard.,"Contentment, Excitement, Nostalgia"
That is so unfair!,"Anger, Frustration"
"Not really, I got to drag him around too! (They all nod,Oh."")""","Contentment, Neutral, Frustration"
Hey! What are you guys doing?,"Happiness, Excitement"
Hey.,"Neutral, Confusion, Longing"
Making holiday candy for the neighbors.,"Happiness, Contentment, Excitement"
"I’m sorry, who?","Disgust, Confusion, Frustration"
I’m gonna hang this basket (Points to the one sitting on the table)on the door and when the neighbors walk by they can all take a piece.,"Excitement, Anticipation, Optimism"
But we don’t know the neighbors.,Neutral
"I do. There’s uh, let’s see, Guy With a Mustache, Smokes-A-LotLady, Some Kids I’ve Seen, and A Red-haired Guy Who Does Not Like To Be Called Rusty.","Contentment, Neutral, Nostalgia"
See? This is,"Happiness, Confidence, Excitement"
Wouldn’t it be easier if we just moved?,"Neutral, Frustration, Optimism"
