Dialogue,Emotions
"What you guys don't understand is, for us,kissing is as important as any part of it.","Confidence, Love, Excitement"
"Yeah, right!.......Y'serious?",Surprise
"Oh, yeah!","Happiness, Excitement, Optimism"
Everything you need to know is in that first kiss.,"Love, Excitement, Anticipation"
Absolutely.,"Happiness, Contentment, Confidence"
"Yeah, I think for us, kissing is pretty much like an opening act,y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floydcomes out.","Excitement, Anticipation, Optimism"
"Yeah, and-and it's not that we don't like the comedian, it's that-that...that's not why we bought the ticket.","Neutral, Confusion, Frustration"
"The problem is, though, after the concert's over, no matter how greatthe show was, you girls are always looking for the comedian again, y'know? I mean, we'rein the car, we're fighting traffic... basically just trying to stay awake.","Neutral, Frustration, Longing"
"Yeah, well, word of advice: Bring back the comedian. Otherwise next timeyou're gonna find yourself sitting at home, listening to that album alone.","Anger, Frustration"
(pause)....Are we still talking about sex?,"Surprise, Disgust, Confusion"
"No, it's good, it is good, it's just that- mm- doesn't she seem a littleangry?","Neutral, Confusion, Frustration"
"Well, she has issues.","Neutral, Sadness, Disgust"
Does she.,"Neutral, Confusion, Frustration"
"He's out banging other women over the head with a club, while she sitsat home trying to get the mastodon smell out of the carpet!","Anger, Disgust, Frustration"
"Marsha, these are cave people. Okay? They have issues like 'Gee, thatglacier's getting kinda close.' See?",Unknown
"Speaking of issues, isn't that your ex-wife?","Surprise, Disgust, Nostalgia"
(trying to ignore her) No. No.,"Neutral, Confusion, Frustration"
"Yes, it is. Carol! Hi!","Happiness, Surprise, Excitement"
"Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you inthe Ice Age.","Excitement, Anticipation"
Hi.,Neutral
So.,"Neutral, Confusion, Frustration"
"You look great. I, uh... I hate that.","Neutral, Sadness, Frustration"
Sorry. You look good too.,"Happiness, Contentment, Confidence"
"Ah, well, in here, anyone who... stands erect... So what's new? Still,uh...","Neutral, Confusion, Frustration"
A lesbian?,"Surprise, Disgust, Confusion"
"Well... you never know. How's, um.. how's the family?","Neutral, Nostalgia, Confusion"
"Marty's still totally paranoid. Oh, and, uh-",Frustration
"Why- why are you here, Carol?","Fear, Surprise, Confusion"
I'm pregnant.,"Happiness, Excitement, Anticipation"
Pregnant?!,"Fear, Surprise, Excitement"
"Oh, I think this is the episode of Three'sCompany where there's some kind of misunderstanding.","Excitement, Anticipation, Nostalgia"
...Then I've already seen this one! (Turns off the TV.),"Neutral, Confusion, Frustration"
(taking a drink from Joey) Are you through with that?,"Contentment, Confidence, Neutral"
"Yeah, sorry, the swallowing slowed me down.","Neutral, Frustration"
Whose little ball of paper is this?!,"Anger, Confusion, Frustration"
"Oh, uh, that would be mine. See, I wrote a note to myself, and then Irealised I didn't need it, so I balled it up and... (sees that Monica is glaring at him)...now I wish I was dead.",Fear
"She's already fluffed that pillow... Monica, you know, you've alreadyfluffed that- (Monica glares at her.) -but, it's fine!","Neutral, Anger, Frustration"
"Look , I'm sorry, guys, I just don't wanna give them any more ammunitionthan they already have.","Neutral, Fear, Frustration"
"Yes, and we all know how cruel a parent can be about the flatness of achild's pillow.","Neutral, Confusion, Frustration"
"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you'relike all chaotic and twirly. And not-not in a good way.","Fear, Confusion, Frustration"
"Yeah, calm down. You don't see Ross getting all chaotic and twirly everytime they come.","Confidence, Neutral, Frustration"
"That's because as far as my parents are concerned, Ross can do no wrong.Y'see, he's the Prince. Apparently they had some big ceremony before I was born.","Neutral, Confusion, Frustration"
"(looking out the window) Ew, ew, ew, ew ew ew ew ew!","Fear, Disgust"
What?,"Surprise, Confusion, Frustration"
Ugly Naked Guy got a Thighmaster!,"Happiness, Surprise, Excitement"
Eeaagh!,"Fear, Surprise, Disgust"
Has anybody seen my engagement ring?,"Fear, Nostalgia, Frustration"
"Yeah, it's beautiful.","Happiness, Contentment, Love"
"Oh God, oh God, oh God oh God oh God oh God.... (Starts to look underthe couch cushions.)","Fear, Confusion, Frustration"
"No, look, don't touch that!","Fear, Frustration"
"Oh, like I wasn't dreading tomorrow enough, having to give it back tohim... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in frontof your entire family!' Oh God and now I'm gonna have to return the ring, without thering, which makes it so much harder...","Sadness, Fear, Frustration"
"Easy Rach, we'll find it. (To all) Won't we!","Confidence, Excitement, Optimism"
Oh! Yeah!,"Happiness, Surprise, Excitement"
"Alright, when'd'ya have it on last?","Neutral, Confusion, Frustration"
Doy! Probably right before she lost it!,"Nostalgia, Confusion, Frustration"
You don't get a lot of 'doy' these days...,"Neutral, Nostalgia, Confusion"
"I know I had it this morning, and I know I had it when I was in thekitchen with...","Confidence, Confusion, Frustration"
...Dinah?,"Neutral, Surprise, Confusion"
"(looks at the lasagne and realizes something) Ohhhhh, don't be mad...","Fear, Surprise, Confusion"
You didn't.,"Neutral, Confusion, Frustration"
"Oh, I am sorry...",Sadness
I gave you one job! (Starts to examin the lasagne through the bottom ofthe glass pan.),"Anger, Disgust, Frustration"
"Oh, but look how straight those noodles are!","Happiness, Confidence, Excitement"
"Now, Monica, you know that's not how you look for an engagement ringin a lasagne...","Disgust, Confusion, Frustration"
(puts down the lasagne) I just... can't do it.,"Sadness, Confusion, Frustration"
Boys? We're going in.,"Confidence, Excitement, Anticipation"
(standing outside the door).....Hi.,"Confidence, Neutral, Excitement"
Wow. That is not a happy hi.,"Sadness, Surprise, Disgust"
Carol's pregnant.,"Happiness, Excitement, Anticipation"
(while everyone else is stunned) Ooh! I found it!,"Confidence, Surprise, Excitement"
W-w-wh-... wha-... w-w-w-...,"Fear, Confusion, Frustration"
"Yeah. Do that for another two hours, you might be where I am right aboutnow. (He enters.)","Confidence, Excitement, Frustration"
"Kinda puts that whole pillow thing in perspective, huh, Mon?","Contentment, Confusion, Frustration"
"Well now, how-how do you fit into this whole thing?","Anticipation, Confusion, Frustration"
"Well, Carol says she and Susan want me to be involved, but if I'm notcomfortable with it, I don't have to be involved.. basically it's entirely up to me.","Contentment, Confidence, Neutral"
She is so great! I miss her.,"Sadness, Love, Longing"
What does she mean by 'involved'?,"Surprise, Confusion, Frustration"
"I mean presumably, the biggest part of your job is done.","Contentment, Confidence, Optimism"
"Anyway, they want me to go down to this- sonogram thing with themtomorrow.","Neutral, Anticipation, Confusion"
So what are you gonna do?,"Neutral, Anticipation"
"I have no idea. No matter what I do, though, I'm still gonna be a father.","Confidence, Sadness, Frustration"
".....Well, this is still ruined, right?","Sadness, Disgust, Frustration"
"Oh, Martha Ludwin's daughter is gonna call you. (Tastes a snack)Mmm! What's that curry taste?","Happiness, Contentment, Excitement"
Curry.,Neutral
Mmmm!,"Happiness, Contentment, Excitement"
"I- I think they're great! I, I really do.","Happiness, Contentment, Confidence"
"(To Ross) Do you remember the Ludwins? The big one had a thing foryou, didn't she?","Surprise, Nostalgia"
They all had a thing for him.,"Love, Excitement, Anticipation"
"Aw, Mom...","Disgust, Frustration, Longing"
"I'm sorry, why is this girl going to call me?","Anticipation, Confusion, Frustration"
"Oh, she just graduated, and she wants to be something in cooking,or food, or.... I don't know. Anyway, I told her you had a restaurant-","Neutral, Anticipation, Confusion"
"No Mom, I don't have a restaurant, I work in a restaurant.","Confidence, Neutral, Frustration"
"Well, they don't have to know that... (She starts to fluff the samepillow Monica fluffed multiple times earlier.)",Confidence
"Ross, could you come and help me with the spaghetti, please?","Happiness, Contentment, Excitement"
Yeah. (They go to the kitchen.),"Confidence, Neutral, Excitement"
"Oh, we're having spaghetti! That's.... easy.","Happiness, Contentment, Confidence"
"I know this is going to sound unbelievably selfish, but, were youplanning on bringing up the whole baby/lesbian thing? Because I think it might take someof the heat off me.","Neutral, Confusion, Frustration"
"What that Rachel did to her life.... We ran into her parents at theclub, they were not playing very well.","Sadness, Surprise, Frustration"
I'm not gonna tell you what they spent on that wedding... but fortythousand dollars is a lot of money!,"Neutral, Surprise, Frustration"
"Well, at least she had the chance to leave a man at the altar...","Sadness, Anger, Disgust"
What's that supposed to mean?,"Disgust, Confusion, Frustration"
Nothing! It's an expression.,"Neutral, Confusion, Frustration"
No it's not.,"Neutral, Confusion, Frustration"
"Don't listen to your mother. You're independent, and you always havebeen! Even when you were a kid... and you were chubby, and you had no friends, you werejust fine! And you would read alone in your room, and your puzzles...","Contentment, Confidence, Nostalgia"
"Look, there are people like Ross whoneed to shoot for the stars, with his museum, and his papers getting published. Otherpeople are satisfied with staying where they are- I'm telling you, these are the peoplewho never get cancer.","Happiness, Contentment, Optimism"
"...And I read about these women trying to have it all, and I thankGod 'Our Little Harmonica' doesn't seem to have that problem.","Happiness, Contentment, Confidence"
"(trying desperately to change the subject) So, Ross, what's going onwith you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes toshare with the folks?","Neutral, Frustration"
"(pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realiseyou guys have been wondering what exactly happened between Carol and me, and, so, well,here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnantwith my child, and she and Susan are going to raise the baby.","Sadness, Surprise, Confusion"
(To Monica) And you knew about this?!,"Anger, Surprise, Confusion"
